"CubeId";"snbmonagg"
"PublishingDate";"2025-08-21 09:00"

"Date";"D0";"D1";"Value"
"1990-07";"VV";"GM1";"-5.12471456"
"1990-07";"VV";"GM2";"-7.37297811"
"1990-07";"VV";"GM3";"0.63182359"
"1990-08";"VV";"GM1";"-5.73413047"
"1990-08";"VV";"GM2";"-7.951759"
"1990-08";"VV";"GM3";"0.89313327"
"1990-09";"VV";"GM1";"-5.10624476"
"1990-09";"VV";"GM2";"-7.09027973"
"1990-09";"VV";"GM3";"1.77302346"
"1990-10";"VV";"GM1";"-3.81588176"
"1990-10";"VV";"GM2";"-6.343078"
"1990-10";"VV";"GM3";"1.45599147"
"1990-11";"VV";"GM1";"-3.72004142"
"1990-11";"VV";"GM2";"-5.6788039"
"1990-11";"VV";"GM3";"1.5257783"
"1990-12";"VV";"GM1";"-0.30764086"
"1990-12";"VV";"GM2";"-3.4914969"
"1990-12";"VV";"GM3";"2.36799114"
"1991-01";"VV";"GM1";"-0.05484833"
"1991-01";"VV";"GM2";"-2.24355559"
"1991-01";"VV";"GM3";"2.19019557"
"1991-02";"VV";"GM1";"1.08048531"
"1991-02";"VV";"GM2";"-0.47374191"
"1991-02";"VV";"GM3";"2.29013892"
"1991-03";"VV";"GM1";"0.08528593"
"1991-03";"VV";"GM2";"0.09300457"
"1991-03";"VV";"GM3";"2.56771492"
"1991-04";"VV";"GM1";"2.23619145"
"1991-04";"VV";"GM2";"1.46378092"
"1991-04";"VV";"GM3";"2.98061879"
"1991-05";"VV";"GM1";"3.00991854"
"1991-05";"VV";"GM2";"2.15675007"
"1991-05";"VV";"GM3";"3.3408923"
"1991-06";"VV";"GM1";"1.66862139"
"1991-06";"VV";"GM2";"2.18306455"
"1991-06";"VV";"GM3";"3.16170544"
"1991-07";"VV";"GM1";"3.1807452"
"1991-07";"VV";"GM2";"2.66168248"
"1991-07";"VV";"GM3";"3.59321048"
"1991-08";"VV";"GM1";"3.67568878"
"1991-08";"VV";"GM2";"3.49208075"
"1991-08";"VV";"GM3";"2.98178743"
"1991-09";"VV";"GM1";"2.04827959"
"1991-09";"VV";"GM2";"2.5234854"
"1991-09";"VV";"GM3";"1.7890236"
"1991-10";"VV";"GM1";"2.65024666"
"1991-10";"VV";"GM2";"2.97298863"
"1991-10";"VV";"GM3";"2.56792055"
"1991-11";"VV";"GM1";"2.71399843"
"1991-11";"VV";"GM2";"3.05795639"
"1991-11";"VV";"GM3";"2.18369192"
"1991-12";"VV";"GM1";"1.25616342"
"1991-12";"VV";"GM2";"2.63729195"
"1991-12";"VV";"GM3";"2.35174523"
"1992-01";"VV";"GM1";"2.47838056"
"1992-01";"VV";"GM2";"3.36298622"
"1992-01";"VV";"GM3";"1.7308359"
"1992-02";"VV";"GM1";"3.54643524"
"1992-02";"VV";"GM2";"3.92336843"
"1992-02";"VV";"GM3";"2.21869084"
"1992-03";"VV";"GM1";"3.41480917"
"1992-03";"VV";"GM2";"3.42924697"
"1992-03";"VV";"GM3";"1.78479204"
"1992-04";"VV";"GM1";"3.09396111"
"1992-04";"VV";"GM2";"3.12649643"
"1992-04";"VV";"GM3";"2.65919879"
"1992-05";"VV";"GM1";"0.73115071"
"1992-05";"VV";"GM2";"2.19213411"
"1992-05";"VV";"GM3";"2.54673286"
"1992-06";"VV";"GM1";"1.25583346"
"1992-06";"VV";"GM2";"1.48448856"
"1992-06";"VV";"GM3";"2.52745686"
"1992-07";"VV";"GM1";"-0.50510941"
"1992-07";"VV";"GM2";"0.50652879"
"1992-07";"VV";"GM3";"1.9847572"
"1992-08";"VV";"GM1";"-0.37963638"
"1992-08";"VV";"GM2";"0.6680208"
"1992-08";"VV";"GM3";"1.99699596"
"1992-09";"VV";"GM1";"2.39730259"
"1992-09";"VV";"GM2";"2.0333647"
"1992-09";"VV";"GM3";"2.09182191"
"1992-10";"VV";"GM1";"2.43098186"
"1992-10";"VV";"GM2";"3.02564724"
"1992-10";"VV";"GM3";"1.39072361"
"1992-11";"VV";"GM1";"2.62441051"
"1992-11";"VV";"GM2";"4.40357599"
"1992-11";"VV";"GM3";"2.48170745"
"1992-12";"VV";"GM1";"2.74037267"
"1992-12";"VV";"GM2";"5.33160162"
"1992-12";"VV";"GM3";"1.75198306"
"1993-01";"VV";"GM1";"5.87595118"
"1993-01";"VV";"GM2";"8.66043403"
"1993-01";"VV";"GM3";"2.99196499"
"1993-02";"VV";"GM1";"6.11712917"
"1993-02";"VV";"GM2";"10.13589391"
"1993-02";"VV";"GM3";"3.12250752"
"1993-03";"VV";"GM1";"9.63206467"
"1993-03";"VV";"GM2";"13.42162424"
"1993-03";"VV";"GM3";"4.28158492"
"1993-04";"VV";"GM1";"9.36861605"
"1993-04";"VV";"GM2";"14.36579765"
"1993-04";"VV";"GM3";"3.45322283"
"1993-05";"VV";"GM1";"11.000061"
"1993-05";"VV";"GM2";"16.09552643"
"1993-05";"VV";"GM3";"2.73739627"
"1993-06";"VV";"GM1";"11.40657501"
"1993-06";"VV";"GM2";"17.09352091"
"1993-06";"VV";"GM3";"2.88095665"
"1993-07";"VV";"GM1";"12.99482407"
"1993-07";"VV";"GM2";"19.43446568"
"1993-07";"VV";"GM3";"3.89172267"
"1993-08";"VV";"GM1";"13.7135736"
"1993-08";"VV";"GM2";"19.97416965"
"1993-08";"VV";"GM3";"4.14573713"
"1993-09";"VV";"GM1";"10.483579"
"1993-09";"VV";"GM2";"18.84084457"
"1993-09";"VV";"GM3";"4.05736769"
"1993-10";"VV";"GM1";"13.42893836"
"1993-10";"VV";"GM2";"19.99378279"
"1993-10";"VV";"GM3";"5.515335"
"1993-11";"VV";"GM1";"12.25146611"
"1993-11";"VV";"GM2";"18.53419452"
"1993-11";"VV";"GM3";"5.14645127"
"1993-12";"VV";"GM1";"10.10325732"
"1993-12";"VV";"GM2";"16.96664135"
"1993-12";"VV";"GM3";"4.98492557"
"1994-01";"VV";"GM1";"10.94387339"
"1994-01";"VV";"GM2";"17.43205467"
"1994-01";"VV";"GM3";"6.07110971"
"1994-02";"VV";"GM1";"10.71968896"
"1994-02";"VV";"GM2";"16.52422305"
