"CubeId";"zikrepro"
"PublishingDate";"2025-09-01 14:30"

"Date";"D0";"D1";"Value"
"1990-07";"M";"MV";"7.46"
"1990-08";"M";"MV";"7.5"
"1990-09";"M";"MV";"7.68"
"1990-10";"M";"MV";"7.81"
"1990-11";"M";"MV";"7.85"
"1990-12";"M";"MV";"7.92"
"1991-01";"M";"MV";"7.97"
"1991-02";"M";"MV";"7.99"
"1991-03";"M";"MV";"7.88"
"1991-04";"M";"MV";"7.82"
"1991-05";"M";"MV";"7.8"
"1991-06";"M";"MV";"7.79"
"1991-07";"M";"MV";"7.79"
"1991-08";"M";"MV";"7.79"
"1991-09";"M";"MV";"7.76"
"1991-10";"M";"MV";"7.76"
"1991-11";"M";"MV";"7.76"
"1991-12";"M";"MV";"7.8"
"1992-01";"M";"MV";"7.83"
"1992-02";"M";"MV";"7.83"
"1992-03";"M";"MV";"7.82"
"1992-04";"M";"MV";"7.8"
"1992-05";"M";"MV";"7.81"
"1992-06";"M";"MV";"7.81"
"1992-07";"M";"MV";"7.83"
"1992-08";"M";"MV";"7.87"
"1992-09";"M";"MV";"7.89"
"1992-10";"M";"MV";"7.89"
"1992-11";"M";"MV";"7.68"
"1992-12";"M";"MV";"7.55"
"1993-01";"M";"MV";"7.5"
"1993-02";"M";"MV";"7.05"
"1993-03";"M";"MV";"7.02"
"1993-04";"M";"MV";"6.73"
"1993-05";"M";"MV";"6.54"
"1993-06";"M";"MV";"6.46"
"1993-07";"M";"MV";"6.15"
"1993-08";"M";"MV";"6.01"
"1993-09";"M";"MV";"6.01"
"1993-10";"M";"MV";"5.97"
"1993-11";"M";"MV";"5.81"
"1993-12";"M";"MV";"5.58"
"1994-01";"M";"MV";"5.54"
"1994-02";"M";"MV";"5.5"
"1994-03";"M";"MV";"5.5"
"1994-04";"M";"MV";"5.5"
"1994-05";"M";"MV";"5.5"
"1994-06";"M";"MV";"5.5"
"1994-07";"M";"MV";"5.52"
"1994-08";"M";"MV";"5.5"
"1994-09";"M";"MV";"5.5"
"1994-10";"M";"MV";"5.5"
"1994-11";"M";"MV";"5.5"
"1994-12";"M";"MV";"5.5"
"1995-01";"M";"MV";"5.52"
"1995-02";"M";"MV";"5.52"
"1995-03";"M";"MV";"5.58"
"1995-04";"M";"MV";"5.6"
"1995-05";"M";"MV";"5.58"
"1995-06";"M";"MV";"5.58"
"1995-07";"M";"MV";"5.56"
"1995-08";"M";"MV";"5.52"
"1995-09";"M";"MV";"5.53"
"1995-10";"M";"MV";"5.33"
"1995-11";"M";"MV";"5.29"
"1995-12";"M";"MV";"5.1"
"1996-01";"M";"MV";"5.03"
"1996-02";"M";"MV";"5.01"
"1996-03";"M";"MV";"5.02"
"1996-04";"M";"MV";"5"
"1996-05";"M";"MV";"5"
"1996-06";"M";"MV";"5"
"1996-07";"M";"MV";"5"
"1996-08";"M";"MV";"5"
"1996-09";"M";"MV";"5"
"1996-10";"M";"MV";"5"
"1996-11";"M";"MV";"4.82"
"1996-12";"M";"MV";"4.8"
