"CubeId";"bakredsekbrm"
"PublishingDate";"2025-08-21 09:00"

"Date";"D1";"D3";"Value"
"1990-06";"T0";"T1";"465760.30058693"
"1990-07";"T0";"T1";"466108.72133396"
"1990-08";"T0";"T1";"466988.11860865"
"1990-09";"T0";"T1";"474553.23015793"
"1990-10";"T0";"T1";"477159.08352943"
"1990-11";"T0";"T1";"476759.54716382"
"1990-12";"T0";"T1";"481295.27593054"
"1991-01";"T0";"T1";"483174.03570719"
"1991-02";"T0";"T1";"484190.08902338"
"1991-03";"T0";"T1";"487116.19739289"
"1991-04";"T0";"T1";"490485.65551537"
"1991-05";"T0";"T1";"488506.75085334"
"1991-06";"T0";"T1";"494202.49120898"
"1991-07";"T0";"T1";"494461.19882953"
"1991-08";"T0";"T1";"494602.02757458"
"1991-09";"T0";"T1";"500055.7511239"
"1991-10";"T0";"T1";"502097.24633928"
"1991-11";"T0";"T1";"502662.64767129"
"1991-12";"T0";"T1";"505195.47873053"
"1992-01";"T0";"T1";"508936.3074696"
"1992-02";"T0";"T1";"508161.22778384"
"1992-03";"T0";"T1";"510638.77052095"
"1992-04";"T0";"T1";"510442.65345376"
"1992-05";"T0";"T1";"509953.40396168"
"1992-06";"T0";"T1";"513249.8397719"
"1992-07";"T0";"T1";"510327.90410594"
"1992-08";"T0";"T1";"509699.91222057"
"1992-09";"T0";"T1";"515907.85193786"
"1992-10";"T0";"T1";"516794.55144377"
"1992-11";"T0";"T1";"517136.71313547"
"1992-12";"T0";"T1";"516981.27992796"
"1993-01";"T0";"T1";"517694.81223625"
"1993-02";"T0";"T1";"518232.04781924"
"1993-03";"T0";"T1";"517898.23153466"
"1993-04";"T0";"T1";"516433.61258607"
"1993-05";"T0";"T1";"516093.53724616"
"1993-06";"T0";"T1";"521966.61750297"
"1993-07";"T0";"T1";"522477.77368873"
"1993-08";"T0";"T1";"521054.88177572"
"1993-09";"T0";"T1";"521909.24282906"
"1993-10";"T0";"T1";"524125.99159384"
"1993-11";"T0";"T1";"523051.52042786"
"1993-12";"T0";"T1";"523400.98435077"
"1994-01";"T0";"T1";"525717.87800093"
"1994-02";"T0";"T1";"526861.19877562"
"1994-03";"T0";"T1";"527543.43580723"
"1994-04";"T0";"T1";"527064.61807403"
"1994-05";"T0";"T1";"527172.06519063"
"1994-06";"T0";"T1";"530331.84495935"
"1994-07";"T0";"T1";"531628.51258976"
"1994-08";"T0";"T1";"531291.56677752"
"1994-09";"T0";"T1";"533411.3001846"
"1994-10";"T0";"T1";"535627.00577349"
"1994-11";"T0";"T1";"537955.37435843"
"1994-12";"T0";"T1";"538799.30365288"
"1995-01";"T0";"T1";"539590.03097698"
"1995-02";"T0";"T1";"541078.64297103"
"1995-03";"T0";"T1";"542130.16426745"
"1995-04";"T0";"T1";"541697.24627339"
"1995-05";"T0";"T1";"542206.31610737"
"1995-06";"T0";"T1";"544861.19874567"
"1995-07";"T0";"T1";"543578.09240181"
"1995-08";"T0";"T1";"542933.40970222"
"1995-09";"T0";"T1";"544802.78089586"
"1995-10";"T0";"T1";"544882.06226345"
"1995-11";"T0";"T1";"548103.38940964"
"1995-12";"T0";"T1";"552559.83680878"
"1996-01";"T0";"T1";"555914.6904688"
"1996-02";"T0";"T1";"556977.68670001"
"1996-03";"T0";"T1";"561644.85562878"
"1996-04";"T0";"T1";"560436.85794896"
"1996-05";"T0";"T1";"561255.75102207"
"1996-06";"T0";"T1";"565604.7513046"
"1996-07";"T0";"T1";"563645.66698448"
"1996-08";"T0";"T1";"562354.21523351"
"1996-09";"T0";"T1";"563067.7475418"
"1996-10";"T0";"T1";"558527.84607152"
"1996-11";"T0";"T1";"562907.09845484"
"1996-12";"T0";"T1";"564962.15495679"
"1997-01";"T0";"T1";"566049.14423345"
"1997-02";"T0";"T1";"567576.3537354"
"1997-03";"T0";"T1";"568980.46848241"
"1997-04";"T0";"T1";"566552.99818798"
"1997-05";"T0";"T1";"566444.5078955"
"1997-06";"T0";"T1";"566895"
"1997-07";"T0";"T1";"568893"
"1997-08";"T0";"T1";"567084"
"1997-09";"T0";"T1";"568320"
"1997-10";"T0";"T1";"569171"
