Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_core_9m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_core_9m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.2905104651915735,0.4171962623220744,0.2932638872343674,0.2985619799748634,-1.132652290904159,0.016049291194590438,0.4611715758039891,99.99999999999999,0.1251473122992695,0.2564163484313136,1.2293357225432724,-0.2379100909859488,-0.14289574313807318,-1.679334817447247,-1.0820104696083441,0.8003123447829793,1.35570277286735,-0.455792939879629,0.21761380394373292,0.22136394628086042,-1.7174281706178456,-1.1201038227789426,0.7622189916123808,1.3176094196967516,0,0,-5.01275672909565e-07,2.87242995723999e-07,-2.790407976729146e-07,-1.8751866846474076e-07,-2.0936892160736268e-07,2.8803474073533986e-08,6.843898109992574e-08,-1.1550516940139818e-08,3.5717199503686007e-08,2.2057145909682637e-07,1.4825728981557313e-07,1.6640046886907666e-05,-5.744840589265501e-07,-3.9430995462593165e-07,-1.1190680567615294e-06,-6.288161574262775e-06,-4.28406938496421e-08,-2.789068086369942e-07,-1.1333493022311692e-06,-1.64738542234257e-06,-2.3876850710583084e-08,-5.070116569338072e-07,2.4863190161929575e-08,-2.1053560704537797e-07,1.2441296411999688e-08,3.491111667582274e-08,2.55956675170474e-09,1.0050744124145487e-07,-2.579418224011795e-07,1.9034379359916092e-07,1.8070598319594391e-07,-6.62981771573328e-10,-4.994388332040015e-08,-2.95448896754872e-07,1.4492641222440731e-08,-1.8604150421011027e-08,1.3855221219454398e-09,-4.307559393704496e-08,-2.428834716185234e-08,-3.884185095028769e-07,1.7832712839545486e-09,-6.783832023493085e-06,6.273690300969638e-07,-6.950839761477208e-07,-1.940618608683136e-06,-3.650010718940742e-05,1.026226080571979e-08,2.602209417803181e-07,5.363830432073953e-07,1.0937408625025715e-06,-5.148696263202707e-09,7.50298404820758e-08,1.412102965929623e-07,-2.1949175439574562e-07,-3.578994839253926e-08,-6.281145802452773e-08,8.065578299175574e-24,-4.5029527896769536e-08,-4.4339921053758575e-23,2.416136731523452e-07,0.42662837064026815
2012-12-01,2013-09-01,0.0342821109464116,0.3367133710382491,0.32501091350910183,0.3262795479381268,-1.1625770297715188,0.09146466708073667,0.39584413978557376,99.99999997755035,3.301336966590095,-3.631336781745026,1.20623377270504,-0.0686985256836081,0.15812491938527,-1.2924465109556045,-0.7551824832769842,1.1591312113504058,1.7603436938485608,-0.09441010889341683,0.32735223790569595,0.3297949792274931,-1.027544105576696,-0.49028007789807576,1.4240336167293142,2.0252460992274695,0,0,-3.1116237396887125e-07,5.8393893123136484e-08,3.235040215777394e-08,2.0275665172868428e-08,9.236876598570161e-10,4.6456873998993134e-07,-2.573008092523341e-08,-4.338187442504032e-08,9.805346655471491e-08,3.331283617228905e-07,6.698110091692794e-08,1.0022212870831266e-05,1.1246413042146033e-06,-1.4464809819629742e-08,-1.747434202904252e-06,1.537748671109587e-05,8.796341599713568e-08,-1.6453774687464306e-07,1.0137132436736125e-06,-1.7560598165175165e-06,7.777149692850362e-09,-5.198618980155219e-07,-2.052255940232001e-07,3.4445454365905885e-06,1.3562182980125472e-08,3.0659406795569252e-09,-5.619675231448058e-07,6.404110183070483e-08,4.38615087543835e-08,-5.500708983480628e-08,-9.626212659361284e-08,1.2697501611512604e-08,6.83448944089511e-07,5.183242741807258e-08,-7.912100255313176e-08,6.629088603373889e-08,-3.644833489844705e-08,3.0033321204518165e-08,1.9701689947395423e-08,1.961031991831978e-06,5.6672510474876574e-09,1.6321566010650426e-06,-3.552205367923298e-07,-5.753402067580702e-08,-8.422300124530128e-07,-1.6791603789609394e-05,2.4470395989673094e-08,-4.3036946681363275e-08,-1.7014162497803805e-06,-5.47060374408315e-07,-8.477993811232065e-09,2.1582344841221655e-07,2.3833572408775177e-07,-8.295192647170503e-07,5.661695884987884e-08,5.065491925412515e-10,2.5692136765831e-07,2.0572337969286107e-23,-1.9535237935207029e-22,-2.119235761025949e-07,0.40695335736652477
2013-03-01,2013-12-01,-0.0538957711165484,0.3558857554305325,0.3441334829354832,0.34827465460605067,-1.1726636000091881,0.167920899499256,0.36539386089668074,99.99999999999993,3.0701353088035317,-3.3126696941429894,1.195171399253415,-0.0163107733018641,0.2910253716084466,-1.1787085278747729,-0.6162961171389658,1.239338407281477,1.8783196238937836,0.024111055035547224,0.22524221577062783,0.22914608356886979,-1.6448504726135245,-1.0824380618777174,0.7731964625427253,1.412177679155032,0,0,-2.0566244433907338e-07,-1.4516259043965254e-07,-8.048291008654458e-08,2.1835042088522252e-08,7.15545357128583e-08,9.038225853037106e-08,6.384664076541715e-09,-1.7809175919649338e-07,3.3424008148421185e-09,1.851355487435363e-06,7.0373924410521414e-09,3.506462471393434e-05,3.6209559078981914e-07,-1.7519511103744559e-07,2.8288838761422648e-06,-8.9379948671978e-06,-4.601020151344898e-08,2.466322911047317e-07,2.586460037286388e-06,4.468718529035708e-06,-4.955859906027618e-09,3.15881858881484e-07,-2.0908254330273276e-07,-1.8294897953942584e-06,8.815387399798215e-09,1.2928697822689934e-08,1.5316397336559632e-07,-1.1538634497777542e-07,-1.196326401627614e-07,1.0812011394085458e-07,4.587693234303075e-09,8.004955983539758e-09,-1.2582232922378282e-07,-1.924225776920954e-08,-0.0,-4.063763729640123e-08,-2.2349590152673553e-09,5.2140977641665415e-08,-5.794634359177116e-08,6.193217187919417e-06,2.8768970846781224e-08,2.6495334220258416e-05,1.5113553987040532e-07,9.569618257209415e-08,-3.5925734041098324e-06,-1.6733149799676174e-05,1.4252782628090419e-08,1.2644955895360212e-07,-2.3872944500537535e-06,4.3370154166750795e-06,2.1918637879248798e-09,1.200770477479107e-07,4.9919406586153757e-08,8.405567881572607e-07,8.034754300144822e-08,1.4962200719053025e-08,-1.3790060733852863e-23,2.4856142081697134e-07,7.108080281658021e-23,1.0337631577059802e-07,0.3648837583627992
2013-06-01,2014-03-01,-0.2879780802363285,0.3980463492183751,0.4430339353376652,0.4508742614915325,-1.2932516879158191,0.47062951780865153,0.2881877316242939,99.99999999999999,0.85326739544301,-0.6544764958258349,1.2415413786495688,0.0721983425743033,0.586716664665331,-0.9625136486263736,-0.36474327639691984,1.5312999689348967,2.130956122909604,0.28818190275154976,0.2838799726236706,0.28814528533437866,-1.0914685233139103,-0.4936981510844567,1.4023450942473599,2.0020012482220673,0,0,-3.4235819642698185e-06,1.791176466531813e-08,-2.8577006867914174e-09,-1.576637125724398e-08,-1.912064795442272e-07,2.4945012233827804e-09,-1.8224408195769834e-08,-6.225038910601877e-08,6.986702899476484e-09,-4.4043092262341576e-07,4.019964662498512e-09,3.01866006209254e-06,3.3616825733317444e-06,-1.780522102864852e-07,-8.442120434608711e-07,-2.4304916992536642e-05,9.007140151365868e-08,3.703410226975461e-07,2.526674869697661e-06,-7.14204318900493e-07,9.311559281139858e-09,-1.161378926188777e-07,-1.570549425664953e-07,1.571070524925867e-06,4.646630518953836e-09,-2.88821525553219e-08,5.428412879822947e-07,-5.976999481917828e-09,-1.474859798552644e-07,1.392772291749338e-07,1.5562604839215215e-08,4.95148082543435e-09,-9.9647790259561e-08,2.4822138158023873e-08,-2.1602790363953415e-07,3.6420034779091755e-08,4.2901155321330645e-09,-3.0024212859789574e-08,7.97231276954499e-08,-8.673090586991982e-07,1.0729401328118389e-08,2.584126302611745e-05,1.282871342697047e-06,-4.2893808818522366e-08,-1.7473891868369744e-06,2.7552609085834347e-05,9.184803373903258e-08,2.9895784545349386e-07,-4.557413788752255e-06,1.5557762769257671e-06,-5.078761561717439e-09,-1.2626479654858068e-07,-4.41318025560626e-07,-1.4398741135746108e-08,-1.1336875455652425e-07,-2.4663582116854972e-08,1.466179127234231e-07,-1.053811281437201e-23,4.8677612863232995e-23,-1.6841933753836871e-07,0.3392306340296083
2013-09-01,2014-06-01,0.328500901999007,0.3675119263322284,0.296459704386942,0.3049648576159787,-1.1548523715478958,0.0015218600195271922,0.4959169482559769,99.99999999999999,-1.3728310069727332,2.0710372102985364,1.256708105763968,-0.0402056980780329,-0.010947429828116972,-1.6351940708789803,-1.0072086727158733,0.8987381155463676,1.5088669915286648,-0.2865813745772883,0.23861295118699066,0.2431606811859078,-1.8421747069246974,-1.2141893087615905,0.6917574795006505,1.3018863554829476,0,0,-1.6206101154326224e-06,5.918423699884045e-09,5.189014671353907e-10,2.06010095480003e-08,1.0145675329133461e-08,-2.0596187758456602e-08,-2.939264207544337e-07,2.3143690997336614e-07,4.0837930781664525e-09,-1.719577867134458e-06,4.9603663538892655e-09,-2.9422119588870613e-05,3.1775344749101135e-07,-8.782704248150095e-07,3.572783348317984e-07,-1.2698839328969873e-05,-3.801362388143887e-08,-1.625484002696531e-07,5.064892165276957e-07,3.2870556392742137e-06,-1.0820766507114165e-09,-2.94180324499103e-07,-1.9192963752845986e-07,-7.92006953777475e-07,1.667063192910235e-08,-6.736829536911373e-08,-1.009184019320942e-07,7.542221208201076e-10,6.925219898466982e-09,-1.5422567403451188e-07,3.3602849709196276e-08,2.8393767538003605e-08,1.3220471422298728e-07,2.911533069207526e-07,9.340185452973693e-09,1.0660494578276716e-10,-2.933317350949554e-09,6.399288133339867e-08,3.242797019602231e-08,-1.5386234131488545e-06,1.3305068733136327e-08,4.2280280808203176e-05,6.167568855628801e-07,-8.675213326214337e-07,-6.706183096232946e-08,-5.753336491934572e-05,-1.4465890833763394e-09,-2.0823403049269015e-07,-1.2457868792660128e-06,9.459437579512066e-07,3.4203884059895336e-10,-1.9266431025805692e-07,-1.603654017815799e-08,-8.466163931872815e-07,1.4407508463704312e-09,-2.400739183859773e-10,-3.2342093729876945e-24,3.435114301262973e-07,7.068576831866979e-23,4.6989403705871734e-07,0.33769072228668906
2013-12-01,2014-09-01,0.0534956352704322,0.3436163198220269,0.3084220283075195,0.3118644497163912,-1.1290371207669707,0.0841700116046859,0.40764481675136865,49.174967016775746,0.6669006517345882,-0.46647804189206943,1.1945789340451811,-0.0019006300588486,0.21568988335484732,-1.3102944728023507,-0.696149139643669,1.1131085092696713,1.7392381298807347,-0.042022356511672854,0.2875336553428265,0.29130644914587867,-1.103554767138945,-0.48940943398026326,1.319848214933077,1.9459778355441404,0,0,-1.2400864749371116e-06,1.238711561700558e-07,-7.503116473059456e-08,-2.3680978990491356e-07,1.336263047990444e-07,2.909603242142181e-09,-3.6020391008246703e-07,8.020379189211841e-08,5.680321035367157e-08,1.0513336816466363e-06,1.3087664115816255e-09,8.16011231035537e-06,4.406746877822618e-07,1.222247654370104e-06,-2.0227117829977395e-06,3.0047488601031706e-05,8.510098965198288e-09,1.310784516654529e-08,-2.316522877571196e-06,6.394501335144028e-07,5.947819835163013e-10,1.3595680269441233e-07,-2.707905467442516e-07,1.0476306710424316e-06,1.1224519070179307e-08,-1.6500885985067742e-08,-2.651298998553362e-08,-4.656412794428598e-08,3.707887120253292e-08,-1.4377881913014305e-07,2.079867949776978e-07,-2.2467756644056852e-08,3.851159543334616e-07,3.65588571782402e-08,-2.9049722089955454e-08,-1.9169478511938585e-08,5.419480483010612e-08,-1.282556013323444e-07,2.574860086934783e-07,4.474890031746637e-06,-1.1481494210676324e-09,-7.795436048666508e-06,4.6704095329769195e-07,-5.778461036359811e-07,-2.82447467966445e-07,-1.1471115105200044e-05,-2.6855839141931733e-09,-1.0675612542990399e-07,-2.500507432012443e-06,-2.6556023444575135e-06,-2.288262334737426e-09,1.4327338672195833e-07,1.190448939455584e-07,-2.9828893693777327e-07,1.2096037108331142e-07,1.028335450047678e-07,1.7344706415695197e-07,-8.63504509178511e-24,4.5065628442442667e-23,-3.0573642629111923e-07,0.3269707602776367
2014-03-01,2014-12-01,0.1900581101072163,0.33127006614634,0.2873521917526891,0.2967481986331475,-1.10816975132738,0.019940816528395414,0.4565362728934407,99.99999999999248,1.3302715528918658,-1.271683552786379,1.1944638442635072,0.2551637534921269,0.36107272052146977,-1.1186120920454603,-0.5812415951903803,1.2556893929807553,1.870023168462036,0.11262017091171472,0.33855871801583887,0.3416026601447842,-1.762433749657181,-1.2250632528021008,0.6118677353690348,1.2262015108503155,0,0,-2.1934982139472702e-07,1.2390965880669576e-08,-2.2418892376574456e-08,6.428091324092234e-07,-3.3694978880101416e-08,4.9738459178929896e-08,6.040746363364971e-08,5.134271745700195e-08,2.429032423702127e-09,1.6119929969529415e-07,-6.4023076215916205e-09,2.509849328512029e-05,-1.6755318203896075e-06,-6.757047757976452e-07,-2.160685527812915e-07,1.8249693586500795e-05,1.8366047085036224e-08,-1.506821434911494e-07,-4.4974028704020043e-07,1.1860767440451564e-07,3.1926233094044797e-09,-2.2399173960303782e-07,2.4014711754121456e-09,2.8383285595157223e-06,-2.8214509985454787e-08,-2.2715863818142677e-08,1.4388982155010689e-08,1.181113165857934e-07,1.6118038356582754e-07,1.5802999296851146e-07,1.562118164704554e-08,1.4147377535067707e-08,6.615895419558941e-07,0.0,-1.005001836227754e-07,-4.431099553804581e-08,-9.517474760672679e-08,3.53616598661108e-07,-5.859502486556197e-08,-6.033206155701258e-08,1.985053428407604e-09,-3.9608093701839586e-05,2.0349028234254144e-07,-2.302873831473864e-07,1.0259826380329866e-06,-8.626879017485983e-06,4.856763448813209e-08,-5.809079509296599e-08,3.4857861319714137e-07,-3.79933300078061e-07,4.542409644075631e-09,7.486649227399171e-08,1.4451108641030102e-08,-6.65275186513487e-07,-1.1675690368219897e-08,-5.14120884142311e-08,-5.164584863948513e-24,1.306172897182063e-07,4.084350752976326e-23,2.5409428632687114e-08,0.3169408794017487
2014-06-01,2015-03-01,-0.47235811033192,0.33729102716311854,0.4781608833318356,0.48670467460791833,-1.3260602631772604,0.6555317258464598,0.24871973527058647,99.99999999999999,-5.274909350725734,6.011513193074505,1.075656867522997,-0.1784907206497266,0.4287461324715523,-1.0701943213775378,-0.4721441309951802,1.2583986918907268,1.7586828170609632,0.17577786209921342,0.33724138329648734,0.3435477514381218,-1.114109828648746,-0.5160596382663886,1.2144831846195185,1.714767309789755,0,0,-8.289271442339319e-07,4.8101833089673445e-08,-1.461822151152932e-08,-5.3797358225924324e-08,-1.4425060033226756e-08,-5.899809150443894e-08,-2.0038083908164017e-08,-7.97798711714366e-09,-4.503717632908779e-09,2.536104866920821e-07,4.0165510007656976e-09,-2.7132442608411373e-06,-7.529860279732108e-07,-7.705198350444923e-07,-3.5738374992895954e-07,-6.9971280989607865e-06,-2.907778652128917e-08,2.462176634368694e-08,1.0380948447231756e-07,9.122408118240028e-07,-1.3000677970835669e-11,-2.0074279880650204e-07,-4.3581115694068323e-07,-1.7880429448684445e-06,-1.6738039919080206e-08,4.594794545275442e-08,-3.241605985089781e-08,-2.3905132632618075e-08,3.316753187260684e-07,6.718070607335402e-08,1.0337128502261465e-08,7.745348178097025e-08,-8.745081055963043e-08,-3.313772562279046e-07,-0.0,2.1488942538383584e-08,-1.758974394824225e-08,-1.0802375729783274e-07,-3.882310326723547e-08,-1.4504016666769382e-06,-1.3373841790756088e-08,-6.8491030946529444e-06,-3.6149583498059096e-07,7.204842046950942e-07,-4.030996392010245e-07,-1.710050692195913e-05,3.781431348722189e-08,-6.611459103655647e-08,1.7600706496339798e-06,-4.062966057028478e-07,-8.736319451697534e-10,4.312789574897265e-08,3.8359308039868767e-07,6.54047108954568e-07,2.5342085953822276e-08,6.006641531906042e-08,-9.56804402671247e-08,-2.4144462819645428e-23,3.357537215656842e-23,-3.51355900145235e-07,0.3076960896186268
2014-09-01,2015-06-01,-0.1516044914680492,0.3216581085142159,0.3563111618676247,0.36143127150907,-1.187928372369554,0.2239774885419734,0.34516544417385114,99.99999999999996,-1.5700311118549832,2.2003863386539737,1.189516531376005,-0.3619796751591408,-0.007032725172442036,-1.4798963784300245,-0.9391409559866726,0.9134652584157553,1.480734541120111,-0.24827630655810395,0.23404828365945224,0.2388842378435823,-1.6095245339955444,-1.0687691115521925,0.7838371028502354,1.351106385554591,0,0,6.672474283790365e-07,-2.7311246761563638e-08,7.897141619839485e-08,1.69566658507556e-07,-1.3881407521461611e-08,-9.517811779822815e-08,2.1698343421145994e-07,5.1092105389891984e-09,1.3250544614196047e-08,-1.9111966292023835e-07,3.471443180568612e-09,-1.949076183688094e-05,1.9916143630922564e-07,6.734264567609826e-08,-2.527915614583896e-07,-2.4079782466368233e-05,-6.022215611531175e-08,-6.593887113986783e-07,1.4380101505384445e-06,8.587116893529902e-07,-1.978792561009678e-08,3.545297983807704e-07,-9.879200651829747e-08,1.6965492092987056e-06,-6.610142262618705e-08,-2.3969276836018815e-08,-3.552268250354348e-09,-1.7723116623515136e-07,5.183271699148908e-07,5.309716554888172e-08,4.943479824329225e-08,-7.669141920905249e-10,-1.8686582511373178e-07,-1.7098429640859647e-07,5.6820637981099055e-08,1.0155521177640008e-07,1.4140835563111145e-07,3.238790612176647e-08,-7.266081582284535e-08,8.274733842661745e-08,1.8747378509762053e-10,1.60575039733838e-05,4.7022362604563137e-07,5.667357627001901e-07,-1.9864126396296562e-07,-2.984745293703189e-05,5.6646981086816504e-08,-4.8868628451238174e-08,9.833477769597146e-07,-2.73888869456509e-07,-1.2472537659776025e-09,1.5616724591350737e-07,4.1258596296908265e-07,4.7538334871953276e-07,1.685915197865303e-08,3.0961928975285406e-09,-2.017665143303333e-23,1.6404436676808997e-07,-9.156933928592612e-23,-7.565806730110432e-08,0.3045374020566157
2014-12-01,2015-09-01,-1.168464811200683,0.275229684206416,0.9100443800892991,0.9156937909922288,-1.834849560888688,2.084253796068759,0.11066572225054935,99.99999999999997,1.6930693717236989,-1.725052501013575,1.1827857045689878,-0.6613065813612096,0.4214642901941148,-1.038071467635329,-0.4974523805445002,1.315111991427445,1.916213876615513,0.21504202703930275,0.7328641335795227,0.7371556107164848,-0.9745068263939974,-0.43388773930316865,1.3786766326687765,1.9797785178568446,0,0,-4.457478804146374e-06,2.4813218209182617e-08,-4.221121507516604e-09,-4.6477946740722293e-07,3.3439850503074227e-07,-9.211886054994962e-08,-3.47796228978156e-08,-4.486657926214961e-08,-4.581525772142082e-08,-1.2462336709820292e-06,2.1702733057712218e-09,2.3801304497298474e-05,1.3185342253526748e-06,1.060390100145094e-08,8.709690000503777e-07,1.361268352584267e-05,2.259254140059915e-08,2.8789644900046906e-07,7.580450137628094e-07,1.533949563240992e-06,-5.4328250995860435e-09,-3.9466785837927554e-08,1.959830389390364e-07,3.0649477475227965e-06,-1.5046313830277396e-10,-4.703050792513776e-09,-7.277721719561525e-08,1.1844375874026113e-07,2.6601096508221722e-08,2.7702125947689468e-08,-7.298858117296304e-08,3.008934654369479e-08,-3.529758936336049e-08,-6.683676908197959e-07,3.831897462075363e-08,2.0507681806228956e-09,4.7824071082670705e-08,-1.8195934470896943e-07,-3.789272805188037e-08,-1.108733148530128e-06,1.8420637062768007e-08,7.46447712415008e-07,8.726067328938129e-07,2.5720566860946617e-07,5.081030161520804e-07,2.726095161221648e-05,-8.189206330449575e-10,-2.2183072806861593e-07,2.1952288423270272e-07,-7.928963390226592e-07,-2.5791012323412435e-09,-1.9686333856907643e-07,-8.963485253126522e-08,1.4037566777746371e-06,-2.6347290402406613e-08,1.6595561459253638e-08,-2.0242642196155533e-07,-6.352219816503097e-24,7.99587072662227e-23,-3.0685816103508726e-07,0.3028349970721961
