Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_headline_9m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_headline_9m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.0980377667445964,0.6515474066128051,0.437139505091138,0.44348441420676277,-1.4112903223351037,0.30637292142703404,0.35473222079906913,99.99999999999999,-2.462474702160699,4.329638316450898,1.4849202708491922,-0.1279526276012355,0.287179602299921,-1.6185890509005407,-0.8573181412787464,1.4023501144061445,2.1230572957933163,-0.2014809526596828,0.2726166059201168,0.27762969235678214,-1.8995615305712565,-1.1382906209494623,1.1213776347354287,1.8420848161226002,0,0,2.4098434898512994e-07,-2.2669282374836835e-07,-1.7011725032206013e-07,-2.405783331834028e-07,-5.90823116062077e-09,-2.5657591396250846e-07,2.5844255019063127e-08,-1.3928047686108366e-07,4.018676875611154e-08,1.1706578449895382e-06,6.799693479271426e-08,1.9105845556384768e-05,-1.0063316859903472e-07,7.089705913339612e-07,2.4521704885228502e-06,7.431528735586626e-06,-1.6543200915523746e-08,-2.1785074176710189e-07,3.4274270458071507e-07,1.8093059240734338e-06,-1.234762575957882e-08,9.320348065793295e-08,-1.2887049825893238e-07,1.4686467587914786e-06,1.081565812098479e-07,7.550563704029634e-08,-6.966708562288922e-08,4.193643679613887e-07,1.1313492547638041e-08,-2.3661344302521606e-07,-8.807623126609183e-08,1.1301964340795163e-09,2.2706873316509055e-07,2.70096114207704e-07,-6.715728001917372e-08,-2.0270567476135875e-08,1.735017014592048e-08,3.866346207005591e-08,-2.850188936006961e-08,4.819044219658923e-07,2.9571544017339724e-09,3.8977207267760465e-06,3.3553268163767364e-08,1.3202586592255979e-07,1.4574902706353203e-06,2.5545672506369742e-05,2.377634967849067e-08,-6.870459999276062e-07,2.7009563112083926e-06,-6.868261194966881e-07,-7.654124662306424e-09,2.703405520859331e-07,-8.843139363888958e-08,-2.8521622140992256e-07,-3.6001898937112096e-08,3.308902072464176e-08,3.406591695607605e-23,1.9623722871890626e-07,-9.232967422260908e-23,1.94905688238059e-07,0.712834125326908
2012-12-01,2013-09-01,0.4847944842727732,0.6675578832612978,0.3405218806312869,0.34825014351622013,-1.2699038151376612,0.03340246000983864,0.45450006453310154,31.47583076081108,1.1160520887060708,-0.9188044589159143,1.3912701262451537,-0.0553795839522308,0.08169296528916253,-1.6948827202659769,-0.9852180932426343,1.1423009097791648,1.8652296270743596,-0.4189754471568108,0.4109273534711555,0.4173249731590544,-1.152501393940352,-0.4428367669170093,1.6846822361047897,2.4076109533999843,0,0,-1.314865321330131e-06,-3.5658491036710774e-08,4.2839961039534524e-08,-1.4876388612211338e-08,1.281930464787682e-08,-9.169430828033542e-08,-3.1842917872893246e-08,-9.240141916945355e-09,-8.506924256694709e-08,-4.138889394866126e-07,2.324836492182539e-08,-2.009962153046243e-05,-7.225979817478733e-07,4.4343640420450825e-07,-4.6011715378522984e-07,-2.1948564220835554e-05,-4.31672762823774e-08,-3.425002636970763e-07,-2.6943253099620295e-06,2.4619389665204918e-06,2.3561226298329726e-09,-1.0763429653276194e-07,-7.148559398145822e-08,-9.299470486123003e-07,-2.9752856809033844e-09,5.398937783574812e-09,-8.574841091846103e-08,-1.2022856585784923e-07,-2.166300518460939e-07,-8.427840971279982e-08,-4.996634765207818e-08,-5.9778086711981386e-09,1.1758228360475885e-06,1.2070568831517448e-07,-7.339312952747532e-08,-4.208302247305879e-08,2.627668204489345e-07,5.6067017396206646e-08,2.621242840787553e-08,2.5065050366237e-06,1.9803341622121412e-08,-1.259151768908807e-05,4.972143810052292e-07,-6.21254741660831e-07,-2.0417977164529334e-06,-1.4441426304284238e-05,-1.0490558558737132e-07,1.2953788793554444e-07,-1.1236471420049094e-06,4.760207270119988e-06,9.26801013457029e-09,4.560004952003472e-09,2.493007981897664e-07,-1.995635143386047e-07,-7.03424797882933e-08,-3.301032354860757e-08,-5.73278864953928e-07,4.1954183687259376e-23,8.672590433538884e-23,1.595417423567092e-07,0.6922489130606411
2013-03-01,2013-12-01,-0.244765757134265,0.691972041404521,0.5561893682658392,0.5675432728724553,-1.4803591363180773,0.877477703211291,0.26517328275675967,99.99999999999999,0.5107806435297618,-0.07677399383162559,1.4357042847419441,0.0670906503184021,0.7696439992224916,-1.0481878404908485,-0.3707051651049436,1.8067167202108285,2.5322710375352275,0.2506649681691009,0.263018563577233,0.2698132347767812,-1.5602006826025572,-0.8827180072166524,1.2947038780991198,2.020258195423519,0,0,2.919745913518844e-06,-1.3030606591490331e-07,-1.0381609796339053e-07,1.9807058181373115e-08,-1.3654911902870467e-07,-4.930333277900397e-08,1.0040054218603655e-07,1.2046206811690946e-07,9.488453010211137e-09,9.174952517063262e-07,1.520806007604456e-09,-2.2690114112449973e-05,8.465014375925259e-07,2.344308889768313e-07,1.6760818985833725e-06,1.9823747218423427e-05,-9.502281062002351e-08,1.2775921656146414e-07,5.282979179655128e-07,1.7017155263587745e-06,-1.4667516468915577e-08,2.075881894588958e-07,3.0601820320657146e-07,-1.3041224626764751e-06,-5.3300331224902485e-08,4.5999303833929144e-08,-7.333778562894512e-08,1.2124533950764024e-08,8.441014028025993e-08,-6.633929795436742e-08,4.8931207539517444e-08,-1.3819308753009736e-08,-6.179829788387405e-08,-3.569719867862285e-08,-0.0,-4.011445203074148e-08,7.4269721665797645e-09,-6.480419018237824e-08,-2.880956478973934e-08,-2.799203566268711e-06,-1.3388465831674393e-08,-5.409575475740732e-06,1.4568204006614557e-06,4.1899121792088844e-07,3.278241935579775e-07,2.3104478005520153e-06,-1.0953250788100375e-07,-2.6378809372345032e-08,-1.970606837242247e-06,1.314919731716893e-06,1.065198831612199e-08,1.7115671861934123e-08,9.423506068672539e-08,4.2506947687193157e-07,5.878497533699237e-08,1.4826376233790306e-08,1.5410668144993764e-24,5.2210637065379585e-08,5.834167802294685e-23,-5.1077800529341804e-08,0.6416340145118011
2013-06-01,2014-03-01,-0.318754622346636,0.6099337934478437,0.5676307347945286,0.5764071678944601,-1.5008014694555607,0.8624621736308604,0.2642579004007686,25.875112533456036,0.22575484617172614,0.2722554064746186,1.4433630909865083,0.0027728372861801,0.69928914913204,-1.0846321720945056,-0.4239553346846366,1.8014534974439598,2.532358470964606,0.2418388040461572,0.34096390843718205,0.346927607964452,-1.292806009566864,-0.6321291721569952,1.5932796599716013,2.3241846334922474,0,0,-7.10676670331035e-07,-6.6505302342268125e-09,3.6272081944716932e-09,2.18565547552959e-08,5.522484921063112e-08,-5.1035204419686686e-08,2.0667512947538838e-07,-2.9524659780362817e-08,-9.218929174553842e-08,8.554834506016795e-07,5.017205596509171e-09,-2.1302524935021344e-05,-5.925693771945741e-07,-2.2908676662905034e-08,4.734425610897158e-06,-8.804246744561685e-06,1.736211195933149e-08,1.2723079204158423e-07,1.8566304065676007e-06,2.628423121879428e-06,-1.9236482170395185e-09,2.9344765365705992e-08,-1.668567308859507e-07,-1.7954413962756662e-07,-5.322651916287457e-10,-5.659188769294642e-08,2.099911475218768e-07,-2.2964111952835805e-08,-4.0536041718008635e-09,1.6397630227544018e-07,2.231867355641537e-07,3.0987853395684574e-08,1.5986023376768457e-07,-1.0670431582389019e-07,-3.8206255767417776e-08,2.2971518966787227e-08,2.2666295737977273e-07,3.4239713048737897e-12,1.3574307769329248e-07,-2.818853355466301e-06,-1.2262797940863482e-09,2.3361345368350806e-05,-1.0117346962820092e-07,-8.238683528771779e-07,-1.038034752871079e-06,2.8193290095557984e-05,-5.756165296236254e-08,-1.295611169933658e-07,-2.0373532120449815e-06,6.4307009601123845e-06,5.9000088015621176e-09,6.506155884449505e-08,3.570941851183571e-08,1.3664263688762235e-06,-8.68948401352825e-08,-1.4910163621111004e-09,-4.7644811179345513e-07,-1.7503628862940312e-23,-1.8863385420671228e-23,2.758183865060655e-07,0.6062661149598262
2013-09-01,2014-06-01,0.2379856456833806,0.5754443254214427,0.3724440663616104,0.3686337277680753,-1.320114858880583,0.113878360530556,0.40439468490358554,80.56806093999917,-0.848143841183736,1.8120735790375142,1.4382779880933634,0.0495813252518573,0.3026753350554039,-1.5440703963802889,-0.7529194008804709,1.39050488278957,2.117427564343615,-0.12890790901067817,0.25450732284729616,0.2505143317493173,-1.7724393320977156,-0.9812883365978977,1.1621359470721433,1.8890586286261883,0,0,3.6975954287276663e-07,1.5220424311738722e-09,3.403101011921661e-08,-3.4428003070339733e-08,5.356839915950883e-08,1.7302249922074924e-07,1.4550224636791609e-06,8.812490482467574e-08,1.0193644958781128e-08,1.7845536839776978e-06,1.4392032120588087e-09,-2.6195030451579584e-05,-1.8590712267811085e-07,6.338807200274338e-07,-5.9090077322849616e-06,2.9134629420817552e-05,6.885900094494495e-08,-2.568786145781222e-08,1.7861498107556845e-06,-4.215003606535178e-06,9.82471730394644e-12,6.793739849445373e-07,2.2467943268895127e-07,7.849371728899823e-07,-1.729422019821982e-08,-5.2804882753696287e-08,1.1167393084840368e-07,1.708432788957352e-07,-3.387059800527654e-08,2.9787141347034768e-08,-2.0054416633956216e-07,4.6760679240210786e-08,-4.36667083899579e-08,-1.3141765415922312e-07,-3.2207383580812614e-08,8.014710830154888e-10,-3.0221176793051696e-08,-3.3212930266278486e-07,4.506652090914057e-08,5.863613085894436e-07,7.630724547980369e-09,1.9191051044962846e-05,-2.838033316622581e-07,-5.433770154520541e-07,2.3248664797828804e-06,9.712038678359392e-06,5.3928310971949175e-08,4.236650515367925e-07,-8.924183458208584e-07,-2.9730276992019673e-06,-2.6079749954377283e-09,2.4605911831748563e-07,-8.321562288386832e-08,2.802427166337767e-07,-5.132392340878e-09,7.140892245334404e-10,1.7906628359132736e-23,6.501112868973043e-08,1.5671245906019804e-24,-5.929417869676817e-08,0.5984461982218126
2013-12-01,2014-09-01,0.2784321402910923,0.5963332048252152,0.36914683373986656,0.37222943800709685,-1.3080622211894877,0.10106108683192859,0.40561564443755166,99.99999999992104,1.1819349469589335,-1.0718956471232561,1.4290264338270244,-0.0876811076678585,0.1507446907327336,-1.5965962681469958,-0.9109717595107729,1.2557281034888979,1.9724574587671204,-0.2965052128861778,0.33540653797687947,0.33538769004329555,-1.3768820657783143,-0.6912575571420914,1.4754423058575794,2.1921716611358018,0,0,3.7719746828136125e-07,1.9011865303690215e-07,-3.606641230778763e-08,4.206744990548943e-08,-5.0792329374568496e-08,-4.4817531042064686e-08,-1.217052919578894e-07,1.5869618111520315e-07,5.9098776156008606e-08,-8.059084787289363e-07,4.03567476713761e-11,2.6376253386400396e-05,-1.208870003124236e-06,-8.44076434165016e-07,-1.7169914245348768e-06,5.616583307255789e-07,-1.1522493057399297e-08,-2.425546639361744e-07,1.066817674525358e-06,-3.156858273618407e-06,-2.2022274924231648e-10,5.1400588560424234e-08,9.263123793851047e-08,-8.098765959160977e-07,9.049558711076805e-09,-2.6907638173041634e-08,3.489295082992881e-07,-1.3348073769365156e-08,5.391310133906157e-08,6.9192970100363265e-09,8.275990672642893e-08,2.2766572510577498e-08,2.0982105614754687e-07,-1.3494095202952165e-08,4.94400743929201e-08,2.7906418649182064e-09,-1.6362751933958435e-08,-2.700198852343059e-07,-3.646690927297393e-08,3.947242970264691e-06,3.3392711538244834e-09,-1.9643312918192587e-05,1.9741986208475486e-07,-1.89249460667306e-07,-1.4861495534367763e-06,1.5724716844201925e-05,-5.87623594378172e-10,1.0167492365047575e-07,1.95386221173258e-06,4.383150505669618e-07,-4.063906295729785e-09,-2.418584274100027e-07,1.601155437834761e-07,-3.196213836025222e-07,5.14287548530565e-08,2.0616302481108e-08,-1.7218236062280062e-07,4.278201201448732e-23,-9.939616446468881e-23,-3.9257400546155794e-07,0.5861313989566651
2014-03-01,2014-12-01,-0.6870445050432512,0.5992477396895968,0.7543722344511614,0.7632499989708978,-1.7078583788166093,1.6545477388598688,0.19873644628715126,31.242070034141687,-0.9715671627910746,2.0041148730607397,1.450462093823409,-0.3289362236455595,0.6357829599040765,-1.2834154464288468,-0.48335046563871853,1.6926766766469459,2.4775943135916116,0.18634715513687894,0.34564721865509596,0.3508948163629328,-1.7437677662878166,-0.9437027854976884,1.232324356787976,2.017241993732642,0,0,2.8603074467774035e-06,3.2454904647665986e-08,-3.6933587304961674e-09,8.375080289939933e-08,-1.0766580307150618e-07,2.1737828180171993e-07,6.32283796976563e-08,1.0403382973960968e-08,1.3292654820160025e-09,-8.431804037654902e-07,-1.9795550838737333e-10,-3.090388168613102e-05,6.719377548790824e-07,-5.597438501638076e-07,1.9173489880197343e-07,1.685753049027889e-05,-2.9497499367090457e-08,1.3521554295804322e-07,1.3435411619391159e-06,1.2091163529403156e-06,2.490486390503573e-08,-1.5079139499127942e-08,7.890794857113901e-08,-1.1770590267466222e-07,-6.967843530957531e-08,-2.1430117420179316e-07,1.322649095114232e-07,-1.5449695376986888e-07,1.5262196481771852e-07,-1.7920227958878855e-09,-2.7761308958706362e-08,-2.414402088788879e-09,2.704023933307972e-08,-0.0,9.66888521253776e-09,-6.423094363139077e-08,-2.1839567481977635e-07,2.717542430505617e-07,-2.8130801100282505e-08,1.4060033762055587e-06,7.58590649588815e-09,9.798197384400576e-06,-3.4167856421581987e-07,5.121686044422665e-07,9.057657869899466e-07,3.782193294789947e-05,-3.411488424530163e-09,9.244514337239526e-08,6.480817673280107e-07,4.6610489700326113e-07,3.917751843391733e-09,-5.1981123087683405e-08,-9.118052486123124e-08,2.685317369513178e-07,-3.695778001236467e-09,2.42800568062189e-08,-4.863565265084492e-24,8.1827451805478e-08,7.843751926402676e-23,2.0688886851152303e-07,0.5689293338022187
2014-06-01,2015-03-01,-1.5561526927009812,0.492620769261472,1.3380267836025128,1.35010422042553,-2.3115516853894444,4.197472698441616,0.07554126060648314,99.99999999999896,0.18129214096843926,0.2302142865729649,1.4140774820792852,-0.8784672275139016,0.6581128689579383,-1.0992550718645215,-0.4019755072594111,1.7212884566614448,2.392918831094685,0.28864729201183437,0.8240092255585983,0.8313253150265174,-1.319002248495013,-0.6217226838899026,1.5015412800309533,2.1731716544641935,0,0,-1.8085384702039252e-06,-2.9614851508035217e-08,1.8102503307649944e-08,5.732956163783216e-07,4.144172314115374e-08,6.899429013845894e-08,-9.527341319593738e-08,-1.441785359611613e-08,5.191414040062844e-09,-6.146262937994303e-07,-2.7939195759940595e-08,-6.330892013461151e-05,-8.45380643457515e-07,-6.137641075404268e-07,-2.338418398179934e-07,2.6600824782960692e-05,3.221252604036441e-08,-8.991269355426098e-08,2.630222369882949e-07,5.89970127224496e-07,-1.979873426050965e-10,-5.167089894832555e-08,-4.509553405541278e-07,-6.430609446203442e-07,-1.433200872217409e-08,-8.726893709621857e-08,-1.424523674760679e-07,-1.4858084370392756e-07,4.4233744740305216e-08,7.751911566551854e-08,2.8019488470809514e-07,-8.570566451828018e-08,-3.5386646670374115e-07,4.3488131540865347e-07,-0.0,1.069279129120467e-09,-1.2791120305524622e-07,4.671830335630721e-08,-6.231247773978263e-08,-1.2188955110294942e-08,1.2922782339614875e-08,-5.717894338817195e-06,1.138056166103692e-06,-4.995309468141348e-07,-1.1698825051595782e-06,-1.630511124017679e-05,1.0873148735675463e-08,-8.92956945508595e-08,2.9686193718898947e-07,-1.1624570640743946e-07,-9.57973119110208e-09,-1.0544738658734224e-09,-8.788163749151396e-09,1.9506048284259857e-07,6.760209409559268e-08,-4.6786132781584e-08,2.1134595107192742e-07,-1.1879650928656969e-23,-3.279611627013662e-23,-1.976318131950214e-07,0.5508899250999305
2014-09-01,2015-06-01,-1.0353911030505238,0.5512980592009529,0.979130020512661,0.9871369740522967,-1.9182106566721282,2.517582497606293,0.13072073132087605,99.99999999999999,-2.078810483243258,3.4390457783910144,1.381487129447297,-1.042713669218287,0.14730320247032067,-1.6409649375438535,-0.9158041536111882,1.190310017650194,1.8312500516524808,-0.266170341930394,0.6564231916511557,0.6622992635369518,-1.7497329573964544,-1.0245721734637891,1.081541997797593,1.72248203179988,0,0,9.534265461931382e-07,4.53757750922323e-08,5.687468877649572e-08,2.251874389280031e-09,1.2939532355932418e-08,6.004943893868645e-08,-4.423204010632873e-08,-7.097297738335403e-08,3.1268579867875174e-08,1.0402022433923234e-06,-3.7388830047304535e-09,2.288353349889082e-05,1.0500447816989202e-06,2.1898862271152325e-08,5.591781315408771e-07,-1.0794441614331557e-05,8.090784078350668e-08,-1.0159291542536344e-07,7.433181431196612e-09,-9.72760686411687e-08,-1.7444661736181553e-08,-2.4329147314413224e-07,-2.067551803491889e-07,-2.4873528649190945e-07,-4.844678483199121e-08,3.843481253338616e-09,1.3046725005554585e-08,1.0629918533834286e-07,9.309818919926875e-08,6.883063484138017e-08,-1.2809242161525496e-06,-3.881943972477881e-10,-3.0102196186775174e-07,2.2228845988278757e-07,5.484472634811747e-08,-4.468985142102123e-08,1.6655272776825019e-07,1.2325025287945592e-07,8.448221739783485e-08,-1.6381685790971482e-07,-3.8438309510628263e-10,1.4017346652505578e-06,-9.821173368357635e-07,7.611527951425465e-07,-9.494925498849842e-07,2.0958037420186133e-06,3.341721300266955e-08,1.0274879996640046e-07,-9.734975622103904e-07,-7.399461218733604e-08,-4.1148973409663326e-10,-4.070302594667666e-08,2.6574216951646656e-07,-1.9214803809192702e-07,1.7677515334992298e-09,-2.6373497017092202e-08,-8.422879839067257e-24,-2.3037851038656672e-07,-3.6689642891773774e-24,-2.3989473131244025e-07,0.5452943969940995
2014-12-01,2015-09-01,-1.221828787548418,0.5966499736738327,1.1454078618802979,1.1490695151123247,-2.1061177985257995,3.306865005016411,0.09883431200220977,99.99999999999999,-1.8511547572376092,3.115283648416703,1.3641707823690858,-1.4541319195251925,-0.09027284860850426,-1.7721671952225657,-1.1567771705154712,0.933333100339225,1.5982787220169663,-0.5377603288638788,1.3262998847941723,1.3372406179605831,-1.2361889951710312,-0.6207989704639367,1.4693113003907594,2.134256922068501,1,0,-5.4498018803001e-07,1.2403228502378145e-08,-7.039844045425615e-09,-6.720206472832817e-07,6.150652889566674e-08,-5.0535559003083304e-08,-1.1466708831656231e-08,-1.3429580282137288e-08,5.807710861225002e-08,1.1833509318430672e-08,-1.0937012831613904e-09,8.821591568709336e-06,4.6386491853686714e-07,-1.0169464039888747e-07,-1.2741879952798687e-07,-2.3062655991679036e-06,2.2682865183632738e-08,5.947884948941033e-08,-6.678638129150282e-07,-1.3453194624301732e-07,2.761059013519384e-09,1.1517593662188182e-08,1.6722134485792954e-07,2.7479588167502737e-06,4.521094104815033e-10,1.0877153650523897e-08,-1.6630197713919086e-07,1.0449352287775121e-07,2.990142362288729e-07,-8.517164605582035e-10,-8.738200356570847e-07,-9.31572263985935e-08,1.7219026260630963e-07,-5.303419150414176e-07,-6.57151040207005e-08,-1.3727871261464124e-09,4.213470934282093e-09,-2.6904357854559902e-08,2.0081585084893606e-09,-9.645741057189684e-07,-3.5124051931347386e-10,2.628834952751984e-06,5.533881400736887e-07,-1.0496635499581545e-07,9.174806955644887e-07,1.0459770646307935e-05,-4.507118736732443e-08,-7.414770098208016e-08,9.121666894603238e-07,4.898664435370425e-07,1.0265601985670933e-09,-1.9629214416637438e-07,-8.77922815341345e-08,-3.477692924130133e-07,2.3682370213050417e-08,-1.800386090853166e-08,-3.414721121325923e-08,-4.5362393280728985e-23,-1.9872130370944446e-23,2.865732596196946e-07,0.5409335950150725
