Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_headline_6m_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_Factor_1_lag0,SHAP_Shap_Factor_2_lag0,SHAP_Shap_Factor_3_lag0,SHAP_Shap_Factor_4_lag0,SHAP_Shap_Factor_5_lag0,SHAP_Shap_target_headline_6m_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Factor_1_lag1,SHAP_Shap_Factor_2_lag1,SHAP_Shap_Factor_3_lag1,SHAP_Shap_Factor_4_lag1,SHAP_Shap_Factor_5_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2012-09-01,2013-03-01,-0.5953826692453035,-0.3146179150159076,-1.900497772765807,-1.284993178288212,0.5615298730226804,1.146563091346039,0.07882884721749309,0.2573619872390949,0.2487265621669792,99.9999999999986,-0.2891873991159953,-0.05936685433519128,0.9315971445550103,0.388008466751949,0.08913447584338581,2.794279627342028e-06,-1.4305903074103432e-06,2.448466532835062e-05,-3.392506669982481e-21,1.4727166577141247e-21,8.898069706941486e-06,-5.657314727967438e-06,-8.032963130226548e-07,4.553690866538539e-05,9.982979128951439e-07,2.296092034013694e-06,-0.13412057408491426,-1.9152997342047256e-07,6.544390212004034e-07,1.2108226921439455e-05,-1.7621573720601022e-05,2.7057548837645823e-06,4.240002857401975e-06,-1.7494692830985507e-05,-4.25367913769917e-06,1.9282355990544558e-05,2.309976414162336e-06,-1.0092650919902315e-05,0.14110072810743693,-0.4270721902575936
2012-12-01,2013-06-01,-0.1279526276012355,-0.8867798463404661,-2.429807598231658,-1.7945990858521672,0.11278701036413312,0.7041712193134209,0.5758187478995161,0.45038275490377705,0.4409280348971233,99.99999999999999,-0.5109527892677377,-0.3884775673976506,0.9348243743449673,0.7848834416701831,0.13066491417385823,4.132113260845239e-06,-9.640466752033798e-07,-2.888811980671916e-21,-5.345218092273858e-06,5.596969547071738e-21,6.997755959589181e-06,-8.460296319924285e-06,2.6437251384303278e-05,-6.179219903814054e-05,2.826212862273759e-06,-2.369202364190539e-07,-0.5039024028456024,-3.118943928339071e-07,5.805139663562275e-08,-1.1262104329870338e-05,5.952416091236076e-06,-9.238496608506708e-06,-1.3044480145957958e-06,-2.2606799500158003e-05,-1.1862746736854993e-05,-5.015084834625496e-05,-1.7365929054883099e-06,1.0624604622710772e-06,0.1217355251326014,-0.6204563998164936
2013-03-01,2013-09-01,-0.0553795839522308,-0.011174862783967468,-1.6256916436560256,-0.9906073125171984,0.8682629757665327,1.402330289571567,0.001954057373563908,0.22311596578748377,0.21709074118718538,99.85980892650626,-9.999999986729145,7.520504656562193,0.751234021053085,0.48164275172728277,0.03496079526684455,3.0171965096969265e-06,-3.443175569613517e-06,-2.356218980171548e-08,1.8428188070500582e-21,1.8681159330787982e-21,-6.266351419574787e-06,3.422365972257747e-05,2.3289052558295444e-05,-5.230001526122659e-05,-3.4611056181857137e-06,7.111763113152182e-07,-0.054173373118452245,5.524376475341122e-07,1.1362357542214008e-06,-2.026599854549159e-05,1.2564315077089113e-05,4.778758205485195e-06,1.8036736830337902e-06,-1.2492940580032443e-05,-5.35697329296367e-05,-5.0009862334172624e-05,-3.0731870766109096e-06,-4.543944504801248e-06,0.11230234764418126,-0.1683104789877099
2013-06-01,2013-12-01,0.0670906503184021,0.6157464924733929,-0.8165808443490986,-0.22938507875308395,1.5256875861309942,2.1704946825987275,0.30102323313080215,0.3388639886298818,0.3407085650460301,71.83514067564506,2.5161578010745003,-1.5786878834376978,0.8693929739398744,0.2669500687983687,-0.10630997833487167,-3.1848896466840936e-07,-1.7094599757404036e-07,-9.645448437878108e-22,7.85360360830153e-06,-2.3076636929195737e-21,-9.458148444590806e-07,-1.7164284459338707e-05,-2.8074046944562843e-05,-2.137598965594821e-05,8.878048454093337e-07,5.742960057372867e-07,0.12949723768141927,5.112315802949047e-07,-2.6311652455546746e-07,-3.1903514966908708e-06,2.2984662200527396e-06,4.261388557536337e-06,5.760135345405755e-06,-7.638532736366421e-06,-1.4344820528092681e-05,8.620155376639892e-05,3.1661090586537782e-06,5.768239253996041e-07,0.12483439259767325,0.4925037722152581
2013-09-01,2014-03-01,0.0027728372861801,0.25754387210569174,-1.255953101788961,-0.6374911684556342,1.103276728014668,1.6967693798777963,0.0649082801830048,0.24145908705601052,0.23746450819194354,99.99999999999972,-4.10307918246467,3.7602823718113565,0.8508644426260491,0.38666577176230615,-0.025093557363427724,-2.3040271083044477e-06,-1.1944717305491311e-06,3.370871308559189e-06,7.03181842831862e-22,-1.4425528873271835e-21,6.757510958197108e-06,2.110432481350231e-05,3.0583262579003146e-05,-2.1887633836811242e-05,5.151583959120509e-06,1.2866207125479397e-08,0.021118806909464976,9.466731741997685e-07,3.5442930248007883e-07,-8.140399651528271e-06,-1.7229248937764805e-05,1.2902673797199764e-06,-1.424484842121478e-06,1.0437813940460398e-05,-3.5737257518433358e-06,4.452241047156134e-06,3.437647391358711e-06,-6.1140974296917315e-06,0.13755182766963694,0.11293089503547904
2013-12-01,2014-06-01,0.0495813252518573,-0.318291730957296,-1.7309552781998983,-1.133645748102463,0.5594722419022494,1.148402683981721,0.1353305854846629,0.26561578033653555,0.2560654470082889,78.12156076545146,-1.2460936388048784,0.772084714022714,0.8536201560567349,0.6559687235839627,0.09808945129785947,1.1803638658798007e-06,1.633684967033189e-07,3.9010253453688464e-21,1.918305092346171e-05,3.398730550623652e-21,6.213563119006456e-06,1.3225847841346248e-06,-1.6641132349376764e-05,8.155465958482132e-06,1.1122891819997131e-06,-3.140470053540792e-07,-0.07102985679596094,-5.230138642047062e-08,1.0489409988273906e-06,-2.036936604195495e-06,2.0232670908156086e-05,-7.529127408574963e-06,-3.023263326291846e-06,-8.668580992541401e-07,5.1424367336339306e-05,-1.8241129423905136e-05,4.753538838571065e-06,-3.920457079193269e-07,0.13427071314320665,-0.425413121896856
2014-03-01,2014-09-01,-0.0876811076678585,-0.03391835945556472,-1.5533735212860837,-0.9277756947958263,0.7955249378063962,1.3325070282628497,0.002890433095338498,0.21263317960624248,0.2068739173387159,51.64592092138008,-1.00634458155494,0.8205646207146966,0.8718522219009437,0.4879565737004298,0.024927661222090804,1.1254414319432465e-06,5.548121715618654e-06,-3.4939198251650263e-05,1.183053310080809e-21,4.0902009717372555e-22,1.842798988258011e-06,-3.9289566385798e-05,3.5675094200690135e-05,-8.633966183386917e-06,3.0403446098212123e-06,-1.9762518809561926e-06,-0.12002325293223265,-2.2477985594732422e-06,-1.2848316651811905e-06,-2.952723783130221e-06,2.011865490968194e-06,-9.452698308201545e-06,-1.0266539340642134e-06,8.0100673405329e-06,-6.55875694042941e-05,-1.0012415814563302e-05,-1.0313358600541242e-05,2.111077725605717e-09,0.11961211213401719,-0.11015805774929888
2014-06-01,2014-12-01,-0.3289362236455595,0.7433609255798239,-0.7253166259487873,-0.15687015714617042,1.6411379972391087,2.225297583493601,1.1498211762368842,0.6797738794809262,0.672716459811139,99.99999999999999,1.5441187155300504,-0.6278197943853607,0.8880569966233308,0.11351232495297539,-0.11140118510989544,-7.93409838816636e-07,-1.2875346965333538e-06,4.801917920087345e-21,-1.938817115798421e-05,1.7023033369981578e-21,9.751750650887706e-06,2.4056037596267414e-06,-3.0812379545953445e-05,-4.328875846954691e-06,6.08883285513634e-07,1.7065795064354443e-06,0.22453904589218143,1.4978707316029688e-06,4.315528555752817e-06,-5.422880448879849e-06,-5.617292206641208e-06,1.9323711873254634e-05,-5.30281357893793e-06,-2.279893318900726e-06,-2.898894922116698e-06,-2.0301894018557513e-05,-4.414022322980814e-07,1.1999425432656706e-06,0.12937608836471384,0.4749944471487133
2014-09-01,2015-03-01,-0.8784672275139016,0.27711397926510845,-1.1275481205904083,-0.5757291793230073,1.1284802700153362,1.7030770834460387,1.3353679254608333,0.7474522812494802,0.7434868965193415,99.99999999999999,-0.8902739872029963,1.040592940541688,0.8518516554046175,0.09010735869648567,-0.0053102199775374595,-2.671210794331487e-07,1.5861647814246606e-06,-2.2323500613982495e-05,-1.1159940784785742e-21,-2.3616370523051233e-22,-2.5785009894195685e-06,2.9041527815645104e-06,-1.0822048455096685e-05,1.7572742679829343e-06,1.0582749505835821e-05,6.456050873996472e-07,0.168180465948287,7.613532385967585e-08,1.2146139082783334e-08,2.229621564163479e-05,-2.3818463939004515e-07,1.6169061349478167e-06,2.978805600546646e-06,5.112267221117703e-07,2.1263314066435357e-05,1.124190096721308e-05,2.4425460422554386e-07,-5.404600379104789e-07,0.13462875469551971,0.02247695008144035
2014-12-01,2015-06-01,-1.042713669218287,-0.7373583928048907,-2.201874192512346,-1.6107581643563287,0.11863561978642809,0.7122822963258933,0.09324184483350167,0.2518440946214732,0.2466074561270138,99.99999999999999,-2.3614321194891463,1.29837347622179,0.8600820938230819,0.3641917169402349,0.1923240260875502,-1.1191621527231137e-05,-5.177010027514912e-08,1.804553249883728e-22,-3.347308874740113e-06,-1.91798658907978e-21,-1.4311838218204826e-05,-2.186132807527389e-07,2.0405807644010845e-05,-3.685014770763778e-05,-1.9941036982790404e-06,1.5442060473474059e-06,-0.2624072773384965,-1.9579052593512978e-07,-5.437747665065063e-07,1.9162168229943712e-05,1.4263473907096398e-05,-2.991626673876508e-07,1.810159679850459e-06,7.311241010907754e-06,-4.887944294962627e-05,-1.2841950309345531e-05,-2.8235048020605607e-06,2.2723781067804617e-06,0.12370530093208726,-0.8039306707942728
