Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_headline_9m_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_Factor_1_lag2,SHAP_Shap_Factor_2_lag2,SHAP_Shap_Factor_3_lag2,SHAP_Shap_Factor_4_lag2,SHAP_Shap_Factor_5_lag2,SHAP_Shap_target_headline_9m_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Factor_1_lag3,SHAP_Shap_Factor_2_lag3,SHAP_Shap_Factor_3_lag3,SHAP_Shap_Factor_4_lag3,SHAP_Shap_Factor_5_lag3,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.0980377667445964,0.7092011531626081,0.4349982959102099,0.4497639201283732,0.3735206848979319,0.3463100424567797,99.99999999999999,0.6048930481082274,-0.2100018341905605,1.4663512391148108,-0.1279526276012355,0.33041991221227335,-1.5111377186358808,-0.798885736571001,1.366187918169131,2.0626932883660154,-0.2014809526596828,0.26706759141386077,0.275255552590689,0.009707884658642816,-1.8491129959777474e-07,5.604833638728919e-07,-3.0715748013514654e-05,5.376193332884698e-06,-4.995543746318915e-06,-2.3524000823046322e-06,-8.649526059186813e-05,-8.88890987319305e-06,5.9981754797435444e-05,8.959769656474324e-06,7.679849057866433e-06,-0.030715551655579466,9.407232542708369e-07,-1.3413729691108303e-07,-7.128168605427578e-06,-1.2178246059792602e-05,1.427155940572602e-06,5.039253209286559e-06,-7.81831657913477e-05,-5.930842349121141e-06,2.5278818459283353e-05,2.3901187591140083e-06,-1.7819676720125605e-05,0.7055789957212283
2012-12-01,2013-09-01,0.4847944842727732,0.6614049707148506,0.3557631348864846,0.3565910216946705,0.0311912639213072,0.44467494213041503,99.99999999999189,-0.24396481612761345,1.0482610234411072,1.4669705454401356,-0.0553795839522308,0.07707828087932717,-1.6991365292556209,-0.9982936539256477,1.2447498672229595,1.957501921492973,-0.4189754471568108,0.4277040296917964,0.4289976102046176,-0.0027607044063202705,1.4685171763046384e-06,-7.47795904789068e-07,-1.609558581064254e-05,2.9612477637562474e-05,-2.380293779055958e-05,-1.5016490545907102e-05,-9.528659796633469e-05,4.538197432672344e-05,-4.491617957858316e-05,-3.087318371735701e-06,-3.291427845555613e-06,0.003866537940532335,-2.516503033021223e-06,-1.2170160096582497e-06,-2.2799594483457785e-05,1.4430212904590273e-05,7.4355429027372145e-06,-7.864679822085715e-07,-5.046523006207611e-05,-1.4327805127241478e-05,-2.0350007593510293e-05,-8.163477523098482e-07,9.651938947082705e-07,0.6829052906454047
2013-03-01,2013-12-01,-0.244765757134265,0.7109691653899892,0.5788467993283691,0.5836558959810443,0.9134292421324421,0.262469062828949,99.9999999993544,-8.872272436992422,11.709262759350013,1.2364839603678042,0.0670906503184021,0.7838918422115928,-1.151981197151309,-0.3644732394789811,1.8484235611529836,2.4741233463328824,0.2506649681691009,0.2721402193891508,0.2808136528261776,-0.0013606899174818151,-6.621558845518401e-06,2.7314719829227728e-06,4.924055683519734e-06,1.1388916957422273e-05,-2.543698061340483e-05,1.3880766231264133e-05,-1.5462066334844897e-06,2.220220353986236e-05,-4.132205518733991e-05,-1.6094401206351204e-05,-1.4105078268399923e-05,-0.01324331114611433,8.110699171622933e-07,1.9659821321328866e-06,1.749118142487223e-05,3.477736851214757e-06,-1.327989011798267e-06,1.6299913416925512e-06,-5.8323971221184284e-05,-3.591397785513462e-05,-3.1139895269652006e-05,-6.2682173617999635e-06,-6.420423532390873e-06,0.6263546775771633
2013-06-01,2014-03-01,-0.318754622346636,0.5646603329782782,0.5525799319487186,0.5499811756493815,0.7804219832917202,0.2651264265877007,60.545113304773764,2.0592196976935435,-2.331120055899163,1.4050385461249852,0.0027728372861801,0.6653340537798659,-1.0834911104634701,-0.353915014014961,1.7518258380786016,2.5149599824275217,0.2418388040461572,0.3305523871232545,0.3282960896664088,0.003181532159148293,-4.6431168888106714e-06,1.30895612246221e-06,-2.550999966858632e-05,-3.415692966280337e-05,1.483809419914843e-05,-6.27343336140473e-06,-0.00012206106860525538,-9.944735695940837e-05,-1.2013028123323465e-05,-2.2070637034958274e-06,1.314790479501048e-06,0.019734744546796665,-2.6845742633934676e-06,-5.011423183140986e-07,1.729874724732045e-06,-2.9164604249034198e-05,-1.1394023739249083e-05,9.235447758923757e-06,-4.041829909000609e-05,-9.375498498016755e-06,6.623923999960371e-05,1.6637212759295761e-06,-1.3399393523000084e-06,0.591528332683904
2013-09-01,2014-06-01,0.2379856456833806,0.5699755437979583,0.3683502404908694,0.37504258799655804,0.11021729245012771,0.40895114819601086,59.88897326890462,-2.2753614471138466,3.780204388199082,1.4043657563770668,0.0495813252518573,0.2985737488377906,-1.5338887031971042,-0.8065495236007458,1.3392079834446202,2.085965405984474,-0.12890790901067817,0.2535440145496426,0.25970346919514353,-0.007031005436579546,-2.7221760127671253e-06,-2.789003934876377e-06,-9.430849749105371e-06,5.195751384690705e-05,1.0212872145109287e-05,8.179768095105798e-08,2.2887871336518657e-05,4.3846751986859867e-05,-3.2125924463922746e-05,-6.8351328731626804e-06,-2.7559527402510263e-06,-0.019761648460956696,-4.683816019861687e-07,-2.2860406000057002e-06,2.2129517109506715e-05,-9.370609977565548e-06,3.650835719151492e-06,-2.915427330058487e-06,-1.6799326460103894e-05,2.6991323372923763e-06,6.271273624832209e-06,-1.0804959969976066e-06,-8.62474698117241e-06,0.5769023697297923
2013-12-01,2014-09-01,0.2784321402910923,0.4868198452408219,0.35797845032183695,0.36135357473307933,0.04342543557421555,0.4360214641357867,99.99999999999999,-0.06856080991011822,0.6146719105232659,1.460508345582999,-0.0876811076678585,0.06860967104443863,-1.7064012843452898,-1.0030374104133106,1.1727636342222396,1.9297873840231157,-0.2965052128861778,0.3136590793154371,0.3151341352213509,0.006796407225601754,3.524534946687254e-06,-7.25962267962911e-08,3.2288351011408273e-05,5.616097150234111e-06,1.3458567461126225e-06,-9.433147821837696e-06,-9.088345266751867e-05,-1.1818166531511636e-05,6.619777215355448e-05,2.664104204070758e-06,6.456159040367283e-06,0.007389193790079181,1.5403415967162502e-06,-5.826661346966786e-06,-2.727920638490858e-06,-1.7162117199851735e-05,4.395339335601244e-06,-5.752583208675379e-06,-2.6805417325272367e-05,4.957160578564785e-05,-3.760840561329547e-05,-2.611733277235597e-06,-1.6480918114057713e-07,0.5684325161537446
2014-03-01,2014-12-01,-0.6870445050432512,0.4959201874066665,0.708149973280992,0.7105138678992443,1.3994054635831286,0.20203731568460473,99.99999999999541,2.2034253238410977,-2.6191243568216285,1.411728855566727,-0.3289362236455595,0.5582872956918787,-1.223776525888376,-0.4767560459816412,1.6440740576971646,2.372894129471279,0.18634715513687894,0.3193368266121483,0.31903825504819894,-0.002756573281036234,3.997031488734473e-08,4.5189997974948376e-07,-8.647584633081574e-06,-6.875454739324869e-05,2.0718907447102345e-06,4.385983230667662e-06,-2.5420628085849224e-05,0.00012255862444636377,-3.9230169982857e-05,1.8139651624561033e-06,3.411416029551093e-07,-0.005466526594046509,8.030950240338477e-07,-3.784346023265605e-06,1.9032400081452197e-05,2.5192019567408864e-06,1.856468070287734e-05,2.863039206071531e-06,-3.151951858988227e-06,-3.416131382231016e-05,9.372685847631552e-06,-1.2636930021527786e-06,-1.4304291802017562e-05,0.5447286437772904
2014-06-01,2015-03-01,-1.5561526927009812,0.5965178477071913,1.4201163784453572,1.4287314950904526,4.6339904555412135,0.06948819610537249,99.99999999999999,1.2793972116070806,-1.2652075250916501,1.4484485955235844,-0.8784672275139016,0.7360356777922279,-1.0289783212557184,-0.3819867828485667,1.834140701767496,2.544105022162115,0.28864729201183437,0.8824044902965461,0.8895328175221243,0.0069166844062074,-3.83752948126532e-07,-9.821399971608798e-08,3.3731086148632484e-05,2.6607906184187405e-05,-1.1986244830808039e-05,-2.2058402401755687e-05,-6.8163239717666615e-06,-6.217182968618907e-05,-5.137035355590128e-06,2.847216161296772e-06,-1.7142696957492546e-05,0.02277766289426318,-2.6385324495992573e-06,-1.2639066633739061e-05,5.070668395315365e-06,-5.1110612472970144e-06,-3.318314589065683e-05,-2.6526406925509492e-06,2.1227737671523737e-05,8.490423342033263e-07,-1.4467144421178415e-05,-2.6827710618226544e-06,2.169406515519401e-06,0.5237520809422477
2014-09-01,2015-06-01,-1.0353911030505238,0.37364905362437095,0.854128906441321,0.8611604777993311,1.9853941631224123,0.15705982006766664,58.322977297528325,-0.9708963334281299,1.7266209830244919,1.3788190091212593,-1.042713669218287,0.01406644828788417,-1.7535594099202971,-1.006844740356943,1.029505937883012,1.7591431391146617,-0.266170341930394,0.5687358529435345,0.5720974797770422,-0.03425116309622632,-4.100398777759323e-06,2.975792120297532e-06,1.5594610630105538e-05,3.5066514277129663e-05,4.948523807750617e-06,9.713261815330009e-06,-4.201415118359461e-05,-3.29417464038609e-05,-7.57240756528993e-07,-6.921448064613478e-06,-8.059665452023348e-06,-0.04928880625193451,9.064521668013232e-08,1.6134704946964924e-07,-2.0163567637032254e-05,1.6480728565549014e-05,2.9872540606400456e-06,3.191583376135505e-06,-2.266443499516648e-05,5.186890505908914e-05,8.651547844807989e-06,4.627237745647507e-06,4.684350769256495e-06,0.514208917000905
2014-12-01,2015-09-01,-1.221828787548418,0.4561103558609649,1.038940239588342,1.0434631502773577,2.8154797689854134,0.12139704988764509,99.99999999999893,-0.6596534399348438,1.3940896470000563,1.420060520060076,-1.4541319195251925,-0.19567756196815514,-1.9312219533968675,-1.2316422568268073,0.8689268091306245,1.5903642692362583,-0.5377603288638788,1.228507678373531,1.242000791107487,-0.015475077522455352,-1.17201784833697e-06,3.200215556677119e-08,1.5471184363816197e-05,3.130518168242548e-05,3.6188891902117457e-06,7.255189022398759e-06,-2.833506967720431e-05,3.025197038870763e-05,-0.00010429570118206397,3.2516905633046904e-06,2.8090138175512043e-06,-0.04806875205893714,-4.601753789399652e-06,3.8184699993536304e-07,1.908698931079192e-05,1.0303706615941476e-05,-5.3961032074450245e-06,3.192904821405339e-06,9.436695443790316e-06,-4.980862256761613e-05,-2.253050883090085e-05,-3.6050373191985863e-07,-1.0313366086142744e-06,0.5056764994917556
