Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_headline_12m_lag0,SHAP_Shap_target_core_12m_lag0,SHAP_Shap_PPI_lag0,SHAP_Shap_real_turnover_lag0,SHAP_Shap_retail_turnover_lag0,SHAP_Shap_Manufacturing_EU_lag0,SHAP_Shap_Vol_loans_lag0,SHAP_Shap_Exchange_Rate_CHF_lag0,SHAP_Shap_gdp_index_ch_lag0,SHAP_Shap_gdp_index_eu_lag0,SHAP_Shap_kofbarometer_lag0,SHAP_Shap_infl_e_next_year_lag0,SHAP_Shap_CH_2int_lag0,SHAP_Shap_Business_Confidence_EU_lag0,SHAP_Shap_M2_change_lag0,SHAP_Shap_fin_spread_lag0,SHAP_Shap_oilprices_lag0,SHAP_Shap_Saron_Rate_lag0,SHAP_Shap_unemployment_rate_lag0,SHAP_Shap_infl_e_current_year_lag0,SHAP_Shap_M3_change_lag0,SHAP_Shap_Wage_change_lag0,SHAP_Shap_M1_change_lag0,SHAP_Shap_EU_fin_spread_lag0,SHAP_Shap_variable_mortgages_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_target_headline_12m_lag1,SHAP_Shap_target_core_12m_lag1,SHAP_Shap_PPI_lag1,SHAP_Shap_real_turnover_lag1,SHAP_Shap_retail_turnover_lag1,SHAP_Shap_Manufacturing_EU_lag1,SHAP_Shap_Vol_loans_lag1,SHAP_Shap_Exchange_Rate_CHF_lag1,SHAP_Shap_gdp_index_ch_lag1,SHAP_Shap_gdp_index_eu_lag1,SHAP_Shap_kofbarometer_lag1,SHAP_Shap_infl_e_next_year_lag1,SHAP_Shap_CH_2int_lag1,SHAP_Shap_Business_Confidence_EU_lag1,SHAP_Shap_M2_change_lag1,SHAP_Shap_fin_spread_lag1,SHAP_Shap_oilprices_lag1,SHAP_Shap_Saron_Rate_lag1,SHAP_Shap_unemployment_rate_lag1,SHAP_Shap_infl_e_current_year_lag1,SHAP_Shap_M3_change_lag1,SHAP_Shap_Wage_change_lag1,SHAP_Shap_M1_change_lag1,SHAP_Shap_EU_fin_spread_lag1,SHAP_Shap_variable_mortgages_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2012-09-01,2013-09-01,-0.0686985256836081,0.4050500475082779,0.1050718853998964,0.23519307911665993,0.5839739830864145,0.7064673850168857,0.2244377106013478,0.3822555904730608,0.3782970528922674,28.43213577544321,0.0668733426999046,0.39858239703190923,0.17462773202323992,0.005103762912869074,3.582372913623771e-09,-6.082313984179539e-06,-1.9173801844146814e-08,4.399985083643118e-07,7.275502076609224e-08,-5.1986376611513816e-08,-3.252199894459345e-08,1.8495415280794187e-07,9.534711438893403e-09,3.902863078729048e-08,-4.8700332926736274e-05,1.4593970227184617e-07,-1.0322806277620419e-07,-1.500348941189706e-06,1.6889648643988999e-06,-1.9374076407839177e-08,6.893886129484824e-05,-2.411787424428907e-08,-1.7690885322604203e-06,-9.959043645051128e-08,7.810021018001896e-07,2.3637664436858777e-07,8.305005521715358e-07,-1.4074594098224939e-06,2.837824830865656e-06,-6.7366574575033704e-09,-6.334180587965448e-08,-4.4165909857891267e-07,-4.8350118208535057e-23,1.1957182338309338e-22,-1.0118893078130718e-08,3.35006376675891e-09,-3.818259876744721e-06,-3.900574782263497e-08,1.0667956214605361e-07,1.889802218754589e-08,-1.7205825974395262e-08,-5.330032239833653e-08,-1.3449711152856748e-07,1.217768157625616e-07,4.23864626705013e-08,-2.1155337420205393e-05,-1.3040715515029895e-07,-1.6964636545436106e-07,-2.413516435084105e-06,9.410919864006016e-07,-8.118871907694687e-08,1.106524916714072e-05,-2.0409269812889487e-08,2.1011040742797613e-06,-8.256698160547229e-09,-2.3125939308820505e-06,-4.4683342061967417e-07,3.801112538329598e-06,-2.7152077648138734e-06,1.3186950750224485e-06,-6.7095740578071375e-09,-1.609315471231235e-08,-4.938871136072809e-07,-3.4408468828021666e-08,2.1613431009222691e-07,6.700388807248553e-08,0.40938278935036515,0.0
2012-12-01,2013-12-01,-0.0163107733018641,0.38551170337980956,0.08802193451369629,0.20023781582552277,0.5598565145026808,0.6780778177160623,0.16146130276659415,0.30263844251832694,0.3000901391620576,99.99999999999999,-1.3946740032271059,0.6344645595539632,0.1784018307624344,0.014861564997871456,-2.8942516175636663e-08,-2.468310242774027e-06,-1.2495526787631355e-08,1.945912600202075e-08,1.8318588899552018e-07,0.0,-1.5831080195539624e-08,4.325358618659448e-09,3.3645815871348256e-07,-3.433672629728411e-08,-6.668675251269233e-06,-3.7661143861334043e-07,-1.4669236007654727e-08,-1.1888747180492462e-06,-6.593643749696445e-07,4.033405459430393e-08,5.264143678905867e-06,2.346497981272362e-08,3.4207480650346554e-07,-1.4100422827301088e-07,-1.566810598836541e-06,-5.81410785254834e-07,-1.2583457814687468e-06,-3.0506192650569524e-07,1.0330084738916067e-05,-1.0697511117587945e-07,4.5597224264675535e-08,-3.5391146243387876e-23,-7.248858530341494e-07,-6.803515286350206e-23,2.1189069988509953e-07,3.1719896780043555e-08,1.3527869585043605e-05,-3.737264064266779e-08,1.0525655751847953e-07,4.492271890879858e-07,8.569165559427746e-08,1.259618652071618e-08,-1.4118352679840638e-07,-6.404370225844896e-09,2.7089607329105397e-08,-1.988319420321625e-05,-3.200341326135155e-07,-5.604660126638666e-08,1.974892231297302e-06,3.1804649787216083e-07,-3.6466616546513726e-08,-1.06179641898497e-05,-1.0877461334580914e-08,1.082596511660362e-06,1.5271961529732476e-08,3.3493859159086364e-07,4.3825286138169234e-08,-5.117218527488085e-07,-9.516197199758867e-07,6.985666337203266e-07,-2.605699080499084e-08,1.7325884138103433e-08,1.4449610304277948e-07,1.5335929554757514e-07,1.0659627142812428e-07,1.8855818233822784e-07,0.3786737262797444,0.0
2013-03-01,2014-03-01,0.0721983425743033,0.35461796562470055,0.06969985438283864,0.18065854171087314,0.5443491387553118,0.6642513023668837,0.07976084348392848,0.1975655779798582,0.19536656478856324,99.99999999997819,-1.6593807888551058,0.6567556803022009,0.17744298070598927,0.05652561068745738,-3.5301925267529396e-10,1.163735186836388e-05,-1.661057082774091e-08,-4.5132646211418537e-07,-1.0288835033750548e-08,4.429809934141581e-08,-1.6438504587486796e-08,8.131356766422832e-08,-4.545318777817534e-08,7.247011643403352e-09,-2.286696958374198e-05,-7.181136157468178e-08,-3.846390192636191e-09,-2.810942944220888e-06,5.147028165966281e-07,2.026706339500789e-07,-1.05737263424932e-05,5.970274473260359e-10,-5.862172092339686e-07,-2.523988858728598e-07,-2.4071052479597526e-06,2.3636793416030354e-07,-5.739271024628334e-07,-1.3955729194226535e-06,2.261993841824484e-06,2.8397936634773955e-08,-2.945587097995491e-08,2.7435767778191196e-07,9.012935667078655e-24,-1.795472808179455e-23,2.529755022257373e-07,-1.6322057774360482e-08,-1.0707030489819644e-05,1.3292881766779816e-07,-1.512342527083795e-07,2.945001395679955e-07,-3.498850667403327e-07,-4.870241046609824e-07,-2.5159521856711153e-08,1.1581673614839896e-07,-4.3455988204133384e-08,2.784252672436602e-05,-2.681139872258467e-07,-1.7323742299478783e-08,-4.4508787475535353e-07,1.4864003584360044e-06,-5.420912732233498e-07,3.2236018167316285e-05,-6.570520539110298e-09,9.800891003713193e-08,6.137288443991661e-08,7.702344895068574e-07,3.7404841518033433e-07,5.350106991485108e-06,-9.967624897043514e-07,3.908735579827673e-06,3.0801690483955207e-08,2.963248194573619e-08,3.4000409454832234e-09,3.0481894278016666e-07,-9.853354605613271e-08,-4.800075736575323e-08,0.3540837111598636,0.0
2013-06-01,2014-06-01,-0.0402056980780329,0.33318583184447176,0.03549382871739951,0.15239785045019344,0.5101951602258255,0.6228834962883051,0.1394212346178687,0.27567932770148534,0.27316348832878223,99.99999999965286,-1.7123957017039444,0.6325819503997987,0.17509390247871032,0.02032307895377721,-6.961306517737951e-09,-7.954380078226295e-06,-2.1738833786676605e-08,1.0702414938286099e-07,-1.9513481063041531e-07,-6.653002036535635e-08,1.7604385459837322e-09,-7.845472499870596e-09,-2.5668765719952377e-08,4.340074890781921e-08,8.401742000096456e-06,3.5042101740181726e-07,-4.242149763724374e-08,3.557273222620632e-07,2.1090670159042345e-06,-1.4955489301628495e-07,-1.5822894638958695e-05,-1.2725859290156848e-08,2.796727567596298e-06,-3.3961733923769964e-08,1.3759452324015046e-06,3.9169332658140673e-07,3.5306315942341514e-06,-1.3471922794739148e-06,2.1324331321402293e-06,8.064653520803049e-08,-2.7282707433028306e-09,-1.6081788266085483e-23,-2.3335232934658025e-07,3.851540355834785e-23,-9.335843746300881e-08,6.194136923207054e-09,1.3929814096941378e-05,-2.590272616822843e-08,9.571849115125017e-09,1.6777421782763234e-08,3.078552851958613e-08,-1.2933665504478735e-07,-2.3831789148001953e-07,-1.1051668155016372e-08,9.895443404375543e-08,9.074853188681585e-06,-2.824385833001795e-07,-2.5103276356134594e-08,-2.099765607527125e-06,2.248383323913959e-06,3.9035516779688154e-08,3.1464629160258244e-06,-3.110735260364639e-09,-2.1960159111334005e-06,3.0844174522856237e-07,5.875837778993238e-07,-1.1360664795116735e-08,1.2507058874280136e-06,-9.217032861301805e-07,3.3251855004314132e-06,-3.352313597059642e-08,-2.2825538609307976e-08,-2.3463952289703682e-07,1.4605468016770897e-07,-3.0227092949378977e-07,-4.913647254699207e-08,0.33305075435936593,0.0
2013-09-01,2014-09-01,-0.0019006300588486,0.3242375460595722,0.03240271142069083,0.15078953190731684,0.4951643865070745,0.6105761991367008,0.10636610992185008,0.23189688057066882,0.22985816812218213,99.99999999999999,-1.1534112394961231,0.5207221368511956,0.17163032614774884,0.03272368427239842,2.405173046970154e-08,-4.2482632445317547e-07,7.091672141266117e-08,8.333209360691381e-08,1.5814003748242548e-08,8.609196630505441e-08,-1.83658000143488e-08,-3.9012533750999495e-08,1.1739282416605424e-07,1.891974456758784e-08,-5.3245758003575146e-05,8.81597275193361e-08,1.4332585597069404e-08,-5.89224551531244e-07,-9.130603793684332e-07,1.811958535145212e-07,-6.156443803588432e-05,8.47448335633754e-09,6.031492406428625e-07,7.246458040376703e-09,5.159343000758133e-07,3.0045837624553713e-07,-1.5762096723684633e-06,-1.9290467147783796e-06,5.318414118239796e-06,3.8868703106535586e-08,-4.0086234363631985e-09,-1.9402657273855408e-07,-8.205630553462374e-23,1.2487260283916806e-22,2.677087067577524e-07,4.8016085285053767e-08,1.95069747618675e-05,-1.1066005210910045e-08,8.322471598126884e-09,-3.223403283743305e-11,4.173013113889904e-08,-2.99610352878899e-08,2.67577026458079e-07,4.1030322482081983e-07,3.002851538838667e-08,6.378115540847731e-05,-3.2845178150573193e-07,-2.5238014319303865e-08,8.894600259709679e-07,-5.980732150586711e-07,7.322706983221684e-08,2.69896902957288e-05,-5.860851343864507e-10,8.749728079137713e-07,-1.695667718621399e-08,1.4153163291691369e-06,1.890969313369568e-07,-1.1002754107458543e-06,-9.780396391760527e-07,3.737840720141593e-06,1.9869808624779087e-09,-2.6920743167692898e-09,-7.244372371232718e-08,-1.2261397096556484e-07,1.513213281585773e-07,8.568456212658827e-08,0.32062229790877084,0.0
2013-12-01,2014-12-01,0.2551637534921269,0.30850964822585253,0.017924595745371114,0.13534971579401955,0.48994113985406074,0.6018620372966995,0.002845784484941737,0.048884224637486214,0.04830383051902519,51.62902817610952,0.5162063571746646,0.21887029930939148,0.1759771096460645,0.37793858026469396,-1.212768705164164e-07,5.937279108124405e-05,-2.971514937965058e-09,-3.967221599763997e-07,0.0,-3.7382365289436205e-08,-1.4299005507717138e-08,4.868271591370078e-10,3.346667311643245e-07,5.988767022239215e-08,-8.195958387309687e-06,-3.444353649316e-08,-7.303894039797146e-09,-3.2799040796222684e-07,-1.5668194121394867e-06,4.858023127537973e-07,1.3219949920202143e-05,2.4568347368043404e-09,2.9281346237040216e-07,4.8871594453251875e-08,7.141149013422984e-07,1.588611533610154e-07,-1.5063553861504047e-06,-7.557777345778297e-07,5.638138929737495e-06,-2.8070820787179573e-08,9.896536077204115e-08,-2.2909994356525425e-23,8.067932115110976e-08,-8.261738650033151e-23,-2.413889373975498e-07,-5.158371024545837e-09,2.9486808031125722e-05,1.335549155431023e-08,-3.7315595537866684e-08,8.322333989161515e-08,-1.4563392782671603e-07,4.88170308047126e-08,-4.880644448885797e-08,3.310422609193895e-07,5.013131272111636e-08,-1.2015450988271158e-05,-1.6947145992392664e-07,-2.0033586748073704e-08,7.784429055089923e-08,4.2239250922744053e-07,2.7996914925292904e-07,4.222402692668995e-06,-9.705040017474138e-10,-1.0802870956909677e-06,-5.075860293979313e-09,8.318174695526012e-07,2.4526299110853012e-08,1.7831456561284027e-06,-9.84125626822076e-07,-2.7724168884252065e-06,2.633379928842063e-09,-2.119795680074125e-08,1.6351015913359894e-07,-9.984440087701237e-08,-5.407251905265746e-07,5.602732189679544e-08,0.3119965724052595,0.0
2014-03-01,2015-03-01,-0.1784907206497266,0.29968075799488686,0.020163026125521073,0.129661365471433,0.48234887122773634,0.6012791818856096,0.22864796298917603,0.388172213668222,0.3842037707175837,70.1200780942261,-0.6469572603446154,0.41793443915973244,0.17344719642717946,0.003776051785426307,2.254051567610792e-07,-4.2660879061822684e-05,-7.245211747691299e-08,-4.801265799545271e-07,1.5309522728925232e-09,-0.0,2.0543486721544444e-08,6.381138499951224e-08,1.5383279666821876e-08,1.6336131956112822e-07,-4.8269027517535805e-06,-1.690711802999932e-07,-4.107913334040194e-08,-8.617330328532475e-07,1.7170779668363283e-06,4.280627510280409e-07,-1.1389813578335852e-05,-1.0592006441382344e-08,-2.375310626409053e-06,-7.854003023451043e-08,-9.438252346006934e-07,-2.5509941852869203e-07,-3.473313118742064e-07,-8.272051617735042e-07,-2.487960550806386e-06,1.5186287328385618e-07,-1.3496789352117723e-07,2.430067302196997e-08,-2.679698741226406e-23,-1.1847765311993259e-23,2.2140805042882646e-07,7.428880723371074e-08,6.260327269710011e-06,-3.6676684295679273e-08,4.9396690904318046e-08,-9.54505334177196e-09,2.0484421502945614e-07,-2.1364742812666573e-07,3.317267226473126e-08,-1.7633899200799602e-07,1.667264610534299e-09,1.2912474961951602e-05,4.979573518044336e-08,-4.93476749921362e-08,1.3681699181228168e-08,3.7704819097008804e-07,-4.921267726815952e-07,-1.482557807332182e-05,7.88126814225284e-09,1.5180796638240173e-06,-9.165939174719442e-08,4.812731467597411e-07,-5.486466361856765e-07,4.6373638789406913e-07,-7.547837318824254e-07,-8.488978495927387e-07,-2.993346733793378e-08,5.4382953135571924e-08,4.88137438237671e-07,-2.7509363785752577e-08,-1.6806786552273106e-07,-7.614382295966988e-08,0.3031155022542456,0.0
2014-06-01,2015-06-01,-0.3619796751591408,0.2949459687538749,0.020422310590969384,0.1223346603835791,0.4696647721816048,0.5883508387766448,0.4315513016305304,0.567745490180377,0.5639230629240573,99.99999999999999,1.6173536196632587,0.0233057550428879,0.16904915256119177,6.101551317852963e-05,1.7823660985487676e-07,-8.806336597638205e-05,1.063356707264068e-09,4.098425814876489e-08,2.162256438071298e-07,2.9322921623675192e-08,1.7834175825485757e-07,-1.6663641377971305e-07,-8.739588055225175e-09,-2.6948676550913168e-08,6.434696214567812e-06,2.3331188031480216e-07,8.842605391353154e-10,4.912451455079262e-07,6.285744480395439e-08,-2.887847925131216e-07,3.253344921962447e-05,1.020165890608242e-08,1.8680039901794717e-06,-6.402336076003256e-09,-8.313385783848566e-07,9.74290107502374e-08,1.1654283602286764e-07,-4.6589163588260664e-07,1.2004097561736888e-06,7.196645389421104e-09,-6.061197568620162e-08,1.3174957052007465e-23,4.5325140728807853e-07,-1.1036766480224402e-22,3.40178253719458e-09,-1.0027358556193974e-06,-0.00013449675741999929,5.581634740104922e-09,2.7984651281658393e-09,2.0128924796977545e-07,-3.591720571977673e-08,1.1241221569088536e-08,-5.301129828247926e-07,-7.679105196833012e-08,2.3967200931680784e-08,3.704690690243721e-05,-1.8921555083005213e-07,-1.9743290054243593e-08,-4.0570440184763907e-07,-8.423770344394443e-07,-2.6683653559009763e-07,-9.278234443207535e-06,-4.758934466016935e-08,-1.4601460215820736e-06,3.3150623399568773e-08,-1.8401599261776534e-07,1.3007461699913554e-07,1.2575768768377488e-06,-8.274034541236082e-07,7.5961738009857965e-06,3.868815045420341e-09,8.83910806124554e-09,3.364877700702236e-08,5.110498292593446e-07,5.681823018724927e-08,8.193757180606761e-09,0.29645850366107196,0.0
2014-09-01,2015-09-01,-0.6613065813612096,0.29590269297393657,0.012663432390346346,0.12782050175571544,0.4601032393666485,0.5773438432942487,0.916249594873217,0.8645565675996092,0.8602925090281104,38.52072053068166,0.18574648195037355,0.2634567272070345,0.16613283900963594,4.779422612967489e-07,3.3332274965621785e-07,-0.00016960216978270304,-1.0992391356402924e-08,-2.4054727603912507e-07,3.343315364548069e-07,-1.1757083738994233e-08,-9.401247821107898e-10,3.175147344253255e-08,-8.404945573633368e-08,2.315630069000891e-08,1.9757749173075824e-05,3.107816946058533e-07,6.030833241401931e-09,1.1387301979438627e-06,3.645487099464857e-07,8.15620025145947e-09,2.8007604628737168e-05,3.9452538201554846e-09,-1.5117803747005994e-06,6.259946306764792e-09,-8.832604188488785e-07,2.6431515864871293e-07,-2.82862825313834e-07,-3.055245301503633e-07,1.1266398919870014e-05,9.143696773620752e-09,3.4191612549150764e-08,4.7427620596778833e-07,-1.0182757316005633e-22,-1.0407792065001016e-23,-2.7524674990118767e-07,-6.151760102333391e-07,-0.00015554449213659526,-4.172998199381834e-09,1.0199339416736759e-09,-4.5332803218167264e-07,-6.788669522637565e-08,-1.5191635964329397e-07,8.242543089729227e-08,1.97983440723303e-07,-1.3814124624501229e-07,2.3912113444242282e-05,4.312041622199478e-07,1.1729065079354377e-08,-2.5474569654298335e-06,-1.8585747386378203e-07,1.4376937875500707e-07,-2.31243903183369e-05,8.056281684618836e-09,9.527869857696944e-07,-7.798325340673714e-08,-5.462621987532e-07,4.137824724108034e-08,-8.367586887001675e-07,8.29488024727904e-07,9.833126396555134e-06,-8.688569667480223e-10,-5.139847730180694e-11,-2.772045483577055e-08,-7.395301289038338e-08,-2.7399965941897904e-08,2.688360219956826e-07,0.28965327013697434,0.0
2014-12-01,2015-12-01,-0.8846061718801757,0.2861915182475003,-0.010189446744472261,0.11868315250423506,0.4521154389346177,0.5600041786443497,1.3707672312083017,1.0758767104395754,1.071542784206481,99.99999999999888,-3.721838108369548,0.8927867283740621,0.16268485980371047,3.9429293506770655e-09,-4.7048963172957506e-07,-0.0002381189196896999,-1.3217520187703479e-09,5.5046978623622e-07,6.419923317244507e-09,-1.7535702028093393e-07,2.5214106262575514e-07,-8.814060257046922e-08,-2.0179295548574497e-07,-1.427566820496869e-07,-2.535574503240452e-05,2.1330151085603475e-07,-8.155829154060973e-08,-7.039421748791855e-07,2.0927995038133602e-07,-1.1861013678353215e-07,-2.375198521254015e-05,-7.799184064211359e-09,-4.5317924067034784e-07,1.218983915823647e-08,-1.7128565877480094e-06,-4.4601874536369146e-08,4.482245683552592e-07,-1.336997570794712e-06,3.5610489431974252e-06,-2.3657700538104847e-08,8.307364873406211e-08,-1.3674071176231284e-22,-4.71200737243297e-07,-2.88834278865601e-25,6.436422040806253e-08,4.2889081624760077e-07,-0.00024231117069313624,1.251554534702222e-08,-1.4837974936782664e-09,2.6637558246937594e-07,9.048264617048387e-08,-6.054385010711176e-09,-4.5026855632302414e-07,3.808613022133332e-07,3.5980476343529528e-09,1.81150855801733e-06,-4.874756642846275e-07,-9.10439415321247e-09,-1.0012186972341203e-06,5.767448415255558e-07,-1.8302540810744902e-07,1.8087699754753316e-05,-2.7886257649112137e-08,5.793550977876108e-07,1.1891971080028226e-08,-8.375775061812077e-07,-2.847882376007903e-07,6.421687045628069e-07,-1.182542570345113e-06,4.283376382027726e-06,1.263051862183826e-08,2.0885903581289077e-08,-1.0895858594272949e-07,-2.2718436076132381e-07,2.713652868716335e-08,1.2284840073729656e-07,0.2863051257191033,0.0
