Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_core_3m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_core_3m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2012-12-01,-0.3776404355736673,0.47022204386103034,0.8397171064167159,0.8399746186482868,0.7188707840331531,0.40064987033922395,22.948183692360615,0.64377437105157,-1.6328295549283125,3.1698458344603493,-0.5585614490200008,-0.3465958291613264,-1.6754867079297873,-1.160367162499205,0.46959272957106724,1.039937313982083,-0.464151340126584,0.20306303396737282,0.2026556451787554,4.8328238339818095e-06,2.2163536280644893e-07,2.6644763824506126e-07,4.503499418707111e-08,-9.780487280609747e-07,-2.7295178924002098e-08,9.539736178450596e-07,2.8414638036867354e-07,2.5244582845045763e-08,1.2952452070133e-06,-8.653774516751472e-08,-2.3270366138386253e-07,-5.499045256684218e-06,6.590268322657876e-07,5.11323044498989e-07,2.2660153376659565e-05,-8.217338165977713e-06,2.6739626863651546e-05,5.7633051721414874e-08,1.5682174010662104e-06,-4.614731587853037e-05,2.8755644712574404e-06,-2.2933293148649896e-06,3.538553209237721e-05,6.687316084838208e-07,1.0996402954925257e-06,-1.1867377433630142e-06,-3.72930589682754e-07,-6.029611808153833e-07,9.322747246418455e-08,-1.1160076349609404e-06,1.484570022847645e-09,5.562306461440863e-08,-4.5464013309298284e-07,6.661656400433245e-08,1.4568451902055385e-08,1.9299016868702268e-08,3.6663058263971135e-08,-3.189188423235337e-08,3.691083479668348e-09,-2.9923990805548914e-08,3.462988129567417e-07,1.3380929524270547e-06,-2.412869307554836e-07,-2.060032576453825e-09,3.3424420494697606e-06,-1.4917947487756584e-06,-8.230793813975584e-07,-8.865147547169476e-11,-2.495239266405572e-06,1.4082817382754199e-05,-3.79922328883556e-07,-1.6888031707396928e-08,5.232276772012178e-06,-1.5690602104078638e-08,9.602588492276061e-08,2.848665238671961e-23,-2.2931019549218313e-07,5.338241048612157e-23,-1.4245564635015013e-07,0.4165419213553474
2012-12-01,2013-03-01,0.0964442201421889,0.2010780711344132,0.7737551478316229,0.7922889640295865,0.010948242773462999,0.4842390562408595,99.99999999996116,0.9609608065868631,-2.932957849108911,3.279747723952961,-0.5559402157513382,-0.5297817530032821,-1.8344849143255126,-1.329730162683287,0.3094187760450119,0.8616068707331055,-0.5800512707868855,0.23535017063072072,0.23709830298929738,-9.747336525414362e-06,-1.1327987454267045e-07,-3.0450217782479327e-08,3.465057364022849e-08,-1.930321186059928e-07,2.6894982496205423e-07,3.238137567003824e-08,-9.843030772066916e-08,2.723016706406599e-07,-2.0618507571592603e-07,5.322461024873804e-07,1.1557405709105579e-06,-1.144851767483736e-05,2.2923904937245676e-06,-1.6697000042973984e-06,1.885362731202428e-05,3.3061029447647514e-06,1.0038485751325129e-05,-4.286189465618845e-08,-5.544181616275727e-08,4.179965337020655e-05,-1.010867754869631e-07,-3.130022520254868e-06,1.751693090250295e-05,4.4969497171189534e-08,1.1696969819555633e-07,-1.8687595184689018e-08,-2.121985633891831e-07,1.9475122556718262e-07,-6.164086289337662e-07,3.056979099552174e-07,1.3221271165275478e-08,3.6653174786575044e-08,-3.851460599952549e-09,7.936220353924217e-08,3.29868169069688e-08,2.2422101215585914e-07,3.1266551411579436e-09,-6.898335402449403e-08,-2.0902685798741714e-07,-1.7931311941635265e-08,3.2875359062822785e-07,3.54532373833413e-06,3.6024114784901813e-06,-1.9104500682499254e-06,-7.483374078365546e-07,7.762841396076638e-07,1.2813145593335386e-06,8.053859781378863e-09,1.3908921348978909e-06,8.486334993826283e-06,-6.758550974689131e-07,-3.7055679844173e-08,-5.080359444116665e-05,-7.073617599824614e-09,-1.77839715641466e-09,1.3405518113142909e-07,3.2879137631739264e-23,2.8694315431781462e-22,-7.433631008816865e-09,0.3631497215557826
2013-03-01,2013-06-01,1.152727611006199,0.362800596348625,0.7913715091728837,0.810532334679284,0.6239846884858272,0.5934009449877802,21.55535964534378,0.05310924517380392,0.2647555575550309,3.0303755280158424,-0.2379100909859488,-0.4353918446503423,-1.7075539844077965,-1.1909493082892906,0.3619503543563312,0.9024535184668561,-0.5260919937374986,0.38605476108398573,0.3897161944035247,2.416126379385221e-05,1.9318181594289236e-07,-2.8865388114973766e-08,-1.4895812467780302e-07,6.51757447671672e-07,9.079237419431239e-08,3.3500746428377644e-08,1.5499347034295252e-07,-1.210200261568483e-07,2.47438658835189e-07,-4.894924624472256e-07,-4.318179311451783e-06,-7.674183679586511e-06,-7.622826260507805e-06,2.5966533900540057e-06,-3.2230421315529625e-05,1.222504545764121e-06,5.201124428500546e-07,4.9770222356237334e-08,3.2122760834434754e-06,1.7510577634625394e-05,-4.0061766312683195e-07,-1.3377869377720477e-06,1.967450584768659e-05,1.841265698285215e-08,5.415042327558555e-07,3.5779583341830226e-07,-1.415382474658177e-06,7.932202504168883e-08,2.3071972575232926e-07,7.514886904515724e-08,1.7386066565791124e-07,3.717993232579332e-08,-3.7812374489245345e-08,-0.0,4.087694939010401e-08,1.4016054633372194e-09,-8.998704629363951e-08,1.94529482383145e-08,-5.589854330164132e-09,6.95436273898135e-08,-2.3952165845028287e-07,9.659516866811695e-07,1.5314270524390146e-06,-4.009558114874836e-06,-1.5918705654740712e-06,-2.1859469026555853e-07,-5.0118099800972405e-06,1.1095604069692422e-08,7.742294203615353e-07,2.4584391111613006e-05,4.839378759584836e-07,2.442528602355126e-07,-3.316881844213419e-05,3.5564076945408794e-08,3.000884541626774e-08,4.696004297126998e-24,3.7502030269676916e-07,7.918716900729808e-23,1.5475250249348224e-07,0.3407160916755137
2013-06-01,2013-09-01,-1.146325498309153,0.30917476095948826,1.0060905399942532,1.0181364865227065,2.1184810047310827,0.3332482853475053,99.99999999999999,-2.023972491559741,6.822784335330388,3.2294462080349455,-0.0686985256836081,0.29517653913355224,-1.0803510576657982,-0.5620019358449511,1.0889952705173747,1.6335695282341165,0.21788284889368015,0.215997722729858,0.2199809821405767,6.126305671439635e-06,1.7694465469760216e-07,-2.4194057219284206e-09,7.413524458475415e-09,-1.1010857127333e-06,-1.2792978168879224e-07,3.725398056535047e-08,1.627474357100558e-07,-6.827531579661793e-07,6.05601361375498e-08,1.139744508610922e-06,1.0691360540030764e-06,-6.730814027370779e-06,-1.4717422971637703e-06,1.9206005193873644e-06,-1.3441399609134142e-05,-1.0185119667027996e-05,1.4594584594908344e-05,-7.835417293593991e-08,-8.407889483128346e-06,2.575070444204286e-06,-2.7957297771293725e-06,-2.412517083067483e-06,-3.471662566141932e-05,-1.7508298484384218e-08,-4.4400171147188775e-09,-1.2362866104095504e-06,-1.8638215157521047e-07,1.4377945252337238e-08,-3.6306747717163734e-07,7.473197656692048e-07,3.892708651520859e-08,-1.895330813578749e-07,4.176649274410251e-08,1.1598271021173315e-07,-1.3248024605130697e-08,1.232222828678979e-07,-5.5364675792015397e-08,-1.531491382266736e-07,-1.2359048307479804e-08,-1.1889180306304848e-07,-1.1090151041941882e-07,-2.574022394724098e-06,2.2323155673059085e-06,-7.3302017970713695e-06,9.811023466827639e-07,-8.92517483674043e-07,8.336637436031482e-07,-2.3568722963501213e-08,-1.2436983991702774e-06,2.8627500795796144e-05,-7.789566547764579e-07,-3.3767157411891636e-07,3.089493051964435e-05,1.3607974484285142e-08,8.352556949456294e-08,1.320576686803284e-07,5.97071777261686e-23,-5.361715225930623e-24,2.1550265721867537e-07,0.3392196344481352
2013-09-01,2013-12-01,-0.1680894260466914,0.306661272768909,0.7698726617491354,0.7980175387324442,0.22538822602590092,0.4369800176264078,99.99999999999999,-1.7324543439385538,5.753786095352787,3.1212664785043533,-0.0163107733018641,0.10237690140203595,-1.2056030849576187,-0.7014517984763238,0.9201855500483882,1.3883160842766331,0.025711583209808708,0.1879411465733229,0.19590663238103634,1.557493253054463e-05,-3.027335446661815e-07,-1.0509483365219084e-08,8.793159037291423e-08,-2.416376690370625e-07,3.8018131608144254e-08,-7.204504546382622e-07,5.2036589322375515e-08,1.5789540399740527e-08,4.378031541822485e-09,-2.0302296862582077e-08,-3.7070630322096942e-06,-6.411322242367796e-06,-9.470967079943176e-06,-1.1252423647592295e-06,-8.079985640762982e-06,-8.834649643762825e-06,-2.927621017900244e-05,-2.4718822896957754e-09,1.7240794870458763e-06,3.263256383931243e-05,-1.2346016533863275e-06,4.409374590985983e-06,3.738351140936045e-05,1.7997212006280601e-07,6.49915583381248e-07,1.5209023608570142e-06,4.348098403854608e-07,-2.068101305237893e-06,1.2665405078638275e-07,2.945579814135513e-07,5.239685792544902e-09,1.1135326974761153e-07,7.602032138243584e-08,5.519966803874356e-08,3.433111755162622e-10,1.5797363694278217e-07,1.665277043704474e-07,3.677229277078539e-08,7.803424448809442e-09,-3.137499701717041e-08,-1.814260537214511e-07,2.940401663382379e-06,-3.1658612988993047e-06,-1.2678810124071066e-06,-3.486311556363791e-07,-4.3243031104524133e-07,2.3652304335931047e-06,9.49416110972636e-09,-6.888443645376314e-06,3.1762561979963803e-06,3.115399354291184e-07,-1.8373219971305439e-07,7.561024348275827e-06,-3.0050370885368964e-08,-2.2929778725986664e-09,-9.93548762524783e-24,8.307298438254853e-08,-3.3092389324387435e-23,1.6218493411411865e-07,0.3436642315519511
2013-12-01,2014-03-01,0.4504806836468589,0.20976139653264245,0.741585765887953,0.7777909962575659,0.05794577518877657,0.5247677250372335,99.99999999999999,2.1137281833718222,-6.322008293346541,3.1036915174658595,0.0721983425743033,0.012018520795749242,-1.2165963903798884,-0.755860221177606,0.843410434314491,1.3381359068952852,-0.04042182833741137,0.1967957858588129,0.20368257025285932,3.7229616640540906e-07,-9.899501671950075e-07,-1.2785313367562625e-07,6.600022561339157e-08,-7.065720988519477e-08,8.057332925146966e-08,3.936731952605059e-07,3.29015191792115e-07,-1.3934769838796208e-06,-1.5976846652294926e-08,-6.560622844519046e-09,3.9295137124877297e-07,-1.0951578505792923e-06,2.2725077462218114e-06,-1.1662929775517672e-06,1.1189245766714938e-06,-2.1806553105429642e-06,2.281055159286026e-06,-9.202498999493126e-09,-3.374294403185673e-06,-6.042663122543547e-07,-2.2271874316076596e-06,-1.990853260146767e-06,-8.538761703278617e-06,3.8837650979819835e-09,-2.1795593047085297e-07,-1.9416163037987547e-06,8.891598263390244e-08,-4.769157470966775e-07,4.0016911279054487e-07,-3.773410274630691e-08,4.337246782664051e-08,2.840072971182476e-07,9.101938720447181e-09,-7.07020147139274e-08,2.8263573952344456e-09,3.2069970153362805e-08,-2.4122805646032184e-07,-3.2445235513471666e-07,1.1581625762384012e-08,1.0133437053220087e-08,-2.4885956199069515e-07,1.369130948532995e-06,-1.256081873905761e-06,2.3331260765073595e-06,-1.788823578095744e-06,-1.236176453564366e-06,6.329507228210413e-08,-6.93315584464669e-09,2.5416430819346635e-07,3.130609869836106e-05,-3.749347821165008e-07,2.9748351031097344e-07,1.6239966554327662e-05,9.554171858586845e-08,1.7966496109805893e-08,-1.1569904121595888e-07,6.119178141529264e-23,6.329185095431327e-24,3.7493730720294197e-07,0.32174711031676095
2014-03-01,2014-06-01,0.7031114483968537,0.25284831938587427,0.7823416849291194,0.8066253664167534,0.2027368853467579,0.5536291126008428,99.99999999999999,0.9442182830489065,-2.787251686361539,3.225383962783955,-0.0402056980780329,-0.15277148033077786,-1.4829896600258494,-0.9654298131770296,0.7035606429036884,1.19275492975352,-0.2159835601772464,0.44965873949610685,0.4533880341469827,-7.092854750748165e-06,6.205499705398432e-07,1.615389314078037e-08,-3.3162857251041705e-07,-2.654320703027756e-07,-1.0050851195712394e-07,1.9215341581163405e-07,-1.3703451389778577e-06,5.354378113698522e-07,-4.405788749604012e-07,5.91361128434132e-07,-2.7165928301707004e-06,-5.323640514690631e-06,-8.383831166801052e-07,-3.3807177212140315e-07,1.1094779528084538e-05,-4.913940865382054e-06,-2.7227619039507203e-06,-9.843399955811331e-08,-3.397766333998938e-08,1.836624870192344e-05,3.84252508255776e-07,3.207338971161826e-07,1.863856126861903e-05,-2.733408989262477e-07,1.1165736087989293e-06,1.9710474303402805e-07,7.435567164623747e-07,-7.149451389702959e-07,2.45560669162889e-07,2.5939183408712734e-08,-1.394391507038228e-08,-3.17160241688797e-07,-0.0,-2.9704845260915328e-08,-2.556883278835021e-08,1.232395888199707e-07,1.0662717905830602e-07,-1.2003787748965858e-08,-1.2731280125989778e-08,7.559826162181908e-09,1.549133799691449e-07,-3.9621106924195034e-07,3.313821599828912e-07,-6.458311835111181e-07,-3.5077722472250163e-06,3.499301513586872e-07,3.006192272522058e-06,-4.20044602183778e-10,-7.443929028320284e-07,-1.060594581810678e-05,-5.549872038140205e-08,1.058136799269172e-06,-1.4573573912503754e-05,-1.2384851251929286e-07,3.260446971180865e-08,6.278207045404014e-23,2.1050010570630604e-07,1.549303611993014e-23,-4.0184801337644374e-07,0.3077822439535522
2014-06-01,2014-09-01,-0.9931052262324158,0.2654371341521936,0.9265421028894454,0.9416420199669803,1.5839288728824643,0.34357771846482316,99.99999999999999,-1.1261680421447227,3.74902275138576,3.0891502121833234,-0.0019006300588486,0.3127349600373037,-0.9805264420222667,-0.4599029903546722,1.0559924751112606,1.5637468895100441,0.2463756764992553,0.21881194648305302,0.22320290296296727,-1.1032299319294655e-05,-4.2553959497405554e-07,-2.8921411563580436e-08,-6.773193115237912e-08,-3.3756444658097805e-08,6.776498704401666e-09,-2.432482452335226e-07,1.013382047810693e-06,2.1070418899641848e-07,2.1452760148655283e-07,3.2468134771886176e-07,6.081316166155126e-07,-3.064031779640416e-07,7.070026887776945e-08,2.4247666808478855e-07,7.80097429351141e-06,-1.1564356689531836e-05,-1.1897978507201138e-06,-1.751281772437122e-09,1.0409388481564501e-06,2.3028075508910475e-05,-3.3751354877335333e-06,-4.625417350391681e-06,1.825770068664228e-05,-1.0765560920556181e-07,-1.4688134759384735e-07,4.866337317020275e-07,8.243292888145756e-07,8.57838604883882e-08,-1.2846021803703874e-07,-1.957618483298817e-08,-9.243944423872428e-08,-2.4709448696620195e-07,7.497534407967895e-08,-0.0,1.889277993570032e-08,-1.224074100513016e-07,7.076665403746004e-08,3.027450245731435e-08,-1.3035216538450775e-08,1.3349974277137439e-09,2.962131351060868e-07,-4.750353446518109e-07,1.576640703700165e-06,6.051714305525292e-07,1.5620621811619332e-06,-1.6168907805542052e-07,5.534276733755897e-06,-6.994973287979614e-09,-9.735073337831117e-07,4.012917984412178e-06,-7.82994465256653e-09,-9.152882137174132e-08,5.335497846711327e-05,1.3505059583340858e-07,1.1469010723671332e-08,-3.394254458714269e-07,-1.734326656567704e-23,-4.6556258997590285e-23,-4.8720635057620015e-08,0.30511403245228164
2014-09-01,2014-12-01,0.860168108157211,0.2914530435527204,0.7605767515831157,0.7738472393305376,0.32343682470808993,0.5682085504995479,64.94081077555826,0.4410756833798991,-1.0327405272545944,3.075363476155933,0.2551637534921269,0.11298498734100429,-1.1310155848434305,-0.6406533822728816,0.905442827866167,1.410078614601203,0.04012172645282419,0.2162602034863751,0.22080901695365016,1.090261822951647e-05,8.873835879592219e-07,-6.375645607481481e-09,-1.6796286355595292e-07,3.7704904008895925e-08,3.1051121088628116e-07,-3.7945058204335095e-07,-4.49168424335965e-08,2.554517662768268e-07,3.948271267731191e-08,1.442626617683352e-06,9.220780902880672e-07,-8.84528449795429e-07,-7.511747594670312e-07,-1.7048965534763964e-06,6.8240052003428176e-06,-2.6429437562524764e-06,-2.1841324644403685e-05,3.453773028244243e-08,1.8746572962789226e-06,-2.352597885355554e-05,-4.33140458419507e-07,-6.267741739277024e-07,2.4752821872495542e-05,4.486907532249396e-07,-9.518955472842372e-08,2.059425197628212e-06,-7.85109734774903e-07,-6.197186722933162e-09,-1.3299730265467108e-06,-1.0648030850071597e-08,-2.3142735792537077e-09,1.1804929475501405e-08,2.694566256585582e-08,3.923815430709646e-08,1.3700533331689016e-07,1.7229246064158886e-07,1.2050896721254036e-07,-2.619072068321173e-07,7.520264876335658e-10,-3.36894202447149e-08,4.5378899815420527e-07,-1.1373369412662826e-06,5.422173186228162e-07,-1.616730780756113e-08,-8.98099048085769e-07,-6.15808595019756e-07,2.382700458728543e-06,1.6167798492637156e-08,-6.12353872215576e-07,4.814798238685e-06,-1.583847844813577e-07,1.4011509243802239e-07,1.6329964118243023e-06,-5.377691834504627e-09,3.6864885601004174e-08,3.952124419128113e-24,-4.11752860772698e-07,3.015392347740007e-23,1.5289909343516044e-07,0.3098367523697648
2014-12-01,2015-03-01,-1.2841372129205553,0.18639713711173728,1.0266848488809905,1.0302252237303389,2.162471274624897,0.309272675289313,99.99999999999999,0.4101458374154697,-1.012014474537134,3.092426445338225,-0.1784907206497266,0.18914286685834653,-1.0853550453968799,-0.5649081433386169,0.987304564567012,1.4756756228826464,0.14254358258041222,0.28272918354824217,0.28475477450825626,-2.929273625478223e-05,-6.918204320155574e-08,6.458321988726562e-09,9.21499171889822e-07,-9.895235802681448e-07,1.3301435064047105e-08,-5.871552187234857e-08,-1.0960140220370893e-08,5.492647107827928e-07,2.731559467443986e-08,-5.915620626440627e-08,-6.114807360311849e-07,-1.9384440032742163e-06,1.1557426562781925e-06,3.5771454111228994e-07,-2.3308586158583145e-06,-5.29123770295364e-06,-5.265836402031239e-05,2.195839366299228e-08,2.1965800415733856e-06,-1.2137592317353103e-05,6.086940131035023e-06,1.4495243040928916e-07,5.986048258136893e-05,1.6874876040883923e-09,5.51897560887204e-07,3.245821897297541e-07,1.3619964313983402e-06,-9.424711027709922e-07,8.69718582695175e-07,9.696511208368632e-07,-1.2707380340499233e-07,-2.3946023638677235e-07,5.137418800147527e-07,7.745802283344662e-08,-6.229415150864512e-09,2.618807372064392e-09,5.54347195878848e-09,6.059362718815213e-08,-3.309412780918622e-08,-1.998374758420998e-08,1.928187772842371e-08,-3.5457720585470126e-07,-7.717598757375809e-07,7.642117966119068e-07,-3.396096792571331e-07,3.4564489502548006e-07,8.528717523046617e-07,-2.301930715273661e-09,7.230936848075994e-08,3.2324883525417376e-05,3.09882342931243e-07,2.34001012278206e-07,-3.514341531414899e-06,6.333624928409605e-08,8.686204648192512e-09,-6.916617888566999e-07,-2.897327862251123e-23,4.355369656119092e-23,-1.5404782650442967e-07,0.3006416450271302
