Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_core_6m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_time_index_length_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_core_6m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_time_index_length_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2013-03-01,-0.1405981077157392,-0.24495645002303096,0.21263776213709346,0.21443529232082217,0.010890663609125883,0.5508568724104467,99.99999999999999,0.16528473639563507,-0.3995725222825231,0.8812470877874927,-0.5559402157513382,-0.6081193869049841,-1.3308465457867813,-1.0550628393262884,-0.16638766813512687,0.13992328281526914,-0.4856411618934686,0.11148716220236775,0.11242955850044577,0.0023822570848663154,7.480099417579158e-06,-9.506490223185331e-07,6.335416862780418e-07,5.217029647504231e-07,4.968137968644922e-06,-2.157715082225285e-06,-7.03815165286639e-06,2.688676194140787e-07,-8.101492699741547e-05,-0.00047743261927029473,-7.838754411693655e-06,0.00022066170975849767,0.0013153784292431695,-0.0009271480031296882,-0.0002702111138882953,4.1165262039694774e-07,8.988008035042855e-06,-5.72670275957078e-05,-1.118469141160879e-05,-0.00010155407336210507,-4.92313074894966e-05,0.00014764830839974824,-0.00010205154248239947,-6.367610393587938e-06,1.1758046761505716e-05,195.05494619104792,3.5273864209485326e-07,6.177060690277365e-06,-8.319878881567522e-06,-2.6756736308267706e-06,-0.0001513608520714342,-1.7637051367974274e-08,3.6818015471300267e-07,-5.356059099432046e-07,-1.5217007626639576e-08,6.783472934304847e-08,2.5127220652706746e-08,-9.786211239783593e-09,-1.2413608568805679e-07,-2.3411983135805113e-06,-1.0057790432125272e-05,-1.7479960872163474e-06,6.291313526883195e-06,9.202403907090115e-05,4.9219393745692935e-06,5.752893201068098e-06,5.028575877731873e-07,8.547781828747165e-09,2.3038047440748336e-05,-2.8071588619830933e-06,2.5013664711989026e-08,-1.2884230780390728e-07,-2.804389314311826e-06,-3.128138680130458e-06,2.095424033802242e-07,-1.447940505042998e-07,-195.33303691091982,2.614245111146376e-22,3.0330959168656853e-06,2.2454085028898885e-22,2.8779771641247243e-06,0.0309957232825157
2012-12-01,2013-06-01,0.624585915574194,-0.354260680140225,0.608351504159291,0.6158085870395967,0.9581406579417072,0.8691902739589739,99.99999999984803,3.769211520140106,-3.5130268075585533,0.8323084349354568,-0.2379100909859488,-0.7273333888431583,-1.426188397843268,-1.1576134082446978,-0.3024486807487161,0.03005656882307751,-0.5502030487730458,0.14910132485201774,0.1504331862526665,-0.0005784942315671191,5.816273373133656e-06,-4.1973092227592863e-07,9.299775375740774e-07,9.588001272735493e-08,2.9373590788696792e-06,3.0344773597938324e-07,1.9639700147526625e-06,4.570904942524312e-06,-6.0579969557329025e-05,-0.0005890951591556047,-0.00021141490369060351,0.0003652018940826723,0.0009479101539269027,-0.001056200499731394,-0.00022004747553396438,-5.277693502032729e-06,5.929707112193977e-06,0.00016449606444048103,5.3754605463692584e-05,-3.5274772930069064e-05,-4.6782459097376916e-05,0.00017255408456531572,-0.00010571551513984349,-8.655943355624081e-07,-1.3101105962933822e-06,206.18926216916051,3.017778425305331e-05,-1.0862538532084605e-05,-1.2931411963706042e-05,5.787792270645677e-06,-1.1227933875239229e-05,2.8763459010087767e-07,-6.619902500842539e-07,-3.1470561661069584e-08,1.0271899719261439e-07,3.9035555336668955e-08,3.9952932081943925e-08,-3.379821211049516e-08,-1.9063793383995957e-07,6.305770734971114e-07,1.401084746947424e-05,4.483690500804504e-06,1.0464745391655304e-05,1.767222782381571e-05,1.8306067308798492e-05,5.600885091454787e-06,1.137052855720033e-06,1.3349124352344887e-08,3.370972490176083e-05,3.95841386870752e-06,-1.9017886609458207e-07,3.010140354223301e-06,-2.387356503697845e-06,-2.5687564978667865e-06,3.642470587626642e-07,-4.101840969838677e-07,-206.57603755631953,-8.544239161478299e-07,2.538262865339906e-22,5.936751173426687e-23,9.207728267166852e-07,0.03634669123708601
2013-03-01,2013-09-01,0.0032010563485229,-0.466784180603815,0.3049319818664635,0.30654605727514606,0.2208861229531452,0.7157617881852175,99.99999999999652,-3.275973866505446,2.232328461049809,0.8249347995738437,-0.0686985256836081,-0.3036911441597771,-1.0241465405168373,-0.7490735731826684,0.10628620600930691,0.37168026055898457,-0.07029905385786961,0.48711915386372967,0.4903573876144964,0.002321900982588262,1.8731131815790207e-06,8.912771433946221e-07,8.130368629346874e-07,4.174854522746766e-06,6.343343468975902e-07,1.1591929038804514e-06,-2.9994700346304955e-06,-5.098508003570758e-06,-8.865301641794093e-05,-0.0004271872160269425,-9.37844403282336e-06,-8.923585224936473e-05,0.0004338298612988142,-0.001280392405371476,-0.0001771097613226889,-4.57219081098222e-06,1.0643079966999488e-05,0.0002163364252887497,0.00011641680684453657,-4.81973480508408e-05,-0.00010485605075481833,9.595060101688128e-06,-9.166178557156075e-05,4.766030315128009e-06,1.5113510503422764e-05,235.36464598860485,-2.8201732627293426e-05,-6.946829376292093e-06,2.669305089165586e-05,-7.086245339946648e-06,0.00011304936935461916,-6.202834178587037e-07,-2.0279412174326883e-08,-3.6263655702053565e-07,0.0,8.698882273760887e-08,2.095391575315836e-09,2.3851925770068185e-07,3.96778771313162e-07,-1.852740534707787e-06,-1.2888240776753744e-05,-3.923822828202207e-06,1.084930500429705e-05,6.824527134752557e-05,-3.5864058086210926e-07,-1.0170948601303022e-05,5.041483942651754e-07,2.4913104323404005e-07,-8.171913891188752e-06,3.247712033952313e-06,-7.699407699538514e-07,1.8339290418494651e-06,-4.865903455535358e-07,-5.393800419455197e-06,3.6380111079754914e-07,-2.5642439544080073e-07,-235.79693054412382,-2.2074579060420237e-22,7.875892916457186e-07,2.1346661408611483e-22,-5.091717341556354e-07,-0.048451182429065154
2013-06-01,2013-12-01,-0.6572074621779223,-0.5190134693122171,0.2070882189520441,0.2097448592439674,0.019097579664166555,0.43970267981841143,55.377307059129315,0.6220140959562994,-1.0560113365982866,0.8444447896314143,-0.0163107733018641,0.05278622313098841,-0.6561855054197392,-0.37594203653226044,0.47767703111933013,0.7332889310007754,0.312292957787097,0.1035544876206182,0.10388663361264264,7.188773030520963e-05,-7.188553208644792e-07,3.387165183235923e-07,3.143807080571417e-07,-3.735101281335382e-06,-7.42989079084468e-07,-2.0753181446520625e-06,1.371713021581014e-06,-1.0295776651389856e-05,-0.00010577596091940412,-0.0006854016570806581,-4.977276341453063e-05,0.00010034064837306556,0.0020802389363021754,-0.0011470448299443613,-0.000376355510917017,-3.1058794600049644e-05,-5.4534979301813085e-06,1.788097998266015e-05,8.145388813645213e-06,7.758034369127106e-06,-7.808950944740153e-05,4.729260964229147e-05,-8.521495163551921e-05,-3.138115414401703e-07,-4.520623289014815e-07,230.04928555816903,-2.9638544180694484e-05,1.3401209466966429e-05,1.4973180807750776e-05,-1.5960303137679184e-06,1.2596050432788002e-07,-6.955873291637103e-08,-5.4468735486981444e-08,3.7585983501942104e-08,3.148663820950581e-07,7.387410850993083e-08,-4.4015699519558287e-07,-4.999240444891418e-07,-2.2003765685285853e-08,-3.8272546091443097e-07,-1.4575864159779472e-06,4.33545769345694e-06,-1.7283395326549566e-05,-1.4670605688378642e-05,-3.246531301712362e-06,-1.9101737033034487e-06,-3.278292471707805e-07,-2.0725595328639042e-07,3.06920786509946e-05,-4.417566306901365e-06,5.580874598430102e-07,-3.2258509463729063e-06,4.114924132191734e-07,9.438132444452269e-07,-1.8600038759837298e-07,8.066590383795472e-08,-230.54635735661668,-6.151227394264927e-07,1.113875210029436e-22,-6.820582814955641e-23,1.4661871620684007e-07,-0.0031176502161758763
2013-09-01,2014-03-01,0.1411956288000837,-0.4405030457904103,0.35596612235705744,0.3596172881722201,0.33837334802033736,0.7544735741981434,99.99999999999996,1.0891484875951483,-1.3749398549966179,0.8480802998030252,0.0721983425743033,-0.21865099472094365,-0.9142156676483876,-0.6513592396096713,0.2118704606333485,0.4973975893389039,0.001600528174261484,0.3108550679580047,0.3129092084975682,-0.0017837138415940455,2.6949536027053587e-06,-4.900076278989926e-08,-1.8136278561355413e-06,1.0101848665068334e-06,2.4844159842147646e-06,3.7900245746143387e-06,1.0490395962797042e-05,7.136646656152536e-06,-9.332508145644663e-05,-0.0007726296824204399,-9.059933468278881e-05,0.00018891948863929354,0.0011864989552365665,-0.0006622649568983551,-3.175904025748671e-05,3.875632033305713e-06,1.6488297373790845e-06,-0.0003110363621163364,3.078224501376101e-05,-2.96070034167756e-06,-9.694728387460136e-05,4.053432948632419e-05,-8.784978729768224e-05,-6.584495766888397e-07,2.0641842198530135e-06,217.00856450790192,3.823453783351625e-05,-4.432864601247011e-05,1.0510042788641668e-05,8.438252091607581e-06,-9.062699934445881e-05,2.2668582098384638e-07,2.56294690749314e-07,4.5600406442398256e-08,-5.622060869384925e-08,2.853373463096113e-09,-8.04909026584835e-08,5.831994522907468e-07,-2.203871220899874e-07,-3.3651701122721085e-06,3.708084792383812e-07,2.108160864282341e-06,-1.8435499514564657e-07,-2.5827581302127235e-05,1.8087488948033406e-05,9.514857924154835e-07,-3.1534588411037943e-07,-1.7583567455445874e-07,1.4061380786675253e-06,-2.4238180097519996e-06,-1.6854203515211245e-07,5.805702742624599e-07,-3.415265736832992e-07,-1.4981457857735855e-06,-2.5200355264422234e-08,-3.883920510005128e-09,-217.4725433834628,-2.6491774787188473e-22,8.851015607247265e-07,-3.750918107661183e-22,4.471542831245117e-08,0.02865577833467163
2013-12-01,2014-06-01,0.5767960660218563,-0.4575833387485818,0.6487321666959689,0.6516266047440986,1.0699407530132456,0.8880145407977041,99.99999999994274,2.6444887646321416,-2.6384054835568023,0.8210771709087039,-0.0402056980780329,-0.557395400463252,-1.244993203072217,-0.9780211783152459,-0.13421474334507988,0.14044658472180846,-0.3286037310889611,0.18641936814590576,0.1876086015918723,2.7978467653664686e-05,-8.197512221810555e-06,6.069213194322502e-07,-3.717763407925057e-06,-5.311871941997638e-07,-2.507079147976606e-07,-1.8928383603033082e-06,7.103540069257221e-06,-3.8422588107356453e-07,-0.00021009883202037329,-0.0005824039093781835,-4.3815648489992025e-05,3.119080355271639e-05,0.0010013554491558252,-0.0012831398338075202,-0.00018902227715261705,3.559131154838428e-07,-5.216437280701892e-07,0.000386831270183894,0.00011442260756843348,1.7635980877652332e-06,-2.5203046969203814e-05,6.765729465409989e-05,-3.091855524954928e-05,-1.4554642551077031e-06,-3.4426175223495427e-06,216.97929520095644,5.291068891540968e-05,-8.120091473045655e-06,-1.3681753504156605e-05,-3.5716097930809176e-06,1.6847651401011825e-05,1.895394737928686e-07,-1.3678057752408295e-08,-5.244293977428107e-08,7.359489751548044e-07,-2.3119422093730472e-07,-1.336947903703045e-07,5.725532516362983e-07,1.824673657623674e-06,4.12544818501633e-07,-2.4634146899879903e-05,4.5136775480665976e-07,-1.75365295040828e-05,-5.5746620054142956e-05,2.5567613098929645e-05,1.3924310922112432e-06,8.83832850699699e-08,3.392500998441246e-08,-9.89291955821446e-08,-3.388541973641771e-06,5.643377916676548e-08,-3.341619691897282e-06,7.480219124415179e-07,-6.703271620482838e-06,4.708186265591534e-07,1.3474925403406553e-07,-217.43678008937138,1.0010874171238288e-06,4.4301987377346194e-23,-2.5567099495205493e-22,-8.16977532119026e-09,0.02857160619300856
2014-03-01,2014-09-01,-0.144996888917781,-0.47298788983422946,0.2367669203434278,0.24057245759855395,0.10757809668217369,0.6498924559235586,25.339861241588086,-0.25333421944307194,-0.2510473209871763,0.796960141240864,-0.0019006300588486,-0.16589613051707286,-0.8176310582453685,-0.5618154594453423,0.24645685100061723,0.5344436041145352,0.07059781440004187,0.5772698915709297,0.5826189013760009,0.0009193525384431889,5.826957487972355e-06,-7.046457632183151e-07,-4.1824091860699345e-06,1.637192465674891e-06,3.455129646862799e-06,-5.64637412150116e-07,-6.120002156390405e-07,-4.195215099190984e-06,-0.0001847950773945815,-0.0006142315089614592,-2.2253968295702505e-05,0.0003114849385410867,0.0015888088543629662,-0.0008165988757093067,-0.0002191544393378787,-2.2960840641851975e-06,3.3576400428742964e-05,0.0001627101779898932,-1.0113640024207243e-06,-2.8349567495695756e-05,-3.375210611262444e-05,6.648271371238768e-05,-3.796865618349063e-05,-2.1842905072963124e-06,6.010711725006695e-07,228.07084395562137,-1.0273063152940617e-05,1.762699193568834e-05,5.820926923088076e-06,-6.275641209909246e-06,2.417704153550965e-05,-6.291275396832583e-08,-6.793077739546244e-07,0.0,-2.20910452135283e-07,9.19413823613075e-08,8.303281064055331e-08,-1.1792384738555691e-06,-7.082885706071896e-08,-6.959490254796048e-06,1.8271155809997354e-06,-8.653432927639629e-07,-4.294228795781407e-05,1.960237291062453e-05,-4.113635978446538e-05,1.617491412201243e-08,1.3532763730363117e-08,-2.506859887809418e-07,-4.219435741057799e-05,-1.3517739019648766e-06,-2.038093186027055e-07,1.0152225497111744e-06,2.8145578147547235e-06,-4.636681283532728e-06,-5.571850851524574e-07,3.9539188081776043e-07,-228.53474615345257,5.684387469823353e-23,1.997927074664852e-08,-1.3149110135352188e-21,6.116280122903305e-07,-0.011600905689353428
2014-06-01,2014-12-01,-0.0664685590376024,-0.46148167253215533,0.26758355840835873,0.2695410566503293,0.15603535983266056,0.6907900797308054,99.99999999999999,-0.27364585104054556,-0.24785082182281803,0.8058921156387239,0.2551637534921269,0.057657196744850495,-0.6071891474194924,-0.36397949100948956,0.45941028355464625,0.7213304915036806,0.28839803301092815,0.15219853657594884,0.15292091441877662,0.00029807226966688623,-4.052202991537888e-06,1.5670928075231742e-07,-7.962155499183378e-07,1.5449529411747089e-07,-7.940431088587261e-08,-1.1380265607337903e-06,1.128547507004613e-05,-2.510992992217632e-06,-6.969327725779936e-05,-0.0005859321019803218,-1.0458837301530246e-05,4.562504727214052e-05,0.001686146951747891,-0.0010408890277662508,-7.061756527374507e-05,-5.834984141997068e-06,-1.255419889866961e-07,7.168081351039908e-05,-2.4095637096077954e-06,-8.988070862573944e-06,-4.308145320420478e-05,4.638273438615391e-05,-7.301486996636069e-05,-4.357384841818569e-07,9.298377261042808e-07,215.1332390413305,-4.420256208299497e-05,4.6148526406503446e-07,-5.12936310227862e-06,4.267424268375098e-06,-1.1827353683475308e-05,-1.8164653250493175e-07,1.5365756604080923e-07,-1.1395668040673141e-07,-0.0,3.3410724232802564e-08,2.4345526187123734e-07,3.092263712170769e-07,8.864875717336258e-07,7.765217313803956e-06,-6.481315747307534e-06,-2.3416720976317005e-06,-1.2676202807982386e-06,3.4816271624898047e-06,-2.064898213285213e-05,1.2433593975550033e-06,-1.9622467195138906e-08,-6.211672017362942e-08,-9.106757752521768e-06,-2.068884065964878e-06,-3.023274782354546e-07,-6.586087884133011e-07,-6.511391283798368e-07,1.5118040019767045e-06,-1.1419566529704113e-06,1.999944236365181e-07,-215.64922365833345,-3.993066649763297e-06,-4.0282434855549383e-23,-2.1626328579662303e-22,1.007137003499001e-06,0.05114199052898593
2014-09-01,2015-03-01,-0.2119845523816721,-0.3897966013611033,0.21455595815250628,0.21469580669018504,0.03161712476226363,0.5921837225391885,99.99999999999999,-1.868176223712173,1.1467831635892582,0.8297503527757211,-0.1784907206497266,-0.26739674513944217,-0.9780693561948961,-0.7029413226079262,0.1517289329588425,0.40218812406920523,-0.07249844445889053,0.14632028938331262,0.14857546182613135,-0.0003353885036170617,-9.4123310844679e-06,-2.2035886043417783e-06,-3.380471353662976e-06,6.728795063821634e-07,-1.96619520964456e-06,-2.0865229479829162e-07,1.5666714196647198e-05,2.822062135635157e-06,-0.00016023376414791608,-0.00048487992012581155,-4.006113739981535e-05,0.00019960893934433085,0.0023859371080429577,-0.0009395428870733771,-3.468274057610621e-05,-1.762082590418824e-05,-1.1186864959853927e-05,-1.2439358397661003e-05,3.2221096548477514e-05,-7.782069676520002e-06,-3.376068958177304e-05,2.5133388478026828e-05,-5.351266610740935e-05,-2.8789190891713186e-07,-2.5536908670223606e-07,216.74062994024007,4.2516025870778594e-05,-1.553729926960144e-05,7.85138175709767e-07,3.1995470871760023e-06,-4.321167436430469e-06,2.462060680304688e-08,9.922099680476195e-08,2.1716994541650087e-08,4.982132264742139e-07,-1.5496654489204833e-07,-1.2335397427338948e-07,-2.7229557224620977e-07,1.311702873317412e-06,-3.4503360442778473e-06,-2.736914273550557e-07,1.0055539051730322e-06,2.0714846070111708e-05,1.2179904477529665e-05,-2.8309508032712352e-06,-5.070840627422508e-07,-3.28132915824563e-07,-1.564156964978066e-07,3.6085865215473694e-06,-3.493324069693864e-06,7.59503527175244e-09,-1.298303457962555e-06,4.198650864073949e-06,-1.0306284357650163e-06,1.4965241531920084e-07,-8.35469254294648e-08,-217.12314887133695,-1.7237645091413215e-22,4.963249057847478e-07,3.4396572191328773e-23,-2.5807833282821153e-07,-0.015708666563342567
2014-12-01,2015-06-01,-0.6574907912806793,-0.43487055425635557,0.22397427157886368,0.2273945477644647,0.04955976993276609,0.3894867346025927,99.99999999999999,2.6136243160819514,-2.5913404964194853,0.8281817414565795,-0.3619796751591408,-0.250669556646979,-0.913075673380934,-0.6607274048633465,0.19955167416359462,0.4659547916940625,-0.0332342795188012,0.12967649849649418,0.13048933372942323,-0.0031763298138027802,1.5123992869559574e-07,1.1860260381123922e-07,-2.0239795394904506e-05,-1.1279374615280473e-07,-5.257733743366916e-07,1.2777406785149275e-06,2.1104031006332565e-05,-8.304542985047277e-06,-2.8274786498834414e-05,-0.00031334892342575987,-4.133344590333772e-06,0.00018285526953221637,0.0013208832977014337,-0.0005702244942353325,-4.89463485823101e-05,7.36384560498306e-07,3.948887054797754e-06,0.0004187176101716264,2.365594827631914e-06,-4.539355615814714e-06,-1.923703762028616e-05,3.493485787190732e-05,-2.4674843497934546e-05,-4.183203674240719e-08,1.5483396687561927e-06,220.03539450333352,6.330164417187739e-05,7.053047693945573e-06,-9.875567522446516e-06,2.805117040211977e-06,-9.441230092758452e-06,-8.292093433699171e-07,1.8510071494993652e-07,-6.103469980116394e-07,-2.203101984256885e-08,-7.240037812929273e-09,3.990938134406776e-08,1.8852677377216424e-07,1.2202142194626807e-07,-1.0585569676441764e-06,-8.068117366675792e-06,7.289820487052888e-08,2.3146784211828835e-05,-5.230929195205698e-05,5.682576731406702e-06,1.0279100701994426e-06,1.8326654133657323e-07,2.9174233921485974e-08,1.196433086004655e-05,2.880021376318325e-06,-3.009717738530009e-07,-5.917585106171985e-07,6.961177189761891e-06,3.44160226148703e-07,-9.250312770706293e-08,-2.891776643038187e-07,-220.37295843084777,-1.943213938858522e-06,4.1495402058827303e-22,-1.5216248719793432e-22,-4.1395604388527297e-07,-0.044134697729732136
