Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_core_9m_lag0,SHAP_Shap_PPI_lag0,SHAP_Shap_real_turnover_lag0,SHAP_Shap_retail_turnover_lag0,SHAP_Shap_Manufacturing_EU_lag0,SHAP_Shap_Vol_loans_lag0,SHAP_Shap_Exchange_Rate_CHF_lag0,SHAP_Shap_gdp_index_ch_lag0,SHAP_Shap_gdp_index_eu_lag0,SHAP_Shap_kofbarometer_lag0,SHAP_Shap_infl_e_next_year_lag0,SHAP_Shap_CH_2int_lag0,SHAP_Shap_Business_Confidence_EU_lag0,SHAP_Shap_M2_change_lag0,SHAP_Shap_fin_spread_lag0,SHAP_Shap_oilprices_lag0,SHAP_Shap_Saron_Rate_lag0,SHAP_Shap_unemployment_rate_lag0,SHAP_Shap_infl_e_current_year_lag0,SHAP_Shap_M3_change_lag0,SHAP_Shap_Wage_change_lag0,SHAP_Shap_M1_change_lag0,SHAP_Shap_EU_fin_spread_lag0,SHAP_Shap_variable_mortgages_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_target_core_9m_lag1,SHAP_Shap_PPI_lag1,SHAP_Shap_real_turnover_lag1,SHAP_Shap_retail_turnover_lag1,SHAP_Shap_Manufacturing_EU_lag1,SHAP_Shap_Vol_loans_lag1,SHAP_Shap_Exchange_Rate_CHF_lag1,SHAP_Shap_gdp_index_ch_lag1,SHAP_Shap_gdp_index_eu_lag1,SHAP_Shap_kofbarometer_lag1,SHAP_Shap_infl_e_next_year_lag1,SHAP_Shap_CH_2int_lag1,SHAP_Shap_Business_Confidence_EU_lag1,SHAP_Shap_M2_change_lag1,SHAP_Shap_fin_spread_lag1,SHAP_Shap_oilprices_lag1,SHAP_Shap_Saron_Rate_lag1,SHAP_Shap_unemployment_rate_lag1,SHAP_Shap_infl_e_current_year_lag1,SHAP_Shap_M3_change_lag1,SHAP_Shap_Wage_change_lag1,SHAP_Shap_M1_change_lag1,SHAP_Shap_EU_fin_spread_lag1,SHAP_Shap_variable_mortgages_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2012-09-01,2013-06-01,-0.2379100909859488,-0.13917314651777554,-1.6119325424508246,-0.9955408740605757,0.6737539210771559,1.198018618757366,0.009748984202911133,0.2040701396257851,0.19975784718156653,99.99999999999964,-4.297900283984622,3.2850260074557123,0.794268059766631,0.4520910343733854,1.1646872966764315e-07,-1.2237961769604535e-09,-3.412416712093519e-08,4.1368315163519096e-08,8.956340063172407e-08,2.787800751999614e-08,-5.290199362443558e-08,2.363203582839704e-08,-4.0968916621898704e-08,5.065613233534862e-05,3.979403637783906e-07,-6.998027675068238e-09,1.8982793660873429e-06,-7.429337697513156e-07,-3.9548647089325066e-08,4.73350633487082e-06,4.2962337936387984e-09,-4.0321104859277066e-07,1.3923109947670747e-07,-3.0684420825502056e-06,-3.150123288169025e-07,-1.84986589896867e-06,5.08990477522166e-07,1.3019650772963548e-06,7.668584292561358e-08,2.8135063109905573e-08,7.001225171932872e-08,5.534319417603047e-23,2.0377546890707393e-25,-6.316546424886384e-08,-2.0357050963645635e-06,3.938911624914824e-08,5.945403855252051e-08,-5.123446732005354e-08,4.503932405453056e-08,2.3421112337743142e-08,-2.0064299831846954e-07,9.800481200179104e-08,4.731314552468633e-08,2.3147626961811068e-05,-3.470179157076143e-08,1.8646753583699e-07,-4.986218102340918e-06,-3.005461391395869e-06,1.9020567005968787e-07,-3.295380061642036e-06,-9.944291518014799e-09,-2.2251976633174051e-07,1.9233227555841486e-08,-8.173593260286022e-07,-8.004712816171589e-07,-2.601103686888004e-06,1.6212819546680123e-07,7.392137117372955e-07,1.208953702032955e-08,4.745991646930266e-08,4.435640155669973e-07,1.7044404084438332e-07,7.835229625443644e-08,8.084593410703218e-08,0.3067225466167984,-0.455792939879629
2012-12-01,2013-09-01,-0.0686985256836081,0.24773283240696492,-1.1465901728286072,-0.6157533791044122,1.041988978498437,1.5724888339212255,0.10012880438304443,0.2434620350360509,0.23571574269009876,99.99999999999999,-1.276761025608428,1.2830152309321332,0.8265311905232225,0.3623425665281242,4.79685019043168e-07,-5.786869092370314e-08,-1.1105768562294372e-08,2.668632336615019e-07,0.0,-1.9753831507061744e-08,-8.113983439881289e-10,2.6560992493669317e-08,-2.7738165171864563e-08,9.371196361245734e-06,5.78589397148132e-07,1.4663161816828062e-08,-3.6095386428815996e-06,-4.142062283549714e-07,8.173548720952575e-08,2.485121516006447e-05,4.856057582782554e-09,-6.572701931387414e-07,7.044818381661149e-08,4.21665993516201e-07,-1.1314716394127613e-07,-1.7431263297509313e-06,-1.594165149897717e-07,-3.361830345491844e-06,1.9450810055127907e-08,1.9203864331482563e-08,2.251066893556691e-24,-2.457214137949856e-07,1.2869654187616995e-22,-2.738265520947647e-08,1.1199025552796917e-07,8.74310558437856e-09,-3.024318382111865e-08,-3.142043512669465e-07,2.537297458699151e-07,4.6481340833930506e-08,-1.5345479891383172e-08,-8.658299378200676e-09,-7.390351196099683e-08,1.2871931780077872e-05,1.2899090754216234e-07,7.129624165246018e-08,1.296070557170737e-07,7.473066096550114e-07,3.100125099400025e-08,-4.596628677181123e-05,2.0485330505635815e-08,-1.4319736645777482e-06,8.494250328385042e-08,-2.268143849653695e-06,-4.3255399547734714e-07,-1.0870014044470144e-06,1.4466700984720354e-06,-2.881204067009762e-06,1.9201663169494976e-08,-6.997457094161706e-10,-7.594400498172275e-08,1.5476938346843184e-07,-1.0280086746678823e-07,-8.663774467483174e-09,0.29453713438500606,-0.09441010889341683
2013-03-01,2013-12-01,-0.0163107733018641,0.2631189957775629,-1.0845477248773083,-0.597182550666538,1.1256237010652044,1.6377446881452522,0.0780809958477819,0.2391311677544677,0.23436553432712126,99.99999999999999,0.9080551174105436,-0.4833973925750507,0.8292146856243642,0.36470866968163634,1.681475020977241e-06,2.6001470082501836e-08,-3.8868728237117505e-08,-1.1213468042137774e-07,1.6751890206803358e-07,-6.256107493429922e-08,-9.438585296243428e-08,-3.13105675605742e-08,-9.009606798459996e-08,-2.7872823529106954e-06,-6.881841806091587e-08,-7.895800658898899e-10,3.1269666244384214e-07,-2.3498115096131113e-06,1.8595851076740522e-09,-1.483241302106174e-05,-1.0750140348121087e-08,-2.244971438755593e-06,7.268248420676752e-08,-2.1178544654933636e-06,-6.726274117673906e-08,-8.738044713357243e-07,-2.423399766056874e-07,-3.110910810105974e-06,-1.45097455963903e-08,-2.106634513759677e-08,2.595634916894468e-07,-5.304757679233149e-24,2.7286276777605914e-23,-1.550544274576402e-07,4.148333931352476e-06,6.605376218237088e-08,1.0741860535929422e-08,1.339047476848151e-07,-6.5090948226684e-07,-2.905570107204272e-08,-6.372868982689234e-08,-7.937313319121878e-08,-2.782240756255352e-08,2.5758681162167203e-06,-2.9251757605610473e-07,-9.898163329276389e-10,1.246477052572004e-06,9.87534200251806e-08,-3.7244252544413586e-08,-4.984472610098215e-06,-1.4425902275170347e-09,2.2519087504396514e-06,1.3367896540102478e-07,-2.0346783002492721e-10,9.579480976756052e-08,3.091874721319162e-06,4.892754172796625e-07,-1.8042705347072978e-06,-2.229606515619403e-08,-1.3105329075651506e-08,4.793145353747947e-08,1.3075123891775887e-07,-3.2244227329542705e-08,4.680523364634074e-08,0.26038387285378534,0.024111055035547224
2013-06-01,2014-03-01,0.0721983425743033,0.49399023374408213,-0.8370786096479035,-0.32245814535835543,1.3087071486603588,1.8032081448098893,0.17790839945657855,0.28028073997988545,0.27900075963977056,99.99999999999999,-1.1402776136768524,1.4224087009906525,0.8032231939543176,0.2970997011907903,-5.992123565852274e-07,-1.4038924483172425e-08,5.052938416434737e-08,-9.259068238518804e-08,-5.898512249841975e-08,1.7001164753880642e-09,2.1207562859274667e-08,1.7247251638058797e-07,-5.874812065493174e-08,1.5274902811581044e-05,3.841114460313307e-08,9.863758704357146e-09,-1.1271231018625642e-06,2.020330172451859e-06,1.9939862392512992e-07,-2.0110255386490495e-05,-5.907156859550898e-09,3.6270239204092417e-07,9.537526721146979e-09,1.4840476961693934e-06,2.493966597215116e-07,-4.476204993338369e-06,1.9572742287023348e-07,3.602031344218475e-07,-1.3486202846121984e-08,-9.50777074578873e-09,-4.580907650910263e-23,3.029498003402452e-09,3.5363944643117196e-23,-3.0733495197298514e-09,2.936223423052906e-07,2.423077577411084e-09,1.2098741862528593e-08,2.807854916516009e-08,2.5972600346501586e-08,-8.300844206338739e-08,5.273395461887069e-08,-1.4534157653758147e-08,3.4877764403665556e-08,1.2708127072492346e-06,-2.681606990176091e-07,1.7693775965572062e-08,-1.0325931739793245e-07,-1.345578808050102e-07,3.940214099116277e-07,2.862929021727673e-05,-1.2510758137563527e-10,-2.1036117551967643e-07,-1.7924806224645036e-07,2.2562281966525932e-07,-2.2613604320798699e-07,2.86275343966972e-08,-3.142706595654033e-07,-1.2632126139862044e-06,-8.052792665798091e-09,2.208628454906663e-09,-1.8795374918640115e-07,-3.102106567332104e-07,6.568332982612543e-08,-1.4309576453953608e-07,0.2449715880810161,0.28818190275154976
2013-09-01,2014-06-01,-0.0402056980780329,-0.08662113809871803,-1.3916688373537478,-0.8347663075477729,0.7268172332239992,1.246536660539249,0.0021543930723138195,0.1905251629479802,0.18607776375220858,39.97726702827947,0.2515607518280115,-0.2665242697393138,0.7853660215436349,0.5138779760722857,-2.857794869826608e-07,-9.567839135164068e-09,1.4354339965450194e-08,-9.210609168458722e-09,-9.117098626832674e-08,-3.1971341299702936e-08,2.0109736524862816e-09,-6.085970014545553e-08,-6.170876577894775e-08,1.2654451679965427e-05,2.295471319499712e-07,3.256913120957709e-09,3.6129558905717316e-07,-6.947391150539735e-07,4.3611448671567087e-07,2.6582099960143213e-06,3.468699951174329e-09,-4.573954757630716e-07,8.001117483999834e-10,-9.841077496000105e-07,-4.1813870103526236e-07,5.148569404897222e-07,8.781241856646086e-07,1.2302864895024526e-06,-7.572995479653424e-08,8.147105878798688e-08,6.954037152899678e-08,5.715549369298117e-23,-1.1314208466429297e-22,6.495085852905387e-08,2.6273688124617572e-08,3.36516897666668e-09,2.743025112419383e-09,1.404942907103815e-07,1.2442929660260782e-07,-1.5908836239825845e-07,2.78309663958183e-07,2.168072428031586e-08,7.041017797316567e-08,-5.438585707878601e-05,4.2994897323384546e-07,-1.332926052582723e-08,-2.183610234482344e-06,-6.150761604576798e-07,-6.76148230446665e-08,-2.849078534550815e-05,-9.759198903737696e-10,-4.945422793961258e-07,6.035890953977453e-08,8.355086530349125e-07,-2.6064610399753015e-07,-4.6819640511328766e-08,-7.972200855543658e-07,5.214538822328216e-06,-6.5427225625109425e-09,-4.164243730740464e-09,-1.5962097736078317e-07,1.3059112328185057e-08,-3.641384838893471e-07,-6.526944571203286e-08,0.22690394775517647,-0.2865813745772883
2013-12-01,2014-09-01,-0.0019006300588486,0.1910380221148918,-1.2497037523524757,-0.6529179430852387,0.9968330593698655,1.5026326639227106,0.03722532350261958,0.2118206382355695,0.20949395191300968,35.27040337892081,-1.2847297166537182,1.225616052360336,0.8055758370738889,0.411170262439036,2.869101676365009e-07,1.0547683593851869e-08,-1.6396448246019496e-07,-0.0,9.205138304679526e-08,-2.3113938846867914e-09,-4.9199344312125745e-08,1.276830508312823e-07,-4.997432739321574e-08,1.535472466319588e-05,1.1386252340478146e-08,1.25973512745769e-08,-1.3927504712058077e-06,-1.1561759011034094e-06,2.7928479619898676e-07,4.469998379963421e-06,3.2317069092105912e-09,1.1644545619363046e-07,-3.0090881314580664e-08,4.355730044775145e-08,-1.458955652901871e-08,3.250178268561263e-06,-9.603608317615297e-07,-8.216811415037768e-07,-4.6088798227134735e-08,3.0362540874625275e-08,-7.931364737905482e-23,-2.331636728425527e-07,5.689417876242168e-23,-9.931995457285146e-08,3.5689178358516262e-06,4.099472010452613e-09,-4.9930462586713065e-09,-1.5358741698494975e-08,-9.030133616145886e-08,-2.549830985692633e-08,3.789291782171433e-08,6.826164910174184e-08,2.2285465027911096e-07,7.331673222979478e-06,3.708428732517911e-08,1.815174067716767e-08,-1.0880423293800854e-06,-4.817352143143308e-07,-8.873498301654295e-08,-2.678922881258668e-05,-3.473449305076848e-10,-1.2657274012809155e-06,1.0154103171202583e-09,1.6344272385832762e-07,-2.740312361397435e-07,8.15493357475839e-07,-5.603673790074499e-07,8.961796189778774e-07,-1.4598845048228438e-09,3.115659863801543e-08,-1.3808463244977732e-07,1.9444430854717656e-07,-6.492220279197293e-08,-6.77823733362693e-08,0.21394348219910542,-0.042022356511672854
2014-03-01,2014-12-01,0.2551637534921269,0.36194332114918915,-0.9853997142094726,-0.45676879388542757,1.1807057409271504,1.6645623810437538,0.011401876069029137,0.19865336929899355,0.1953722845237743,99.99999999933145,-1.4702120350208554,1.5460806855752038,0.8052995266593506,0.4490830605873808,-1.484613385472675e-07,1.4428167116064612e-08,-1.3376568894361047e-07,1.7739276760282552e-07,-0.0,1.4321278991564066e-08,2.107237638145177e-08,6.446829706550043e-08,-4.771039094052207e-08,-5.22651124175568e-06,-2.219435252474709e-07,-4.093911043307175e-08,-1.0099795182021968e-07,-1.261240297211122e-06,3.223477275548326e-07,-1.779393434490934e-05,-4.877246749660523e-09,-3.044261530400893e-07,-8.889218254805332e-08,-5.572627844356423e-07,2.2640548708298968e-07,1.1189889965708436e-06,5.412390284709198e-07,-4.812277800502148e-06,-8.644285896576692e-08,6.473751187802592e-08,1.795027762037588e-07,3.993961536132433e-23,-5.6284677238564614e-24,-2.3574594451882818e-07,-2.9343179546662407e-06,-2.6660047958223257e-08,-2.1807050027987435e-08,-7.813628470735873e-08,-1.9820186465323195e-08,-1.3799255599396318e-07,-2.3637050623401675e-07,5.3370299329962763e-08,-5.828854331219827e-08,3.55657975959532e-06,2.0306686455825642e-08,3.738860290942041e-08,-2.0465947526304632e-08,7.229531557579646e-08,6.106086471437637e-08,-3.0773013377966127e-06,-1.2047882455005197e-08,1.9136194439008285e-06,5.484750672083459e-08,2.667725074114017e-07,-8.666502335600885e-08,8.941001254951893e-07,2.450611758278123e-07,-2.304013662894924e-06,-1.3499668585829366e-08,4.0923021297173435e-08,5.17617517478531e-08,-1.9481218484468457e-07,-3.275512903761048e-07,-6.18357972728785e-08,0.19473023187882826,0.11262017091171472
2014-06-01,2015-03-01,-0.1784907206497266,0.3531610841145668,-0.9753115641866238,-0.4218628046568774,1.180884338381534,1.6794311746428747,0.28265364150913036,0.32915508470235544,0.328823074255007,62.05623326559242,-0.4669196243572583,0.7396427696646118,0.8023093149195937,0.25164357918429164,6.869581423692574e-07,-2.4877518209132246e-10,8.452177580591958e-08,-3.2364005966090425e-08,-6.121627401083894e-08,-1.1143611125532469e-07,7.832041764189172e-08,-2.066662695388202e-08,1.9675514309040275e-07,3.070650641928797e-05,1.695533343269607e-07,-2.0206841622346809e-10,1.5203781004922527e-07,1.2083886763562486e-07,-1.774791647367614e-07,-8.049753840109027e-06,1.7880399807204552e-09,3.0795160410303263e-06,2.1173097097236165e-08,1.4152457984347404e-06,1.0564333067404389e-07,-9.28349916202419e-08,-5.474325088353477e-07,-1.629405172631656e-06,-1.4497201346342913e-08,-3.6505255045445824e-09,1.6199525160349685e-23,-1.9848524734529376e-07,-2.712326139645131e-23,-2.900318784552459e-07,-6.91122964093085e-08,6.870620489388501e-09,5.014897702983596e-09,3.250281153094232e-08,5.7292289861923665e-08,5.419229272886408e-08,-2.0462882834711058e-08,7.719463664909385e-08,8.162728934132959e-08,2.5644685508503112e-05,-2.3223939652423811e-07,1.3029921944509816e-08,1.3270123518291396e-07,-4.687085001836077e-07,1.4809543925130063e-07,6.8104790739552e-06,1.468204449292093e-08,-7.539530479646252e-07,-5.000186889183135e-08,3.3167876779733926e-07,4.0309794627767044e-07,9.497851727451872e-07,-1.640944443029835e-07,-3.3568438273464865e-06,-3.662096054690767e-08,1.7210245227147206e-08,1.1516058938426291e-07,-3.1588483960318447e-07,-5.4100878819531094e-08,-1.265005142667847e-07,0.18757109635861413,0.17577786209921342
2014-09-01,2015-06-01,-0.3619796751591408,-0.05653334429849935,-1.4306902599980675,-0.8794032097912583,0.7432015168090947,1.2645546113326664,0.09329746103622844,0.23467012504252838,0.23003850615445334,30.59995450874504,0.09109750459223263,-0.14858188191683588,0.8000504689369292,0.36112533751444875,1.190415752156554e-06,1.618721180171112e-08,-1.3852254991666462e-07,-3.036238941891215e-07,-8.496563159582554e-09,-4.370936034443031e-09,-2.0439352916945467e-08,2.6376026644752106e-07,9.502038181792199e-08,8.889854037794344e-06,-1.99371312141341e-07,3.207060335173133e-08,-3.954940726383169e-07,-5.22463407603021e-07,2.8537406337384206e-07,-1.1866814030613222e-06,-8.26741792513563e-11,-6.101331130113156e-07,2.608589822868738e-08,-3.973736913952088e-07,-1.0575505882116997e-07,5.123743127527124e-07,-4.799426212939376e-07,2.824312398593358e-06,-7.504060877807024e-09,4.377727108270261e-08,2.1340292019138757e-07,-6.221812094711594e-23,1.1277371327299234e-22,-1.0839499374452374e-07,-1.7672768615508288e-07,4.806815519746334e-09,4.070939449506203e-09,-3.345314624350303e-07,4.343794898936077e-09,2.18201168728937e-08,-1.3172751178497555e-07,4.335508315771586e-08,-8.533894177815499e-09,-4.208585384108478e-05,1.2295496888465076e-07,2.672190179496684e-09,9.967872336933307e-07,-3.317625250561344e-08,3.198024945550174e-08,-1.098645673557808e-05,-4.162943135783381e-09,-2.622047983547605e-07,8.218101164455454e-08,5.070690011120922e-09,2.465411324524722e-08,1.7092952777544997e-07,1.333922724612534e-07,-4.696491328237646e-06,3.715665016032786e-09,7.106460885783432e-10,4.004077564723816e-07,1.0346521035362458e-07,-2.047381511988202e-07,-2.0279957778146886e-07,0.16640520679672915,-0.24827630655810395
2014-12-01,2015-09-01,-0.6613065813612096,0.3710556893523814,-0.9602345966512359,-0.4409551185570416,1.1951315783583631,1.6982017516590662,1.065771857992922,0.6541709772446034,0.6486599666670972,99.99999999999999,2.3915267617235276,-1.5624124324898168,0.8031701894000146,0.1023252762834698,-9.349800848985544e-07,-2.28250529649325e-09,3.188195880056401e-07,1.09084855283359e-07,-1.0411102875278777e-07,-3.2400932810819802e-09,8.315073359769405e-08,-7.189800118990336e-08,3.740767082815644e-08,-3.0731865734256315e-06,1.3615934164322598e-07,2.4996785645923442e-09,-7.618784206549652e-08,-5.407247266554669e-08,-1.0411425942346367e-07,6.854582559233926e-06,-4.735445839624229e-09,3.8453276501955856e-07,-8.825867354560722e-09,-2.4342969127501047e-07,-9.538432944159274e-08,8.06226547468e-08,7.971876889943531e-08,9.832425814044455e-07,2.8169262825298412e-08,7.086020856325688e-10,4.6865142432654226e-23,-8.445804760667382e-08,9.404289467092206e-24,-3.8970880177775783e-07,-2.699207546421167e-06,1.5730158255678729e-09,1.2634406034088292e-09,-1.21082105452017e-07,8.507051753429249e-08,2.8979677683738633e-09,-3.8836828598656434e-08,1.127815089156657e-07,-4.2640621620001363e-10,2.943469343699729e-06,2.702630549385661e-07,4.7266804275834896e-09,1.856227167586506e-07,-4.1457315807588415e-07,-5.502511529403278e-08,-8.983274474999493e-06,-1.8939516346495457e-08,-1.8307699785359422e-06,-2.804971071582618e-09,8.455428142863913e-08,-1.0857968629579532e-07,4.6185223783542535e-07,-2.343911885156916e-08,8.325395803103557e-07,-9.740953641642164e-09,-2.2152465886973024e-08,1.2910853398591892e-07,3.667342327341401e-07,-2.3320606792882243e-07,-6.453017307403752e-08,0.1621483723061785,0.21504202703930275
