Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_headline_12m_lag0,SHAP_Shap_target_core_12m_lag0,SHAP_Shap_PPI_lag0,SHAP_Shap_real_turnover_lag0,SHAP_Shap_retail_turnover_lag0,SHAP_Shap_Manufacturing_EU_lag0,SHAP_Shap_Vol_loans_lag0,SHAP_Shap_Exchange_Rate_CHF_lag0,SHAP_Shap_gdp_index_ch_lag0,SHAP_Shap_gdp_index_eu_lag0,SHAP_Shap_kofbarometer_lag0,SHAP_Shap_infl_e_next_year_lag0,SHAP_Shap_CH_2int_lag0,SHAP_Shap_Business_Confidence_EU_lag0,SHAP_Shap_M2_change_lag0,SHAP_Shap_fin_spread_lag0,SHAP_Shap_oilprices_lag0,SHAP_Shap_Saron_Rate_lag0,SHAP_Shap_unemployment_rate_lag0,SHAP_Shap_infl_e_current_year_lag0,SHAP_Shap_M3_change_lag0,SHAP_Shap_Wage_change_lag0,SHAP_Shap_M1_change_lag0,SHAP_Shap_EU_fin_spread_lag0,SHAP_Shap_variable_mortgages_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_target_headline_12m_lag1,SHAP_Shap_target_core_12m_lag1,SHAP_Shap_PPI_lag1,SHAP_Shap_real_turnover_lag1,SHAP_Shap_retail_turnover_lag1,SHAP_Shap_Manufacturing_EU_lag1,SHAP_Shap_Vol_loans_lag1,SHAP_Shap_Exchange_Rate_CHF_lag1,SHAP_Shap_gdp_index_ch_lag1,SHAP_Shap_gdp_index_eu_lag1,SHAP_Shap_kofbarometer_lag1,SHAP_Shap_infl_e_next_year_lag1,SHAP_Shap_CH_2int_lag1,SHAP_Shap_Business_Confidence_EU_lag1,SHAP_Shap_M2_change_lag1,SHAP_Shap_fin_spread_lag1,SHAP_Shap_oilprices_lag1,SHAP_Shap_Saron_Rate_lag1,SHAP_Shap_unemployment_rate_lag1,SHAP_Shap_infl_e_current_year_lag1,SHAP_Shap_M3_change_lag1,SHAP_Shap_Wage_change_lag1,SHAP_Shap_M1_change_lag1,SHAP_Shap_EU_fin_spread_lag1,SHAP_Shap_variable_mortgages_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2012-09-01,2013-09-01,-0.0553795839522308,0.698345763076299,0.1475262654641715,0.3651113309475568,1.0414717770072834,1.2580064520368246,0.5681018987532777,0.5698429063153658,0.5645787140398175,99.99999999999545,2.3820872887459594,-0.09734085970614105,0.331214650868988,0.0120470872696135,2.436185204821142e-06,4.8001130786210115e-08,2.606430500396126e-08,1.5470478941510216e-07,9.300598455789497e-09,1.0035148288823492e-07,2.8389456315652317e-08,2.1280975435256234e-07,2.8743534811440432e-09,-8.084967565476592e-08,-2.8709496876902474e-06,-5.907684206757853e-07,-3.263607342265127e-08,4.269612378682452e-06,2.1097419635630242e-06,1.578580945026809e-08,6.541005658908509e-05,-3.0861583716027415e-08,2.3550103848534025e-06,-1.3745272677852423e-07,9.715810084101211e-07,6.916629391607675e-07,9.678420064526532e-09,2.0949789198806954e-06,9.016774017291358e-06,3.6104041419123403e-08,-3.361351850300047e-08,1.9855448950261727e-07,1.3297717102336325e-22,-1.3207731581609153e-22,-1.728054719161009e-07,2.8604708319264513e-06,-2.7807234364705792e-08,-6.934000029185621e-08,2.0182972838574023e-08,-2.733108810897225e-08,-2.1251391693492666e-08,-7.516877717989048e-08,2.3449020627523288e-07,2.2689030490853009e-07,4.1496602537174335e-08,-2.5589929474765494e-05,5.991772576676314e-07,2.2981334168573657e-10,-3.683972391479116e-07,2.6266502065526346e-06,-3.8581966819321505e-07,-2.3666508486681695e-05,-7.327639157859324e-08,3.312705731285183e-06,-5.910212289976845e-08,4.3639099225340103e-07,-9.29862251387817e-07,-1.4815220141153036e-06,-3.3548374823653144e-07,4.581008134949893e-06,9.963858993681396e-09,-1.1126231087245432e-08,3.452769536962538e-07,2.2441052556196627e-07,-2.4305726497047983e-07,1.3442732860710627e-07,0.6871974639794253,0.0
2012-12-01,2013-12-01,0.0670906503184021,0.6583493643885038,0.1057653266524556,0.33140183526818207,0.9985103995087151,1.21132436081591,0.34958686696383023,0.418663793320337,0.4157236974290976,99.99999999999999,-1.433947570753626,1.1392079589881872,0.33113492350701307,0.03999291822889737,-3.818969403190142e-06,-3.284234809050911e-09,-4.3191469477475913e-08,-1.668468825381555e-07,1.4201962096305123e-07,0.0,2.7895859788830737e-09,-8.158055487609656e-10,-2.0113551414720513e-07,-8.812074855481309e-08,2.5386709911853787e-05,-8.988396598380271e-07,3.7618404340506096e-08,-5.932183504271739e-07,1.2639142301549056e-06,4.900259648985498e-07,2.6182493181381364e-06,1.2090195359458037e-08,2.8142520312187993e-06,1.4985331581148403e-08,1.9923278395945822e-06,-6.424995388299541e-08,2.9128891893931386e-06,9.227323087601687e-07,1.1980748457227345e-05,8.209439434252316e-08,7.0654979638177e-08,3.164174544772633e-23,1.520671396029575e-08,-1.0721908941243965e-22,1.9043007270805918e-07,-3.1066410909069468e-06,-4.2231695518017236e-08,1.7658806301886963e-07,3.203852118525424e-08,-1.5181963043696386e-07,1.434625521804537e-07,-6.046902126037093e-08,6.439856347435784e-08,4.177432329312878e-08,1.01886558651584e-07,2.5515866810751637e-05,4.4150619864741863e-07,-4.502303362860329e-09,-1.5417248767651073e-06,-1.6927713332940377e-06,1.6482831090870085e-07,-7.179320560476897e-06,-4.907802270418399e-08,-7.553732884813186e-07,1.7192097062391293e-08,-2.520669147330194e-06,-4.1379361918899354e-07,2.217885062843479e-06,-1.8002904092571442e-06,-2.7595683513816717e-06,-4.782017115279039e-08,-5.058957746332541e-08,1.818620719987698e-08,9.724922734149867e-07,-3.6289085962694543e-09,-1.8494284429674498e-07,0.6573983032939542,0.0
2013-03-01,2014-03-01,0.0027728372861801,0.6191747578730453,0.07283962982054581,0.2769954497401867,0.950679958325998,1.1584075208261944,0.37995132770317613,0.43825207087563745,0.4337185929809391,99.9999999903539,-1.3418302674458704,1.0639522283802598,0.33134780828729277,0.035347537712252214,-8.916482249637788e-08,5.1623393118552314e-08,-2.5872895840479274e-08,-1.2545760353469418e-07,2.5658177594647335e-08,-2.92157171219448e-08,-2.9342496174339155e-08,-9.730976692052413e-08,-5.974237177621267e-08,-1.5716776135516565e-07,-4.597244258620501e-06,-5.972600063657307e-07,-3.500544638782616e-08,-2.859824513377806e-06,3.621151335571384e-07,-2.0829554843847818e-07,-5.7683955849015325e-05,-5.705421812874012e-09,-1.765362404130273e-06,6.29190629657227e-09,-1.9584970999205644e-06,9.12017605706493e-07,-1.980180732527218e-06,-2.5296496195301827e-07,-7.086316629877686e-06,4.884246556663373e-09,3.5620142482581666e-08,-3.0121446145692606e-07,2.917727115985823e-23,4.412660971005758e-24,-1.1143409155618152e-07,3.96587797581516e-06,-2.2853735534697107e-08,1.6813956896559108e-07,1.0373038807172897e-07,1.8393699446773526e-08,3.075990530965497e-07,3.011541863508559e-07,8.702798688667339e-08,1.4070220478611175e-07,2.0143379527700585e-08,-3.254712901627111e-05,-9.022153765581367e-07,-5.956194574987205e-09,5.5922646300981104e-08,-3.256816696017377e-06,-1.4881693958572468e-07,-2.2840135153175908e-05,1.5604312663392825e-08,3.6752840145098474e-06,2.0251072326052926e-07,-1.4041663484941278e-06,1.0455946689723867e-07,3.5101672568627603e-06,-2.7870718528422465e-07,-2.2381474913919702e-06,4.872742157689693e-08,4.068242679176581e-09,-1.2901601834755295e-08,-1.7629931968429913e-07,6.812685504419364e-08,2.2140704381221017e-07,0.6266642560548231,0.0
2013-06-01,2014-06-01,0.0495813252518573,0.60703229541174,0.043260992564304615,0.2698985846823969,0.9407225612950417,1.1427495148758873,0.3107515841321944,0.37984748800021506,0.37662933394852294,99.99999999998168,-2.496722298424336,1.433622720840699,0.3310341057924094,0.05416856539157507,-1.4550279371684232e-06,-2.5209268436972588e-08,-8.746457867389989e-08,1.4982853662588063e-07,-3.065850684567602e-07,5.179735056620134e-08,-3.56262971784041e-10,2.6652634768255548e-08,7.338256664771243e-08,-8.950502248407975e-09,9.8113187792216e-06,-2.946811624358682e-07,1.3661646502706725e-09,8.931639888645828e-07,5.644543556952788e-07,-1.741299187761756e-07,-1.2037315410789353e-05,-1.1640699002489205e-08,3.086184148268643e-06,2.727196961761168e-08,-4.6773296158301036e-07,5.547858920920599e-07,2.580355421693951e-06,-1.5383621031544497e-06,6.519724949522027e-06,-4.3575613141655605e-08,3.6146402385654472e-09,-6.74423002087841e-23,-1.965289232297405e-07,-4.893022299783043e-23,1.7534085997523443e-07,-5.681486527937355e-06,3.540036598910454e-08,-1.823808845265427e-08,9.469533074873796e-09,3.83570478755818e-08,-2.7834903507015517e-09,1.2492664601715578e-07,-2.5503918562449547e-07,1.178424525886229e-08,-1.9925391444395458e-07,-1.1432854200093058e-05,2.329857746352133e-07,-4.6345712039404473e-08,-1.144043157568478e-06,1.5839292412703772e-06,3.0349919875671566e-07,2.0452845340026538e-05,-5.343538799035794e-09,4.956648851700109e-07,6.034591584385201e-08,-1.3001480333887162e-06,7.678980237892057e-07,-1.4100103982214952e-06,-2.4082506862589396e-06,6.989738225551948e-06,-5.928035642664977e-08,-7.579097343865777e-09,-3.040937095066587e-07,5.284208737965829e-07,1.3546236129326319e-08,3.0743496138070557e-07,0.5968533114394905,0.0
2013-09-01,2014-09-01,-0.0876811076678585,0.5975032952157562,0.06168403436791347,0.2700929538090231,0.9152298781316388,1.1198790431411516,0.46947766595497564,0.5041363030069833,0.4992695242079042,47.621001321524375,-0.3045621582805034,0.689848663324168,0.32064841750727346,0.020353649249675802,1.578994343060423e-06,8.692055583828501e-10,-4.452075544554438e-08,-1.4579039241925773e-07,-1.4814881760952963e-10,-2.1494944199339244e-07,4.985811561130306e-09,5.0535179282613075e-08,1.5156890889821238e-07,1.7198295996576936e-07,-1.1179788222910887e-05,-6.14817176281761e-07,-1.501814911196179e-08,-1.0694979235333884e-06,-1.6758281269507573e-06,8.44855452313891e-08,-4.2971504592482956e-05,1.2839200804138402e-08,-1.0547202831979476e-06,4.209786876464538e-09,-1.91446323163122e-06,-6.8779207836144e-07,2.630608166646217e-07,1.2845935286190055e-06,3.4245215801272247e-06,-1.1340084196859891e-07,-5.165944713227195e-08,-7.805451069976418e-07,-2.7145744101151113e-24,1.0572096563157489e-22,-2.5565639167715746e-07,-2.31713760897746e-06,3.9065708500644515e-08,-8.986155200884992e-09,2.9052240160276195e-09,3.9974577618940004e-08,7.458452946648471e-08,2.1016311659530296e-07,3.054773865725207e-07,3.582385523655869e-07,6.949810168746893e-08,-3.2168729962198567e-06,-5.48492114423405e-07,-3.614206250838787e-09,-1.273077521027928e-06,-4.794217737973337e-07,5.871852389264104e-07,2.652438013738616e-06,-1.7411624957223397e-09,1.9562194365789205e-06,-8.851729678912574e-08,-1.4603388578505353e-06,-2.9580722561306816e-09,3.871258446707969e-06,-2.171982562933292e-07,2.9846340426297294e-06,8.109568820170264e-09,-8.178276323816246e-09,1.5288047985213962e-07,4.305388502213779e-07,3.6791870404330566e-07,-4.989642440178455e-08,0.5815044482935452,0.0
2013-12-01,2014-12-01,-0.3289362236455595,0.5507017081947139,0.022355658390048893,0.2219120870598459,0.888546644423474,1.1131206250926133,0.7737628911322335,0.7074149230507321,0.700552675542215,99.99999999999999,1.1614864041019703,0.1753953785175872,0.32623652809265224,0.003597737307905562,-3.535377253757114e-06,-1.3790096274234861e-08,-1.755954571443324e-09,3.3796162661479574e-07,-0.0,2.1598909630859487e-07,3.0514698312524124e-08,1.0337750238314889e-07,1.0628512803395634e-07,-1.3711294859830767e-08,-2.9395274179769335e-05,-8.16378741057297e-07,-1.880452052463678e-09,-7.324344208668165e-07,-5.364581882290592e-07,-1.069065922749273e-06,3.007500583422277e-06,2.2530742609772947e-10,1.6620613319319378e-06,-2.20662401485885e-08,3.708791006176262e-07,2.429519207461705e-08,-3.015747687087043e-07,-4.5016401861932816e-08,5.368806883459571e-06,1.30575814181013e-07,1.1399500404387219e-07,2.2559035240956535e-23,-1.1867004968522413e-07,-1.915860653669017e-22,2.968475505193053e-07,1.501230776154194e-07,-1.5571363209587305e-09,4.0763738569814895e-08,2.4523825755849065e-08,-6.963099440242091e-08,3.518581186449946e-07,1.0231397224968368e-07,-6.772192591330467e-08,1.9117793899964844e-07,-2.441001558071797e-07,2.5361470479150776e-05,-5.027524090050318e-07,-2.895406938789693e-08,-5.948795409355203e-07,4.4860327437052434e-07,-2.796793240500497e-07,1.827490522706947e-05,-6.481259591500859e-10,-6.993267132346858e-07,-3.056527879055732e-08,-2.2197085349387682e-06,-7.71249254000124e-07,-3.4289928522719407e-07,-1.698994154613533e-07,-9.727886791164056e-06,-2.1216458286810695e-09,-2.7947786154792893e-08,-9.149099649520556e-08,3.0947148203511577e-07,8.086131315770496e-08,-1.142748143123849e-07,0.5640568835399845,0.0
2014-03-01,2015-03-01,-0.8784672275139016,0.5654371746124087,0.0009693633804194635,0.2382450311617844,0.88743662933892,1.1132509601355403,2.0848599224797377,1.2619437222647942,1.2536531573894025,65.55558691474212,-0.38637028999850337,0.69178149948977,0.32874897989124674,2.5724525764111504e-05,4.126558974247893e-05,-6.689363185372994e-08,-1.4382187753057061e-08,2.5751153485435786e-07,5.728352646304001e-07,0.0,8.860028412694166e-09,3.836325363459471e-07,-3.4509877998440364e-08,-3.726820412524979e-08,2.937653305942975e-05,-4.0443944909631585e-07,-1.998473253073058e-07,4.297604487029898e-07,9.146575080716629e-07,5.24646993910064e-07,-1.2451919904408208e-05,-3.384236138140009e-09,-7.500118778385071e-08,6.144167298014342e-08,-2.353259325613203e-06,-1.9393376643297068e-07,2.1042427600374214e-07,1.5318639907837617e-07,-4.325867449940456e-06,-5.3154099115712737e-08,5.38210065229022e-08,2.3820526029454769e-07,2.130581600587799e-23,3.6210875216889947e-23,-3.317799434942165e-07,5.523055340844282e-06,-5.106812688074372e-09,-1.0513783199083609e-08,-1.913647630936901e-08,-3.5327242645134357e-07,2.5506508821182737e-07,3.0843463711535445e-07,-1.5093882210809293e-07,3.3165173784383416e-07,2.372183414127126e-07,-3.0459568147647356e-06,-6.551427439280971e-07,-7.501010062879695e-08,-1.230485200361441e-07,-2.0666746837657326e-07,1.0862825813703828e-06,2.6107268137026064e-05,1.0900138888266831e-08,2.3440141836644993e-06,4.759784130247362e-08,-8.044479037897041e-07,2.2901108649845457e-07,1.821434840857835e-06,-2.1219800471374212e-07,6.526470391036327e-06,2.2414978264999127e-08,4.636256297790962e-08,-6.459679340850849e-08,-2.544557295161043e-07,-1.7643984034843493e-07,1.5747767012625126e-07,0.5490824864080999,0.0
2014-06-01,2015-06-01,-1.042713669218287,0.5395409650030191,-0.00040723029615778413,0.20294677882720272,0.8632545339685165,1.0816719416634737,2.5035297275147985,1.40406416360847,1.3967140996019984,99.99999999970477,1.254740103447972,0.12991157849321905,0.3234474631977866,1.163500945782117e-06,1.0002774460519141e-05,-6.394888125706262e-07,4.181476492202638e-09,-7.267522130498983e-08,6.609853898625218e-08,7.230627946537954e-10,-2.321739336517121e-09,-8.10222240163894e-08,-9.403835478581271e-08,2.6533453310635154e-07,2.3657195505566466e-05,3.221161830330175e-07,-3.695818302837943e-12,-9.784739452701953e-08,-2.888906485343579e-07,1.5313755810507305e-07,9.051057317621286e-07,-9.890107779214206e-09,-1.2699114635872653e-07,7.497854298078889e-08,-1.0481572358388796e-06,2.733414788099231e-07,-1.2252141134824272e-06,-1.390879416346685e-06,6.83140697237599e-06,-3.0746788408375736e-08,-9.150177942477731e-09,9.620627265844848e-24,-1.8567807727459095e-07,-7.36295975038229e-24,-1.4189138217490759e-08,1.1194301040895615e-05,1.2816640848886108e-07,8.63650706365688e-09,-9.081035581731657e-09,1.568712459138791e-07,2.3721176217355727e-07,-9.468327309901103e-08,9.04131445121726e-10,1.5525899634197808e-08,1.3287623750783542e-07,7.108416023800052e-06,-4.530065330637998e-07,-4.859680877273951e-09,-7.185226791881026e-07,-8.822640502284173e-07,5.980899281852515e-07,1.5990804154764236e-05,1.82928735063867e-08,1.148177011325807e-06,-5.560718368532237e-08,7.851720216799408e-07,-4.700650560410136e-07,5.602287768857177e-08,2.0070983561196432e-07,7.766776490539268e-06,-1.6762404130925505e-07,3.027435735435231e-08,-1.1576650693654408e-07,-1.0642493201136708e-07,1.704054699582152e-07,1.0735770107598513e-07,0.5371503739097672,0.0
2014-09-01,2015-09-01,-1.4541319195251925,0.5314116451633364,0.006133894614362425,0.2104193947153914,0.8351078478582858,1.0309577529135698,3.9423832472760303,1.8104788797686497,1.8029822077704645,99.99999999999999,0.2241872400990813,0.4560449218292365,0.3121845411117328,2.72041494058287e-09,1.2466174749803819e-05,1.3933881319475262e-08,1.0119697849186957e-07,-9.621384735584807e-08,-3.8686732999728174e-07,1.1931603610667121e-08,1.9562397070867282e-09,1.781355305522619e-08,-7.300984173924218e-08,-1.4062883314119183e-07,-2.049435974406394e-06,1.149807644508232e-07,-2.9636206481650495e-09,4.9563880251548e-07,-1.304940306545566e-07,2.0817414454135015e-07,-6.47521543860343e-06,9.126054270905908e-09,-2.9806502648299645e-06,6.268038688976199e-08,2.8253498946759643e-06,2.3881148224354096e-07,-3.1396300720306534e-07,1.6260573008121253e-07,-3.8739054406013685e-06,9.96944020983993e-09,-8.148761312934481e-10,9.933086071326554e-07,1.7300502809021783e-23,-8.635988204210838e-23,2.3172303584965635e-07,9.346314754045153e-06,-1.1798134707938494e-07,-2.3779874621347106e-09,-1.609103655141883e-08,3.323293832198578e-08,6.886764363043244e-08,8.866721606505128e-08,-1.0727327394856481e-07,-3.5993161787307065e-09,-2.741746475065082e-07,-2.2534840486640224e-05,2.7378015642533557e-07,-7.927961936462346e-09,-2.12058815669224e-06,1.2128244810104789e-06,2.3768658120619473e-07,1.0907497275566583e-05,-2.2263703725815294e-08,2.7584141289653466e-06,1.6180997802989104e-07,1.3371500106544892e-07,-6.283676113121611e-07,-1.847747037784975e-06,-2.814082485477528e-06,7.845278038701448e-06,-4.895058435680432e-09,2.5501850731305023e-09,2.5646669072586915e-07,-3.608156084865317e-07,-3.576702996004658e-07,2.437765293366785e-07,0.5244659262380879,0.0
2014-12-01,2015-12-01,-1.316989762101528,0.498338944882487,0.0011818524549578734,0.19833100093611875,0.817132078269878,1.0264979419653057,3.295418314400256,1.6547701339844572,1.6473221551397823,52.38035047962358,1.2958549267734256,0.10543332411919007,0.3054394986571964,2.759458022598645e-08,-1.4636739364574388e-05,-3.833206110123459e-07,-1.571194128831923e-08,-1.403963691528665e-07,1.4094804560169346e-07,-4.758243113273613e-09,2.9338141570624153e-08,8.926844995438648e-09,2.1356184936592912e-08,-4.57334732270492e-09,-1.958015097317548e-05,-4.462602230766e-07,1.2454296122425938e-07,1.0524552895496757e-06,-1.8395925499933716e-08,2.7302345206311223e-07,1.6925463042439598e-05,-1.5736562284786585e-08,-4.4334889444629194e-07,-3.636874728031277e-08,-5.474062489593289e-07,-2.57758900796823e-07,3.1400878966272323e-07,4.869978732549175e-07,1.0143057988669167e-05,3.80301200186936e-08,3.4051076467345806e-08,1.2232573195372906e-22,-5.246089112729462e-07,-2.0156302383916255e-22,3.9302737870210035e-07,-7.451752037730091e-06,1.0863319752514057e-06,6.094094348771887e-09,2.5667525104735496e-09,-7.927352251688149e-08,7.52401513324247e-08,-4.077422715816575e-09,-2.5765374455408603e-07,-6.059746048989991e-08,1.9414063332995677e-07,-3.616020529958919e-06,-4.492059134110412e-07,-2.666755959461203e-08,-2.076757427168403e-06,3.582483223451873e-07,-4.156321230662236e-07,-3.245897174982591e-05,-1.8615303250863047e-08,-4.985122546527267e-06,-3.0719100633945406e-10,-7.919000261449244e-07,-3.0411265445669415e-07,1.9997887408066045e-07,-9.572219899956946e-07,-2.6210145463272287e-06,-1.9838081398869298e-09,1.1088191996361717e-08,-1.3982040712582784e-07,4.007346197902193e-07,-1.2203991943818658e-07,9.907436531883504e-08,0.5081818675117078,0.0
