Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_headline_6m_lag0,SHAP_Shap_PPI_lag0,SHAP_Shap_real_turnover_lag0,SHAP_Shap_retail_turnover_lag0,SHAP_Shap_Manufacturing_EU_lag0,SHAP_Shap_Vol_loans_lag0,SHAP_Shap_Exchange_Rate_CHF_lag0,SHAP_Shap_gdp_index_ch_lag0,SHAP_Shap_gdp_index_eu_lag0,SHAP_Shap_Wage_change_lag0,SHAP_Shap_Business_Confidence_EU_lag0,SHAP_Shap_CH_2int_lag0,SHAP_Shap_infl_e_current_year_lag0,SHAP_Shap_fin_spread_lag0,SHAP_Shap_unemployment_rate_lag0,SHAP_Shap_M1_change_lag0,SHAP_Shap_oilprices_lag0,SHAP_Shap_variable_mortgages_lag0,SHAP_Shap_infl_e_next_year_lag0,SHAP_Shap_EU_fin_spread_lag0,SHAP_Shap_kofbarometer_lag0,SHAP_Shap_Saron_Rate_lag0,SHAP_Shap_M3_change_lag0,SHAP_Shap_M2_change_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_target_headline_6m_lag1,SHAP_Shap_PPI_lag1,SHAP_Shap_real_turnover_lag1,SHAP_Shap_retail_turnover_lag1,SHAP_Shap_Manufacturing_EU_lag1,SHAP_Shap_Vol_loans_lag1,SHAP_Shap_Exchange_Rate_CHF_lag1,SHAP_Shap_gdp_index_ch_lag1,SHAP_Shap_gdp_index_eu_lag1,SHAP_Shap_Wage_change_lag1,SHAP_Shap_Business_Confidence_EU_lag1,SHAP_Shap_CH_2int_lag1,SHAP_Shap_infl_e_current_year_lag1,SHAP_Shap_fin_spread_lag1,SHAP_Shap_unemployment_rate_lag1,SHAP_Shap_M1_change_lag1,SHAP_Shap_oilprices_lag1,SHAP_Shap_variable_mortgages_lag1,SHAP_Shap_infl_e_next_year_lag1,SHAP_Shap_EU_fin_spread_lag1,SHAP_Shap_kofbarometer_lag1,SHAP_Shap_Saron_Rate_lag1,SHAP_Shap_M3_change_lag1,SHAP_Shap_M2_change_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Constant
2012-09-01,2013-03-01,-0.3366209579754198,0.6830712516831605,0.6668605923555666,0.6719139688345916,1.0397722024383982,0.08384442317981813,99.99999999999999,-4.2124135368700255,3.618005690988324,0.6921143691438096,-0.5953826692453035,-0.08553656441601334,-0.7068957111624059,-0.44620573009717296,0.27816015829792834,0.48936425069030076,-0.4270721902575936,0.14303243038349311,0.14388298073572886,0.002621656244509874,5.673182033470312e-08,-2.2813659448820653e-07,6.212432884282851e-08,-1.7511898901277896e-07,-3.895717283011527e-09,-1.1205328424089399e-07,-5.296132458113946e-08,-1.0187248663750658e-08,2.579179245843987e-07,2.7059106926573522e-06,2.2102571973328674e-07,-4.3540676634607005e-08,-1.962748222244402e-07,6.2106772083159865e-06,2.922659743970508e-06,-3.576865849316991e-06,1.11952814426959e-06,-6.169519184804381e-07,-2.511096298636309e-06,1.929891467241899e-05,-3.510438723164395e-08,-3.8798710312344965e-07,-1.856885482618645e-06,-6.718745929060855e-08,-2.242678212782998e-07,1.7816208296757594e-07,9.252817435202207e-23,5.591686008687045e-23,-2.303443047336477e-07,0.0016055141520547691,6.25883737866642e-08,8.975839311965943e-08,-6.509758951634799e-08,3.5276831019144497e-09,2.8441988274709964e-08,1.2414845118203765e-07,-7.672073752928323e-08,-4.850288456079735e-08,1.0611971550016209e-06,-2.147185236356337e-06,4.897523281592744e-07,4.206075201519474e-08,-4.544364404021494e-07,-3.2985797685945146e-06,-4.741882991653185e-06,8.358948639862395e-06,-2.93448506042045e-06,9.525210753884612e-07,3.708107172545895e-07,1.9399309693948944e-05,5.5063698222317104e-08,-2.409152509248409e-06,-2.414179045013469e-06,9.788647960596215e-10,-9.680773030288253e-08,-1.2063463414277033e-07,-2.032796135333966e-07,1.0500351986534839e-07,-5.012836499038844e-08,0.6909832966892326
2012-12-01,2013-06-01,0.9850075444305162,0.6427686989694303,0.23001864209073197,0.2327840828245111,0.117127427342537,0.6859911713939059,99.99999999999999,1.0592657981246905,-0.10182991754129052,0.7009302930551646,-0.1279526276012355,-0.2990720503317784,-0.8776063466328098,-0.6456912887844237,0.05630402467810868,0.30187016861449706,-0.6204563998164936,0.22576531287050763,0.22812552645110074,-0.007536593050292219,5.597451155992743e-08,-6.333715289518704e-08,-1.3576733193795202e-07,0.0,3.378896824167665e-08,-2.4245843473513917e-09,-7.582356009578745e-08,-4.769760058912494e-10,5.002000862812865e-07,3.5077334794143858e-06,7.300334218779655e-08,-2.0347419363728252e-07,-8.050136228822622e-08,1.2485587680185942e-06,9.334421474821061e-07,-1.4772795912269534e-05,-5.70523359559426e-06,-1.1968789062067591e-06,-8.983172165764605e-07,2.590669673914864e-05,7.04463671947562e-08,2.391101143859436e-06,-1.0221820927521006e-06,-1.0862797251352311e-07,4.7334542750916836e-08,-1.0325199733269281e-22,4.6963533434427505e-08,-1.5345786181964725e-22,1.895683492496099e-07,-0.0034886896995634086,1.4668861706536454e-07,1.6230480355364207e-07,-1.262431897636451e-07,1.0535385606053382e-07,2.865164503124928e-07,-2.544509915043514e-07,2.5914966441049662e-08,3.629570754499662e-08,1.3215156670514372e-07,-2.2367991560079357e-06,2.4357669511805e-08,-3.961028843581309e-08,-8.068644250777566e-07,7.599710053076129e-06,2.4430518706899774e-06,-1.2395510717373868e-05,5.662124243014811e-06,1.526337621693495e-07,-1.4930675581025848e-06,-3.17186320309598e-05,-2.8202955804113404e-08,8.457886233907198e-07,1.4360903896101442e-06,-1.537936884204518e-07,2.114794622415821e-08,2.532722753026091e-07,1.1245666701760593e-07,-1.1522483617484805e-07,3.7035175018457205e-08,0.653819458997082
2013-03-01,2013-09-01,0.225861790070958,0.6187833101750233,0.2469186775466938,0.25131515038895624,0.15438732096088942,0.2993465309757882,99.99999999999999,-2.486007291612168,2.368545870873775,0.7067209062493645,-0.0553795839522308,0.14108117609980178,-0.4781774916781382,-0.2291294150806552,0.49347574304854963,0.7063242353528915,-0.1683104789877099,0.1922873935217829,0.1928174827466267,-0.0015337670679692287,-5.705167898678968e-10,1.1666241415683123e-07,1.1706718353674891e-08,1.8772799707264577e-07,-5.998459530922979e-10,3.4000246212497107e-08,-1.4671777829989265e-08,9.4586270569818e-08,-1.8043028311759057e-07,-8.882924513068226e-07,-1.3684336616008306e-08,-4.223153141422474e-07,-3.6846016659589506e-07,1.1787185121815902e-06,-1.6923538086776683e-06,2.2240265973439545e-05,-5.781986306469717e-06,2.224555406505104e-07,1.821214360962828e-06,-1.944912854348523e-05,-2.49532144368063e-08,-3.2505270023441613e-06,1.8778199888156782e-06,-3.2713996323126555e-08,-2.6286939457212645e-08,4.186333600379374e-07,-2.052783554759966e-23,-5.940555483463986e-23,1.4279650640151674e-07,-0.0005968227444203867,2.704270332622242e-07,6.634524989093372e-08,-1.0876540769605293e-07,1.3001346605857732e-07,1.5933772156693547e-07,4.396671252233158e-08,3.34593943620191e-07,7.882271941638577e-08,1.7527397861618446e-06,1.9527401545172294e-06,-1.2039896037418083e-08,4.563706319984208e-08,1.0059883886555698e-06,-6.3432245108274e-06,-2.179130544293013e-06,1.982223441693008e-05,4.164116201761326e-06,1.3880323600097006e-06,-9.895262057858667e-07,6.365917898419717e-07,2.1205076303814626e-08,4.857237931427198e-07,-3.9357836520735955e-07,-1.287162340651414e-08,-1.0614980374616917e-07,3.7529600860935815e-07,-2.9087527143355195e-08,1.4552372883742044e-07,-6.086862328178378e-08,0.6063302505543512
2013-06-01,2013-12-01,-0.850826243793712,0.6169929663187148,1.067590632505624,1.0782044987348338,2.1544932335750686,0.020075273590578143,99.99999999999999,-1.205755877014379,1.4350385732377322,0.68820620633012,0.0670906503184021,0.8010002553746155,0.2179468149469398,0.4444989282914883,1.1425047048555514,1.356813203395911,0.4925037722152581,0.34259443372909243,0.34547754891568705,0.005728696092192577,8.56858723574083e-08,2.32761382644737e-07,-3.124722056076198e-08,-1.2680303879148184e-08,4.6901429250608056e-12,1.0853798350809427e-07,-2.3372179280228273e-07,-2.2806785261976958e-07,5.637282952640675e-07,2.966295668392053e-07,1.3863271781797741e-07,9.930736240828703e-08,-3.84443507240071e-07,3.6477121697910066e-06,-3.5578759904371463e-06,-2.2427106911360175e-06,2.5635529075539878e-06,6.91760606925045e-07,-2.9726168794372275e-07,3.5197174791017125e-06,2.711978227026872e-08,-4.590595377603758e-06,-4.754372927940554e-06,-4.496884291208352e-08,-6.2603672290890055e-09,3.988575616159038e-23,-7.586547265474574e-07,-1.236960085635457e-23,4.5097288216713614e-08,0.0019545319989619386,-4.599768451993695e-08,1.9534249538458525e-08,-9.476779186413221e-08,3.757920531859989e-08,-3.746837075803185e-09,1.9465278537764808e-07,-1.2868098914938506e-07,-1.3407550103291322e-07,1.3322626237208622e-07,-8.074144789326948e-07,2.0058480671990456e-08,-2.7002853653107926e-07,-6.585183829915745e-07,6.026573021109219e-07,-1.9416833833521323e-06,-2.45239032154811e-06,-4.430221905878213e-06,6.131434653939477e-07,-4.2299757361593425e-07,3.864965963089002e-06,-2.530477842891811e-09,2.6998926527541446e-06,3.078997339742784e-06,1.8447964587280694e-09,3.5034472243908166e-08,5.198902999027219e-08,8.011647894917506e-07,-1.9805207631886718e-07,-7.592807851736996e-08,0.5822272443237754
2013-09-01,2014-03-01,-0.2203161154985977,0.6030275327663444,0.510492114117694,0.5137764591825567,0.6778947631382247,0.11740430846756478,99.99999999999999,0.795740537703419,0.0506612611538706,0.6881707604069712,0.0027728372861801,0.4144446614186512,-0.15202362939220002,0.06012582507766734,0.7563734184126562,0.9948075790728321,0.11293089503547904,0.11816958636428695,0.12067881803495858,0.0015308776461674487,-6.727614379332754e-08,2.0472809571676426e-07,1.1458563062426843e-08,-2.2607179257626505e-07,2.9309053360680928e-08,6.812164703030144e-08,1.9101483507383994e-07,5.430202049444535e-07,1.3485531433109626e-07,-1.502335724554e-06,-1.4216387524382271e-08,6.850278974760302e-09,-4.050932208409799e-07,-3.1870817842334105e-06,-1.2410441108795073e-06,-3.5578050231833e-05,1.3709859017388993e-06,1.8539894828182782e-07,8.934408021313236e-08,1.945880765442808e-05,3.6626761915022504e-09,4.5922411154478384e-07,2.2880395304434217e-06,9.489470389494513e-08,1.300331047960729e-07,-9.256182595943228e-07,-1.1916978130125212e-22,3.058979709756103e-23,-1.7510623387023837e-07,0.003185909224466853,3.53193143979841e-08,-1.4066393657956729e-09,1.196067893802344e-07,-1.0485960721207028e-07,4.014171185570309e-08,5.766735341717748e-10,3.789717823893499e-07,1.824162989740063e-07,-1.1638521773238421e-06,-2.4262960570859753e-07,-3.889614698669976e-09,-1.2731276929536675e-07,9.79377919177378e-07,-2.4562248664316e-06,-2.5466330425910262e-06,-1.968605705025391e-05,1.2734572406677103e-05,-4.158806744451964e-07,-1.2990644780272405e-06,1.7636118261522616e-05,3.4484947341619664e-09,-2.50669326192363e-07,-1.023365885006634e-06,2.2481645652176488e-09,8.427978979785489e-09,-7.445572911372149e-07,-2.460739980260727e-07,-5.229761060376656e-07,2.31458169114773e-07,0.5847986042817238
2013-12-01,2014-06-01,0.9499888942974266,0.560335774097199,0.25181014966868476,0.25458386737185984,0.151829554081773,0.7123013671289864,99.99999999999999,-2.2099876363320643,2.1025115821971383,0.6984100088033667,0.0495813252518573,-0.1452452348482565,-0.727429920360808,-0.5092396257176768,0.20018027134927513,0.42392319293495645,-0.425413121896856,0.08353638258578594,0.0847360204245165,-0.006777348030542264,1.911700294720576e-08,-1.7770768991220306e-07,-0.0,-3.167864390190639e-08,1.8098780688341048e-08,1.7180518756715006e-07,-2.7387915210606934e-07,-3.882387890959523e-08,-7.37112507658582e-07,7.66278002921515e-08,2.0034597851570993e-08,-5.099222526864525e-09,9.015094060930174e-07,-3.7513562105772943e-07,1.1335735292525262e-07,-3.9561848513936024e-05,1.5874222502123025e-06,1.4555795200342373e-07,1.387244511647743e-07,-1.213475618519796e-05,-7.508707906042166e-09,1.5481456143972004e-06,1.2230628241092082e-06,-8.055735724769968e-08,9.432175462696771e-08,3.863708380760736e-23,4.833520855925036e-07,1.0503959584082623e-22,-4.587700142773217e-08,-0.006352156084735681,5.944895549990071e-09,-8.069640267479503e-09,1.6558660441000408e-07,1.2044078767568205e-07,-5.148168153412789e-08,2.5474478468488875e-08,2.3172381952863244e-07,1.2400107432500122e-07,-2.551935558548771e-07,2.1556208881570632e-07,-5.6085385642982064e-08,-1.526158919344073e-08,2.781988580986754e-07,5.971517461323029e-06,2.9928016363971695e-06,-6.261848997834877e-06,-6.204361569452809e-06,5.1091335880292664e-08,1.082945896954489e-06,-1.1084681655663456e-06,1.0466692695454073e-08,3.440816778597359e-07,8.732296447703484e-07,6.988245724198762e-10,-1.2872616242265014e-08,4.768845531938581e-07,6.876296147259743e-07,-1.3549833532438332e-07,-1.0289099965593224e-07,0.5730583296203728
2014-03-01,2014-09-01,0.0449539001628807,0.5501237683945511,0.2982346004287998,0.30208062851800715,0.2551965957692033,0.24032412664559596,99.99999999999999,-3.9282578740456113,3.1770180590537866,0.6688194543689532,-0.0876811076678585,0.1649038264479767,-0.42507276587453036,-0.19431465881596074,0.5122739797930597,0.7050379582616533,-0.11015805774929888,0.13150801953596505,0.13319626079746802,-0.0003136878124310024,8.57929186823605e-08,-2.6570987129456563e-07,1.0721472589013524e-07,0.0,1.740749056464612e-08,-8.269494746443496e-08,-3.086228663704891e-08,1.1096532699646918e-08,1.2532896223001772e-06,-2.701279282074465e-08,1.5256452192516394e-08,2.63052919087327e-07,-1.6103210931248787e-06,3.7282204610225156e-06,-1.9565259987079276e-07,3.17455467139137e-05,1.6222687168339591e-06,-1.1004695013963097e-06,1.8911145655410163e-07,1.0419669494153082e-05,-1.2881609364871828e-08,-8.123181154579758e-07,9.705267741072939e-07,-1.8542397110209657e-07,-1.0757269631405356e-07,4.806023723620218e-07,6.032270743853586e-23,4.646037187185427e-23,-5.102352275910276e-07,-0.004554795787311055,-4.481856454644435e-08,-1.3646004981180698e-08,6.439290903828665e-07,-6.824830162907158e-08,2.9124050470695133e-08,-8.372145518349381e-08,3.0616551825211845e-07,4.6030773051493635e-08,-2.7609206034544485e-07,-5.523515069412697e-07,-9.437471528061627e-08,5.966309747060488e-08,2.0619668368781033e-06,-1.8262416655105978e-06,3.964561360742442e-08,-3.0119759820248058e-05,-2.0185963001518588e-06,1.4558226546645752e-06,3.957574976919321e-07,6.520912528828134e-06,-1.9951224111495324e-08,5.075389571606809e-07,-9.110542567261435e-07,-2.391348637937615e-08,2.2224677029573995e-08,5.602646630896113e-07,7.340873716678921e-08,-1.7611006561458294e-07,-4.9965262217276863e-08,0.5495978044521813
2014-06-01,2014-12-01,-1.6078613415885457,0.5173012792832656,1.7289174533019873,1.7454299487590688,4.516316165150746,0.0014445147722454974,87.91753755694991,0.1818856457812883,0.3889979699197686,0.6949051084612747,-0.3289362236455595,0.7336450867903461,0.16495884181419315,0.3834177581424855,1.0844695986933401,1.3077083143839296,0.4749944471487133,0.646511503794499,0.6529677977490428,0.011803912015030093,2.2512236037937095e-09,4.813920229102689e-08,-2.8998019296180802e-08,-7.217826104443448e-08,5.908459372905378e-08,-1.8831835647137262e-07,3.9317429348409396e-08,-8.90424700916697e-08,-3.364841673149819e-07,1.1512269698402745e-07,2.4665582485859286e-09,1.5628022502547953e-08,6.372124451291077e-07,6.580791846036381e-06,1.323255481291919e-07,2.621250736842022e-06,-1.2982127919267043e-06,4.2978172687889583e-07,-2.4827075890615144e-06,-4.254103240289311e-06,-8.67321231725569e-09,3.418331334456276e-07,3.7632323952688707e-07,-1.6058678109677993e-08,-1.3303209887271245e-08,2.884179669138053e-23,-3.777779295294167e-08,1.515315139827589e-22,3.7338261426488084e-08,0.007402132609651936,-1.5644728978906863e-08,4.9576711977542765e-09,-2.220121890390104e-07,-7.832678396708739e-08,1.2214910391468176e-07,-2.380541196916459e-07,-6.380692716473308e-08,-6.055717471398031e-08,-7.373964787134309e-07,-3.229563250943326e-07,1.1454228972484358e-08,-4.0656263351869455e-08,-3.5957236980386974e-07,-5.126654178327473e-06,2.647716983989507e-06,3.303782215351267e-05,-5.628400316913468e-06,4.6900879975874234e-07,-3.900675187520764e-07,6.395484640454205e-06,3.813435530420564e-08,-2.8980356845008035e-06,-9.629242713156409e-07,4.75257030290925e-10,1.7175203550649059e-09,3.899572483239205e-07,3.6355891782934234e-07,2.505941564392727e-07,8.283041343895079e-08,0.5299206684792587
2014-09-01,2015-03-01,-1.801888355190684,0.612197946041003,1.9972517534722887,2.0136735923772093,5.827812669794487,0.0002942614797277754,50.50341440612685,1.660320390865508,-0.5530472632833506,0.6781721088026041,-0.8784672275139016,0.32857592310194184,-0.2535753618956659,-0.03821438829033684,0.6650337284228119,0.9007572595542749,0.02247695008144035,0.8899723420136064,0.8980687763360039,0.012890923831373571,-1.320212733382727e-07,1.3759837445126674e-08,-4.282753005664807e-07,3.750523618518577e-08,-9.847730647711056e-09,2.2142160379808262e-08,-3.6727868101904556e-08,2.225283928049055e-07,8.568048606720818e-07,-6.801016007849429e-08,4.3768402407993656e-08,4.855345089645082e-08,1.712388484424317e-07,3.7036116711050127e-06,-1.3790416302027457e-06,1.3150769079977261e-06,1.6395107322224903e-05,-2.9720032495493796e-07,-7.153564026616752e-07,-1.3882636101631116e-05,-1.0583063732018864e-08,3.5534618033929406e-07,3.295046790184223e-07,1.0943719959078229e-08,-1.775682763591593e-08,6.051378712970332e-07,-2.2170134186113895e-23,2.738105165033163e-23,2.9041899684830084e-07,0.021934881727203984,-4.585602936472462e-09,9.875933929317541e-09,2.922715930124783e-07,-8.604989099211859e-09,-1.3605452527939713e-07,-1.486908040944487e-07,2.4112260185516132e-08,-1.7759122570326235e-07,8.881334026972988e-07,-3.715137336376007e-07,-1.2854830084347632e-08,2.603878584132199e-07,-5.323090637472397e-07,-4.898916544325048e-07,-1.5395246452741284e-06,-2.135201929949593e-05,-7.753970190597541e-06,3.0473152699711663e-07,2.843901034370019e-06,-3.0661438958800186e-05,-6.627714964260675e-09,-1.3323996333857526e-06,-1.5232496807068328e-07,6.463593585967838e-09,7.496204193026455e-10,7.980053324672533e-09,1.9013122841276276e-07,3.0152613472256805e-07,-2.7641574295998103e-07,0.5350044765844285
2014-12-01,2015-06-01,-0.4775659968480283,0.558498920554197,0.6853240999691941,0.6895549946658557,1.0734305130716801,0.06647986586358079,99.99999999998329,1.1696980649194915,-0.248715485628507,0.6850043985522166,-1.042713669218287,-0.5246812105171743,-1.0935280751316439,-0.8789939162727219,-0.16893657018301697,0.039121097712901,-0.8039306707942728,0.8586878956554068,0.8663334543573146,0.0035271083620907746,-1.5489895889757863e-08,-3.754189045626288e-07,2.559032215412065e-08,1.279221157935599e-07,2.0971051208878038e-07,1.0869413056492496e-07,-3.7119374631892507e-07,-4.602575893752681e-07,-3.625193281334529e-07,-1.232941049914825e-06,4.0398839235909146e-08,-3.4090690603773196e-08,-9.179764828127314e-08,5.859593278320208e-08,-3.375790618570811e-07,-1.4794701657695759e-06,-1.4638232482740303e-06,3.7228294020758244e-07,9.932735351163488e-07,-2.9143653578600133e-06,-1.0228051413231635e-10,-1.3415607283628373e-07,1.055197198411023e-06,-1.4731674763326518e-07,-5.728812485209168e-09,1.1619813227668971e-22,-6.523450747832813e-07,9.834613156892842e-24,-4.317851132321546e-08,0.016071866644774235,6.676238494059265e-09,6.004963287432863e-09,2.4492431556015e-07,1.2094863332374346e-07,-7.871703054411265e-10,-1.8511335995546556e-07,-3.4925091160505116e-08,-1.0466108507430245e-07,1.2584886589174614e-07,6.27052607867059e-08,-4.877188875459193e-08,1.567218788465055e-07,-1.429167263465387e-08,1.9814086640642782e-06,6.000612446308976e-07,3.6978449794863724e-06,6.957024984457355e-06,-3.15095870363294e-07,-8.896466983944434e-07,-3.386113661327267e-05,7.77253512406901e-09,-2.852141151204557e-07,-1.0324309266787167e-06,-5.1879309170516676e-09,-2.4576245169972126e-08,-1.0385060403133589e-07,2.0096072773986339e-07,5.221212051238176e-08,1.3911846273406506e-07,0.5265114606995525
