Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_headline_9m_lag0,SHAP_Shap_PPI_lag0,SHAP_Shap_real_turnover_lag0,SHAP_Shap_retail_turnover_lag0,SHAP_Shap_Manufacturing_EU_lag0,SHAP_Shap_Vol_loans_lag0,SHAP_Shap_Exchange_Rate_CHF_lag0,SHAP_Shap_gdp_index_ch_lag0,SHAP_Shap_gdp_index_eu_lag0,SHAP_Shap_kofbarometer_lag0,SHAP_Shap_infl_e_next_year_lag0,SHAP_Shap_CH_2int_lag0,SHAP_Shap_Business_Confidence_EU_lag0,SHAP_Shap_M2_change_lag0,SHAP_Shap_fin_spread_lag0,SHAP_Shap_oilprices_lag0,SHAP_Shap_Saron_Rate_lag0,SHAP_Shap_unemployment_rate_lag0,SHAP_Shap_infl_e_current_year_lag0,SHAP_Shap_M3_change_lag0,SHAP_Shap_Wage_change_lag0,SHAP_Shap_M1_change_lag0,SHAP_Shap_EU_fin_spread_lag0,SHAP_Shap_variable_mortgages_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_target_headline_9m_lag1,SHAP_Shap_PPI_lag1,SHAP_Shap_real_turnover_lag1,SHAP_Shap_retail_turnover_lag1,SHAP_Shap_Manufacturing_EU_lag1,SHAP_Shap_Vol_loans_lag1,SHAP_Shap_Exchange_Rate_CHF_lag1,SHAP_Shap_gdp_index_ch_lag1,SHAP_Shap_gdp_index_eu_lag1,SHAP_Shap_kofbarometer_lag1,SHAP_Shap_infl_e_next_year_lag1,SHAP_Shap_CH_2int_lag1,SHAP_Shap_Business_Confidence_EU_lag1,SHAP_Shap_M2_change_lag1,SHAP_Shap_fin_spread_lag1,SHAP_Shap_oilprices_lag1,SHAP_Shap_Saron_Rate_lag1,SHAP_Shap_unemployment_rate_lag1,SHAP_Shap_infl_e_current_year_lag1,SHAP_Shap_M3_change_lag1,SHAP_Shap_Wage_change_lag1,SHAP_Shap_M1_change_lag1,SHAP_Shap_EU_fin_spread_lag1,SHAP_Shap_variable_mortgages_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2012-09-01,2013-06-01,-0.1279526276012355,0.30755617404623736,-0.9989851439011698,-0.4596905634032696,1.1032363492788084,1.5908328908602363,0.18966791631241786,0.2801399291609718,0.2799635628599892,99.99999999999999,0.6572957927859441,-0.20689417948031782,0.7863872947949575,0.28871337602182673,4.204815826320706e-08,1.6685208840007875e-08,-3.0972816647256474e-07,2.4643957617875927e-08,2.577483003701427e-08,9.260679497508841e-09,1.34237516198525e-07,2.664939657880938e-08,5.305765526069287e-08,-1.7173565104731303e-05,3.634563813841782e-07,-7.436030638950852e-08,5.343314063065549e-07,-3.7338303472847765e-06,8.392202417102014e-08,7.734995626060062e-06,8.810556568476155e-09,1.9663486790955124e-07,-6.591134271593108e-08,1.0211658440476598e-07,-4.6579664892874364e-07,-6.72298895596248e-07,4.086422067155408e-07,-2.838134666028595e-07,-3.745986401926419e-08,3.992572783371449e-08,-2.444636107570054e-07,3.950711605322027e-23,-6.800451929890023e-24,-7.967010253709166e-08,8.133533917748597e-07,-1.1743923900298109e-08,2.715996931199497e-08,-3.660142099062647e-08,3.945595806736942e-08,3.0631784642092005e-08,1.2213959458405777e-08,-2.2547994051492416e-08,-5.7280726948093836e-11,1.8422646264123916e-05,-4.831453163279943e-07,8.986516278678164e-08,-7.265088708860917e-07,-6.618983111015803e-07,4.9493128233989655e-08,-5.121348159300876e-05,-4.385950209131167e-08,5.586567173712797e-07,1.5059981712893226e-09,6.689399829492599e-07,-2.7608134889392923e-07,-4.4685358274925134e-07,6.64642863666207e-07,3.416519425602493e-06,-5.079629768635678e-09,2.6400343303417795e-08,2.2867121704079656e-07,-1.391839676136317e-07,-3.175099846787765e-07,-5.759426907453743e-08,0.5212442752805846,-0.2014809526596828
2012-12-01,2013-09-01,-0.0553795839522308,0.08677697462972206,-1.21774406462751,-0.6913242926035353,0.9074323207100785,1.3372922077429235,0.020208487147864197,0.20060609024514595,0.197594986122772,99.99999999999999,-2.016656183544785,1.6791632194949224,0.778598066732435,0.41956052864429016,1.1824881410346698e-07,4.604006571271588e-08,2.2378750308368993e-08,-1.3144285545596014e-07,-0.0,-3.8144885193202254e-08,4.4981106723664556e-09,7.43064484175139e-08,-1.9478111369194758e-08,-3.5032795498050805e-06,-1.383036267564642e-07,-5.628718760756232e-09,-3.5929295590601907e-06,-1.94680355486894e-06,2.233460431647299e-07,1.993911354491927e-05,1.1717842558365967e-09,2.4716159058382354e-06,8.54573907374162e-08,9.947998625629289e-08,4.5149346519858047e-07,-1.7435782367987584e-06,-9.04563059901535e-07,-5.4631209311510896e-06,-4.771096804280436e-08,-7.206567295974714e-08,3.047908187051237e-23,-2.479594015044352e-10,7.137299329939862e-23,1.2396456151350926e-07,1.0986023834439533e-07,-1.549012684828104e-08,-7.0611089028449805e-09,-7.059920544706771e-08,-1.3206744402418055e-07,1.7377684958726037e-08,-1.1112880040301326e-07,5.6156975354608186e-08,1.2642577916766301e-07,3.4947385040506243e-06,2.3362676026633824e-07,1.723155345128345e-08,-6.951121153555155e-07,-1.9836160844821564e-06,-7.999705182643647e-08,-6.279384995882747e-06,-5.6904463260845235e-09,-1.1895191187772329e-06,3.9016507620096445e-08,-1.695085465521887e-07,-3.580639056332164e-07,-2.907041972988038e-06,4.667016446332044e-07,-1.2696121749796376e-06,2.491166522722589e-08,-2.1767621684706807e-08,-9.962128037322933e-08,-3.818716662990147e-07,6.067920486891338e-08,7.272466715340792e-08,0.5018238781735413,-0.4189754471568108
2013-03-01,2013-12-01,0.0670906503184021,0.7385138055859262,-0.5851727313668093,-0.04987775871855101,1.5413881466168156,2.1010265691130545,0.4508090534293977,0.40446507421796546,0.40151363400396484,99.99999999999993,2.4257770200716244,-1.1838495769292203,0.790911675345742,0.1996573308694828,-1.3004057234988075e-06,-2.7902475003698775e-09,1.032358247702959e-07,-8.754236188683044e-08,2.784966584866964e-07,-2.3328409591688142e-08,-9.330320715771484e-08,-4.581162818893357e-08,8.427157577289912e-08,2.3409246176436126e-06,2.0074663506100423e-07,-6.712982011636763e-09,7.393109531809851e-08,-2.0594307324200007e-06,4.533289763945302e-07,3.7843553777268254e-05,-1.2129395305727518e-09,2.4933744272597327e-07,1.820035121138129e-09,-2.34381210198317e-06,-1.7979423181240936e-07,-3.116368321537922e-06,-3.486494210819965e-07,-1.1434615205740904e-07,-4.218745801869507e-08,-6.305651905642917e-08,-1.1310634133328015e-07,-7.296130925177429e-24,1.2241984032043672e-23,-9.50494440121949e-08,1.3638068259411244e-06,1.200775450146202e-07,-6.653490558817264e-09,-1.2836042001453668e-07,-8.73532492675486e-08,-6.703354000189382e-08,5.0066802238467704e-08,-2.0264851209801008e-07,2.1853762581074467e-08,-1.6065227846189333e-05,2.261033292439908e-07,-1.591783875111549e-08,-1.7795247563204075e-06,-9.852071862047841e-07,7.723297095001603e-08,1.508319915422853e-05,9.695874430637475e-09,1.0048679076400237e-06,-1.3584915287277345e-08,-7.914177153135219e-07,1.943205536245508e-07,-2.592684003371922e-06,2.7729718136672465e-08,-2.4262225342654457e-06,-4.4992455019669885e-08,-1.912735044076971e-08,2.6919680009827804e-07,-7.333000294314137e-08,-1.7090692239878267e-08,-1.06254928269086e-07,0.468843893751843,0.2506649681691009
2013-06-01,2014-03-01,0.0027728372861801,0.703629149564815,-0.6194112304311457,-0.10906118939683163,1.4971304512350234,1.978266287030367,0.49119957046080753,0.41852086600022503,0.41472289509536514,99.99999999982839,-0.8764876123845012,1.3869220310658743,0.7824664154950237,0.18910546527827005,3.3363267564875805e-08,-3.381195516708232e-08,-1.1693976912740806e-07,3.89131865498107e-07,5.433640508995559e-08,9.150447247222371e-10,3.6625300658281987e-08,-1.54050432091892e-08,-5.152783685874311e-08,1.654196638663363e-05,3.585788702260075e-07,-1.563207106929104e-08,2.388402401149504e-06,2.463108311586851e-07,-1.5069713929599933e-07,-2.3372543068734126e-05,1.703763092684487e-08,2.288495657059882e-07,-4.7424343914368614e-08,9.741164019630788e-07,-4.22388909564927e-07,-1.979066412317533e-06,-3.917250138614855e-08,-8.905505359653016e-07,1.4994516824201056e-08,-2.481784270715579e-09,2.264690264100507e-23,9.583773796550187e-08,-7.081503471672668e-23,2.440553273754901e-07,4.0679076674481145e-07,2.4159030250088e-08,7.811422636956468e-09,9.020448190250492e-09,8.404114501782227e-10,6.783297633590806e-08,7.739909656915031e-08,2.47185670538358e-08,-5.242892041011042e-09,4.147068525102973e-06,-8.111886999225382e-09,1.3204011094417936e-08,1.7469224564096225e-06,1.1190959305726068e-06,1.71278169336761e-08,-1.5390828218814975e-05,-7.141797797175575e-10,-1.539172677216047e-06,1.4634407637481495e-07,-2.6012841865808753e-06,3.981581637994417e-08,2.7038901709756034e-06,4.035265474341871e-07,3.153419165067829e-06,-1.9827707132807166e-08,4.4978186741754846e-08,-1.0611950394459626e-07,2.4545506679531986e-07,6.335016962594293e-08,5.6519720073565866e-08,0.44947456731628577,0.2418388040461572
2013-09-01,2014-06-01,0.0495813252518573,0.2693013815251734,-1.0191133289312255,-0.529361510024472,1.06150925285537,1.6290278120458181,0.0482769031287492,0.21484482886554804,0.21272281745898516,99.99999999999999,1.0249078917671395,-0.5535206039248912,0.8018389570092183,0.3919453161642623,3.5530277550282597e-06,2.240588236610051e-08,1.1379210293743318e-07,3.0627431109799546e-08,2.3152992594301608e-07,-1.91435695559691e-09,-3.796299945518794e-08,2.5017353274940295e-07,-3.905192487205438e-08,-8.828878015759041e-07,-2.9699273135389875e-07,5.762834823331655e-09,-2.455340526873326e-06,7.792544074906953e-07,3.243980499897925e-07,1.2859389903002354e-05,6.4974347501962435e-09,3.7587540234055067e-08,-9.604322029295173e-09,5.150230444622136e-07,-9.940963139237479e-08,-7.971510741621215e-07,4.272230867955335e-07,-3.2548412252754548e-06,6.999100383877214e-08,3.4766361511625795e-08,1.0780196696430329e-07,6.801527523226984e-23,1.2139574664698186e-22,2.888495838255712e-07,2.0356477381795066e-07,-5.076964256706637e-09,-6.189035190455901e-09,-1.0967728844662549e-07,-7.160160471970114e-09,1.4956088225956276e-07,5.18044726144661e-09,-1.725888395053928e-07,-2.114700308661802e-08,-2.0794565164420347e-06,-5.305942691971057e-07,1.0782593852826756e-08,1.0978904215816003e-06,6.537906305043179e-07,3.116198964270009e-07,-7.676108181828854e-06,5.467155609275471e-10,6.618474982495072e-07,1.9046704616373187e-08,1.7021207946655943e-06,-1.7278012789689156e-08,2.3663022972130367e-06,-1.7165833110262027e-06,1.6909939749707111e-06,-1.8804549429998427e-08,8.5633188197804e-09,2.9001786010151315e-08,-2.397045622841332e-07,-5.175065093639564e-08,-1.3940192353912314e-07,0.42909190410843256,-0.12890790901067817
2013-12-01,2014-09-01,-0.0876811076678585,0.1248872033829296,-1.1530273687151982,-0.6905430748008567,0.9308638421669184,1.3925860179121905,0.045185286862984606,0.21302371726471306,0.20565771886337583,99.99999999999999,1.3806940293660057,-0.9727394045269152,0.7852038560195843,0.39915475467845174,-1.1333189101649495e-06,-5.5546402916538554e-09,-2.1947654622144725e-08,0.0,8.956847285876855e-08,1.1490672489341257e-08,-8.361540007196656e-08,1.6025745750499572e-07,1.1262306515578165e-07,-1.8424305533774386e-05,-1.412535032848383e-07,-1.2266789200460722e-08,-8.883585076620937e-07,-1.1808597757027746e-09,-1.999606728619865e-07,1.4359944289906725e-05,-7.989115730313835e-09,-6.13927321345424e-08,3.183435864908684e-08,7.094001948329459e-07,4.875847162663764e-08,-2.747516337370974e-07,1.1040172872732053e-06,-4.074060444708285e-06,1.4873045510560542e-08,2.5483530120963087e-09,5.0092583826748545e-23,-3.20366610273243e-07,-4.8757686528793035e-23,9.65439835846439e-08,1.6217520324588267e-06,2.7079126559449215e-08,3.2881562512702806e-09,6.318769772586034e-08,1.1707093282132652e-08,-6.1242637142565e-08,-8.455946146951342e-08,1.084289159196836e-07,8.718683581044551e-08,1.2493274507779093e-05,1.0579069387599644e-07,2.462030298598698e-10,8.949383243134225e-07,-6.116583108528021e-07,8.848241800464434e-08,-1.7378012575185168e-05,-6.40955671072227e-10,2.1543759816028963e-07,-6.613795559256281e-09,-5.218706666759644e-07,-4.991718300120935e-07,-1.8732573775021525e-07,2.0792529693833048e-08,1.1658673220919278e-06,-3.3427481097962426e-09,-1.306100775034566e-08,-6.685250277091538e-08,2.17252266399183e-07,6.292294350422237e-08,-2.0027550526857902e-08,0.41250548965471917,-0.2965052128861778
2014-03-01,2014-12-01,-0.3289362236455595,0.6078431318873416,-0.6971704049723152,-0.18851995047970532,1.3376091544951922,1.89386416586624,0.8775555609526376,0.5760950700686968,0.5710492875519838,99.99999999999999,0.02066824309781615,0.5721855691826468,0.7646593843093978,0.11661707369398483,-1.1352505938240588e-08,1.236939680281114e-07,3.936759319601041e-07,-5.073145667689222e-07,0.0,2.4622984576945556e-08,2.0173180151598313e-07,-1.3788249875435336e-08,-1.9778344843508196e-08,1.07574149722089e-05,-1.9245690519441784e-07,1.7854768225289054e-08,-1.5932030521577285e-07,-1.835611563570455e-07,-3.116126105433263e-07,-1.4814399601988812e-05,-1.4469298355840278e-09,2.2630631989536783e-06,3.283738559972007e-08,-2.162367631323177e-07,3.610970225076307e-07,8.60762929269513e-07,-1.544432711019839e-06,2.140419561477775e-06,-5.744948751903686e-08,8.761974318042095e-08,1.0493275175265754e-07,-2.9612067479545584e-23,1.340944107957934e-23,1.2847921049520526e-07,-4.946301123915526e-07,-5.274710640321573e-09,-9.494210553484577e-09,-8.732211210592624e-08,-1.522971795197421e-07,-4.417407613645677e-07,-1.158750651339644e-07,-2.8981675886690964e-08,-1.0515494280370114e-07,-1.1513200847631573e-05,2.2514598788821764e-08,-7.827744936800309e-10,-2.02942952441265e-07,-1.1907695309086189e-07,3.029732790996365e-07,-9.012088281722953e-06,-2.531372524074741e-09,1.2964908596237694e-06,1.0807452315289819e-07,-2.9676757758985683e-07,-2.891295382832127e-07,-8.923145259154267e-07,-5.096747840720245e-07,-3.1495246144908944e-06,2.023731874569976e-08,-7.061536619723654e-08,-5.3156527149298354e-08,4.459555230099668e-08,4.0437725591060354e-08,-1.8453330064873796e-08,0.39328841591773106,0.18634715513687894
2014-06-01,2015-03-01,-0.8784672275139016,0.6637254964785873,-0.6066327790326715,-0.12902254491230503,1.4262421469306756,1.9664522697742768,2.378358397935373,1.124348984331067,1.1167674567818942,99.99999999999264,2.3081089994055723,-1.104593178705354,0.7606850496602818,0.0221552531160073,4.201780167967212e-06,1.7725259486009518e-10,2.702908482138862e-07,-4.421630805977479e-08,-9.824922820142153e-09,2.895931815683644e-08,3.8179837790256965e-07,4.1499965917126194e-08,9.1056768481152e-09,-1.8019259550901712e-06,-1.632170090369185e-08,-9.425124761036118e-10,-3.0147802751887294e-08,2.388614388190311e-07,3.4601268718927874e-07,3.0156609808532267e-05,-4.700318414085322e-09,2.514948728496343e-07,7.904442396122128e-08,5.767196012926306e-07,-1.0868572873216405e-07,-4.128851150198687e-07,-9.964635842086917e-08,-6.807697929725494e-06,-1.322298700167928e-08,-8.101480687317206e-09,7.438965621986585e-24,1.4990210225732426e-07,1.0124083591008986e-22,1.870374923866632e-07,1.0706953418133903e-07,-2.1816830488147594e-09,3.5661187825578315e-09,-2.1941728877447811e-07,-1.2722333051805071e-08,4.487663780633644e-08,3.939941845219698e-07,-3.1307163369456786e-08,-6.050208325849678e-08,-2.7267269607228126e-05,-1.1902543941288677e-07,-7.083944213436869e-09,-6.971196687686005e-07,-3.893059801157331e-09,3.7149013552687394e-07,4.695703796054745e-06,1.6187713562895553e-08,1.180203373932369e-06,1.3206305583499753e-07,7.94590396767225e-07,-1.0025410039755522e-07,-5.568830620077247e-07,1.1228499977309736e-06,-3.4132231696949044e-06,-7.078190802487686e-08,-1.3165699693092746e-08,-1.234547798976857e-08,2.3509836559793114e-08,-1.8466610253082355e-07,-3.508660154319991e-08,0.37665981159620116,0.28864729201183437
2014-09-01,2015-06-01,-1.042713669218287,0.10630322160749753,-1.1836169206270701,-0.6862835806569915,0.8420680517468757,1.3910910348431993,1.3202398154029529,0.7625556910178871,0.7554469796926265,99.99999999979858,-0.5201077548112519,0.5026071818090057,0.7678240946372942,0.07041565663592109,-4.6125925534137983e-07,-1.2768689647405855e-07,-9.560298708879877e-08,-3.199178636609602e-08,8.332568581373925e-09,-5.0479803047365343e-11,-1.916330807490567e-09,2.295574382478175e-07,3.682643171087745e-09,1.4844277867938423e-05,-6.349354265225967e-08,7.213544015836786e-09,1.1772061878430576e-06,5.221271778580445e-07,5.8486408950927655e-08,-2.2934091980465404e-05,3.760088254906634e-09,-5.5621563095012066e-08,2.048600230626582e-10,-2.9726257965132724e-07,2.0011805092831686e-07,-6.713795067178973e-07,-6.883286765693761e-07,-4.702552987041144e-06,1.348441815161611e-08,5.249394958855582e-10,5.037957670038107e-07,-1.3305996758336198e-23,-3.123110981190826e-23,2.0275778959256977e-07,1.1956350225106916e-06,-4.6941140045326094e-09,1.3957720193928231e-08,-1.2248876785427874e-07,-9.510970297068912e-09,5.1300790877474666e-08,1.687995126682277e-07,-3.2469989514288626e-08,-1.0313946637283924e-07,9.204415884862952e-06,-3.9140324297925143e-07,-1.0705089004354352e-08,1.293412920117859e-07,-5.519884939429826e-07,-4.8578686276833323e-08,8.01557175662948e-06,3.467900447424348e-09,3.9213202289331486e-07,-2.2975010384171714e-10,5.754478436956069e-07,-4.4550856404790485e-07,1.542680201468528e-06,1.222959730202941e-07,1.1746258131980023e-08,-4.505981593845731e-09,7.12319097389206e-10,-3.625016443748512e-07,1.558941039959745e-08,2.0504012133301625e-08,1.5213814187053474e-07,0.3566913934929442,-0.266170341930394
2014-12-01,2015-09-01,-1.4541319195251925,-0.19497637198872914,-1.4573215535604278,-0.9743644137914046,0.5825124025935156,1.0555128760855845,1.5854726928918508,0.8687686834422806,0.8620996013582887,99.99999999999997,-0.9331728300089468,0.518303428304216,0.7575579621197979,0.050848335565529895,3.075265845210946e-08,3.750212731908053e-09,2.755782923926037e-07,6.09745000607917e-08,9.706786812716873e-10,2.2082459371780564e-08,-2.3017190381911295e-08,-1.4390231368425522e-07,1.262568428466278e-08,-1.1834459108901433e-05,3.20375043437505e-07,9.101115288726263e-08,-5.944689984181936e-07,-1.8497016153582616e-07,-1.2459753173789797e-07,1.8025716712975353e-05,-7.123261439606421e-10,2.599389622724789e-06,-2.717467507725789e-08,1.4269808014715223e-09,3.1178758473798464e-07,-1.2661792304681934e-07,1.649624091524211e-07,1.7038231079911168e-06,1.4522249107083875e-09,-3.0786703670183755e-08,5.604560851395742e-23,-3.232910983967043e-07,1.609609865736984e-22,1.1283785275967643e-07,-2.1410786213712977e-06,3.854166283370182e-09,-2.0862334492745767e-09,2.9865736071171863e-08,4.362898926144515e-08,6.696743879999627e-10,7.640055856726369e-08,-2.548689547426642e-07,6.728440852173008e-09,-1.7874058390244126e-05,-3.434645600591331e-08,2.0069070056801892e-08,-3.0750631929061824e-07,1.3810178571543949e-07,5.3236752577959706e-08,7.232227427933316e-06,8.535774203878625e-09,-4.492831294332999e-07,-1.6175421811409385e-08,1.4329082507189886e-06,5.6680277057563434e-08,-5.486930934879668e-07,1.4946960374182215e-07,3.6095806574078495e-06,1.0193654276596631e-08,6.859279148219257e-09,1.9090245611378928e-07,2.787015423467031e-07,-2.1692075205115128e-07,9.332653041014168e-08,0.3485392506426884,-0.5377603288638788
