Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_core_9m_lag2,SHAP_Shap_PPI_lag2,SHAP_Shap_real_turnover_lag2,SHAP_Shap_retail_turnover_lag2,SHAP_Shap_Manufacturing_EU_lag2,SHAP_Shap_Vol_loans_lag2,SHAP_Shap_Exchange_Rate_CHF_lag2,SHAP_Shap_gdp_index_ch_lag2,SHAP_Shap_gdp_index_eu_lag2,SHAP_Shap_CH_2int_lag2,SHAP_Shap_infl_e_current_year_lag2,SHAP_Shap_infl_e_next_year_lag2,SHAP_Shap_M3_change_lag2,SHAP_Shap_M1_change_lag2,SHAP_Shap_Business_Confidence_EU_lag2,SHAP_Shap_unemployment_rate_lag2,SHAP_Shap_EU_fin_spread_lag2,SHAP_Shap_variable_mortgages_lag2,SHAP_Shap_Saron_Rate_lag2,SHAP_Shap_M2_change_lag2,SHAP_Shap_oilprices_lag2,SHAP_Shap_Wage_change_lag2,SHAP_Shap_fin_spread_lag2,SHAP_Shap_kofbarometer_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_target_core_9m_lag3,SHAP_Shap_PPI_lag3,SHAP_Shap_real_turnover_lag3,SHAP_Shap_retail_turnover_lag3,SHAP_Shap_Manufacturing_EU_lag3,SHAP_Shap_Vol_loans_lag3,SHAP_Shap_Exchange_Rate_CHF_lag3,SHAP_Shap_gdp_index_ch_lag3,SHAP_Shap_gdp_index_eu_lag3,SHAP_Shap_CH_2int_lag3,SHAP_Shap_infl_e_current_year_lag3,SHAP_Shap_infl_e_next_year_lag3,SHAP_Shap_M3_change_lag3,SHAP_Shap_M1_change_lag3,SHAP_Shap_Business_Confidence_EU_lag3,SHAP_Shap_unemployment_rate_lag3,SHAP_Shap_EU_fin_spread_lag3,SHAP_Shap_variable_mortgages_lag3,SHAP_Shap_Saron_Rate_lag3,SHAP_Shap_M2_change_lag3,SHAP_Shap_oilprices_lag3,SHAP_Shap_Wage_change_lag3,SHAP_Shap_fin_spread_lag3,SHAP_Shap_kofbarometer_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Constant
2012-09-01,2013-06-01,0.2905104651915735,0.3910615090059117,0.2863515496124822,0.2896600317090133,0.010110512412152963,0.46355930401963985,38.98941052603252,0.4828839356175299,-0.17912450562312127,1.192446487512705,-0.2379100909859488,-0.16249680812519524,-1.6254211712015916,-1.0784606650076383,0.7446290053015491,1.3179471626538115,-0.455792939879629,0.21262815397338247,0.21504365333953915,3.9436157896754625e-07,-4.3329290797295143e-05,-5.437642554230138e-06,1.4990929673271014e-05,1.9316951778216468e-05,2.0009957380595104e-06,4.1703086949779066e-05,5.630266997750089e-06,-4.095984375944667e-06,-0.0003617810879875069,-1.5879621200678613e-05,0.0003122020659032242,-0.0006280068434299726,-0.0005196266426668525,-0.0002386423106473203,-0.0034143798232028197,-0.003009789171442299,0.007996860959830043,3.721542429870257e-05,-0.00038315362466753304,-0.0010376491006429374,0.0003641003580457886,-5.813399140605371e-05,0.000946985802882259,4.2036298397844034e-05,1.5942731526133137e-05,2.835033110852967e-05,6.783605247295618e-05,-6.316024684013684e-05,5.872876420484752e-05,-0.00014184581255581694,-4.179055322036806e-07,3.0945408004577823e-06,3.277104117543364e-06,-7.864709973063575e-07,1.8410729062713953e-06,6.029624234988058e-06,-8.752594628684201e-06,-3.3441362756925797e-06,-8.143477072228088e-06,1.753260742021832e-06,-9.975885664912352e-05,-0.00026276902860608483,-0.00017463259483132165,-0.00010775096948259352,-0.0008963017882785469,-0.0013848460676129171,0.00469733131551299,1.0833572229274842e-05,-0.0002966097771045108,-0.0001596071846938611,-5.082531481071324e-05,-0.0001634067653749011,0.0008116834613492338,-1.1676327966549117e-06,-5.354346813116202e-06,-8.821165561176387e-21,7.720367779673173e-05,1.2951020855651327e-20,3.692145086501226e-05,0.42163607269894676
2012-12-01,2013-09-01,0.0342821109464116,0.39840050789183923,0.34027913175148994,0.34096486119808506,0.132582206994108,0.3774621648143077,99.99999999999999,0.2150701017406112,0.15541024329043684,1.24446887662288,-0.0686985256836081,0.2043902720254626,-1.2981803580906557,-0.7040825741352832,1.1597378983660918,1.7686248638524433,-0.09441010889341683,0.34761322149821194,0.35072219502723695,-6.862868850793385e-05,2.7580816631027015e-06,5.514959730282718e-06,5.3526326047091355e-06,-4.503862094693309e-08,1.6231042426022328e-05,1.1670111861199216e-06,-6.492419388455741e-06,-3.903553445924419e-05,-0.0002847862275400553,1.0518254572469577e-05,8.95563109239902e-05,-0.00079666899151921,-0.0003232912948431567,-0.0005628439066135053,-0.0008167328616376762,-0.0032252341162938582,0.014340914021403849,3.777310100038753e-05,-0.0005668094582122498,-0.0008352509299982055,0.00022561609779456595,-0.00015117152117572892,0.0014167762297220385,1.4831249057417144e-06,1.740999287887695e-06,-3.4211935264968175e-05,-5.406395500326903e-05,2.303555248842131e-05,-7.743120038368095e-05,5.992162856561334e-05,7.130413803679788e-07,-1.3588761251892685e-05,-2.2521382693046903e-06,-4.910811323004447e-06,-1.3387234880934892e-06,1.3804228931657247e-05,4.3829264990394265e-06,-2.0063353698190813e-05,-0.0002345664723937775,-1.1800114482144224e-05,3.705875183959307e-05,-0.000653056159693422,-0.00020473189885673228,-0.0002205167890034481,0.0006885830509011409,-0.001490060085116666,0.005672284295568549,-1.686274363064117e-05,-0.0004251222117640142,-6.474587333866831e-05,6.166456993564333e-05,8.251565920041517e-06,-0.0004923885936756634,1.5070427383014182e-05,6.1925449148085265e-06,-5.6942550197717625e-05,1.8688320665594694e-20,-2.5238419807838597e-20,-1.2287211046297112e-05,0.38039340667066973
2013-03-01,2013-12-01,-0.0538957711165484,0.37977936463046597,0.33739893138618565,0.3451623470753535,0.18807412336519136,0.3677735776680492,99.99999999974602,-2.4836936581994076,3.308223495508337,1.1858012058417127,-0.0163107733018641,0.3089455785083967,-1.2411156962721357,-0.6341775607835068,1.1662423930552916,1.7767591560712666,0.024111055035547224,0.22312140274921954,0.22472775123763047,0.00014294914654798302,-3.517644557473989e-05,-7.420414695416313e-06,-4.140118966644589e-06,3.752321818124781e-05,3.3218796717052553e-05,-1.5144961635505132e-06,5.126605373578039e-06,8.406335169983751e-06,-0.00030681967554932444,-4.856489528948841e-05,0.00042078625072634104,-0.0014326968407006712,-0.0003920103671792872,-0.0004680532701920468,-0.002328326627689644,-0.0025810339119313607,0.013234428957234928,5.803904802187606e-05,-0.0006405914371521567,-0.0009083166658325678,3.74576015293532e-05,-9.238381489681101e-05,0.0010902237544464634,1.2463503719618899e-05,2.36753787934815e-05,-8.285353153667259e-06,-0.00015937644951798309,5.207272590824409e-06,6.393397741753257e-05,7.823447186628027e-06,-6.103376004955681e-06,-1.0708226759955523e-06,-8.89449915723177e-06,0.0,8.806341235982722e-07,-1.7262281104617372e-07,4.5110329791725606e-05,-1.3496658846743461e-05,-6.520812950127861e-05,-3.608807891296775e-05,4.398258478275792e-05,-0.0002793864665020153,-0.00023324986904636296,-0.000541662374164924,-0.00013771869412478713,-0.001143746173135691,0.0060803488570789965,3.1506470668476774e-05,-0.00034631853453654017,-0.0005472756365800945,-6.745894873669672e-05,-3.77925372516055e-05,-0.0003682841132133829,1.360221131971061e-06,-9.279807544346584e-06,-7.377710992639865e-21,-8.213503513792367e-05,1.4709778815198785e-20,-3.559795134559367e-05,0.35171271433048484
2013-06-01,2014-03-01,-0.2879780802363285,0.37053564295371527,0.4252400015669874,0.4308981500922517,0.4336403236296136,0.3001648210325449,99.9999999998648,-1.9354327623521668,2.750822825671902,1.228536279782624,0.0721983425743033,0.5660836349668362,-1.0434462830395894,-0.3883627616538927,1.4851784846603524,2.05837060239176,0.28818190275154976,0.27366556520004776,0.27577005346946876,-0.00015815116956161392,7.57716409438864e-06,2.3746953225648588e-07,-5.645292308096602e-07,2.9919921315867502e-05,1.3139970715384056e-06,-9.125500000436023e-06,6.382067897942015e-07,-1.387997215200246e-05,4.6023718938785827e-05,2.6944048619157316e-05,0.00018128024998090316,-0.0010311140523308658,-0.000497569670546776,-0.0004074269622037448,-0.002581301188521777,-0.004039970043577513,0.011920852483775857,-3.132982276133844e-05,-0.0006487270814997538,-0.00048723454857162716,0.0002465089399244558,-4.471653071989738e-05,0.0022250959888611387,-1.6902160998522435e-06,-5.573095573441239e-06,4.355337482512281e-05,4.44778182303124e-05,1.3262570074103816e-05,-4.3562032225461354e-05,-1.5093506549280565e-05,-9.218767670333277e-06,3.420140367695987e-06,2.1359354708165667e-07,4.484749739297054e-06,9.899372955058389e-07,8.799405217162688e-06,5.633862824035971e-06,-2.6199461549093203e-05,3.8357703349509635e-05,-3.002879987672647e-05,-4.8015504153818614e-05,-0.0006582231822932614,-0.0002415199723493793,-8.381702165972742e-05,-0.0006105892983260715,-0.0014836160703971877,0.006186260442105936,-2.7407996840611792e-05,-0.00032711663779534005,-0.0007701844962828575,6.144968776608379e-05,-6.989149588488185e-05,0.0013284056184231497,1.2019977901210562e-06,1.5016297821643732e-05,8.840622816829241e-06,-2.9552551914317286e-21,-5.788346499207041e-21,-7.994638163211619e-05,0.32522323327883057
2013-09-01,2014-06-01,0.328500901999007,0.2983999269486455,0.2910357115232777,0.29981116614534353,0.0009060686989824869,0.49884597762308225,99.99999999999982,1.8053657657544246,-1.893562691344127,1.2297074197109894,-0.0402056980780329,-0.06278142936580416,-1.5493291624096002,-0.9782211392756927,0.9164803981966833,1.5530200057551329,-0.2865813745772883,0.23603900608334116,0.2446740964490262,5.081789077498397e-05,1.2014345955882101e-05,3.4980869106765014e-07,9.852045065913344e-07,-3.502139198053114e-06,2.0646208399662003e-06,3.512023268617724e-05,6.375423671550302e-05,-2.7436829504114583e-05,-1.9394391387212805e-05,1.3379791718091336e-05,0.0002589213032235951,-0.0008516126027865777,-0.00044447188276848607,-0.0007402954221775728,-0.000983889510959235,-0.003784133905967931,0.013733665611842008,7.300444543649577e-06,-0.0007516173563188478,-0.0007273114628012914,0.00022790473934319644,3.0185381698115575e-05,0.0020145210769827765,3.262951324777465e-05,-5.434952411451075e-06,-9.462867189375293e-06,0.00016418807318500014,-5.961207818107467e-07,9.06727380578044e-05,-7.370490501492675e-05,-9.285489792344486e-06,1.5512976643732343e-06,-1.3905695429481057e-05,-2.197315893141203e-06,9.992365282933305e-09,1.9881320371167217e-06,-3.6097913873966176e-06,-1.4866845943445159e-05,-6.178771970087435e-05,6.60746655151812e-06,3.0021520317101412e-05,-0.000753952120996187,-0.0002478250206146923,-0.0004874458166775421,0.0004494795867563661,-0.0014386205432728586,0.007494323159950854,-2.2321312787742957e-05,-0.00022889113202866844,-0.0004737009757731977,0.00010407448357010851,2.8692891385591122e-05,0.0009601629503854656,8.035378279233878e-07,-1.7040448520185316e-06,7.690736328393691e-22,-2.2046361090665925e-05,1.1189615240926318e-20,2.823837951801283e-05,0.3068999402391324
2013-12-01,2014-09-01,0.0534956352704322,0.31814478663099843,0.30900339807019567,0.31596393474101864,0.07003917331586788,0.4167062692831667,45.504642454651474,0.5674849060889988,-0.38298596847899613,1.2159023828895523,-0.0019006300588486,0.19658623346157594,-1.3181340742380352,-0.7192884401063772,1.1208329311979308,1.7248332366706771,-0.042022356511672854,0.28402992828774326,0.2866524104628352,-9.072870994916055e-05,-9.671500714158386e-06,4.51960506860722e-06,-5.232075991236695e-06,-2.349092970070209e-05,2.0025656764037388e-06,-4.096610199951664e-05,3.365661716664617e-05,-1.897571702381225e-05,1.0991105598299534e-05,-1.6782564019134346e-06,0.0003248186600183196,-0.0008631419473892658,-0.00028247982339219853,-8.326045151507523e-05,-0.0019116006380416283,-0.004822347119450597,0.01562785379995698,-1.8199982459417935e-06,-0.0005235064335578162,-0.0008892318726146641,9.737938240843785e-05,-7.077067853569757e-05,0.0017596140612923512,4.98887306326988e-06,-5.415245243132058e-06,-8.145986554897289e-06,-8.736521716706532e-05,-3.568720951057908e-06,-8.624881598829469e-05,9.379159918967324e-05,6.835771892070477e-07,1.7644325479614781e-06,1.2609609479463319e-06,1.085442656816926e-05,1.4952592330382802e-07,1.5879083732577897e-06,5.964940847970896e-05,1.9465365868119778e-05,1.4620736683682568e-05,-3.3640292791563817e-07,0.00013541681791553396,-0.0004858063706290785,-0.00017068553752449587,-0.0003464150451014873,-0.00024609775445648505,-0.001562059503666762,0.0056511263466995565,9.380538848114563e-06,-0.00017844657775305578,-0.00031277951074139173,0.0001300024884148065,-1.5582022710628277e-05,0.00034582842390722915,5.234553143820143e-06,6.632042521861799e-06,-3.26279953083603e-05,1.8165573423915638e-20,-1.060817478588593e-20,-4.661700353521193e-05,0.3022813542677732
2014-03-01,2014-12-01,0.1900581101072163,0.2814944825997301,0.28413048516900985,0.28898844855717176,0.008360610214589734,0.47066611024044946,99.99999999889125,2.58231828139433,-2.7755170582702915,1.1796651309745998,0.2551637534921269,0.3237410328615123,-1.1153824505337353,-0.552078524224304,1.2768354908812383,1.8585425210927353,0.11262017091171472,0.3531011695280912,0.3630080669626971,0.00021026274079679407,-7.108271852534e-07,-1.6776671886968142e-06,-1.746916647454453e-05,4.0709798302745754e-06,1.7587133042807802e-05,-1.6051191084172187e-06,2.881372980303823e-05,-1.432281143925843e-05,-0.00018983179078704352,-1.3592660947171e-05,0.0002335206255884869,-0.0005896524588884522,-0.00020728630748228702,-0.0002086794317220401,-0.0014506263799070865,-0.004694599337856229,0.018256062739322967,0.00012909656114694807,-0.00040571868264924676,-0.0009722985881054257,-2.8658857339317062e-05,8.303760011381943e-06,0.001311121219394148,1.8456824237645473e-05,1.6202080677801792e-05,-2.5523857778295946e-05,-0.00018153373450130122,4.04759045120178e-06,6.258353537294387e-05,1.6603038316911435e-05,1.6403694794730683e-06,9.335894813497341e-07,-0.0,-2.9016378127804573e-06,-1.8251800011963953e-06,-4.6840001726013415e-06,4.5483108871144086e-05,3.8629756818581985e-05,-5.268984547923643e-05,9.19147535090221e-06,3.8403824073118634e-05,-0.00021119912632524402,-4.455956545864785e-05,-5.7627316084897015e-05,-0.00012994551442535568,-0.0019213733411515017,0.0065809304740285885,-2.507208659305311e-05,-0.00014929293767665576,-0.0005132140315337802,1.3314033874497986e-05,-9.394014363167652e-05,0.00040702243742510937,-2.735188715490149e-06,1.496304731742794e-05,-3.3238432326528333e-21,-8.714127357114486e-05,3.2791252312279524e-20,1.053555542446858e-05,0.29360511667003003
2014-06-01,2015-03-01,-0.47235811033192,0.2970540624261237,0.4618095153582432,0.4724618996758229,0.5919950915882536,0.26544663130468216,99.99999999999999,0.11477839740952084,0.14045045257687092,1.1932577734214553,-0.1784907206497266,0.3985684089188062,-1.0897964861786538,-0.5340734165675297,1.2600414441686274,1.8715227190002364,0.17577786209921342,0.32646635321055,0.3347565224423016,-0.00013890935467378155,4.806784448472181e-07,3.411794676881137e-06,5.933815319974942e-06,9.169147251742993e-06,4.79292671321403e-06,1.4327199491990095e-05,1.192519809097306e-05,-5.54247277439829e-07,-8.419632736926545e-05,-2.0719283554133576e-05,0.00022149448619289354,-0.0006094183318605596,-0.00013166461057524797,-0.0001247194901156057,-0.0016707157255601136,-0.0038399278789266146,0.018305358570341216,-5.020902790900337e-07,-0.0003418622308384901,-0.001142062767737454,0.00015071581476216965,-6.859104507893228e-05,0.0015734805446506184,-2.9862530590790237e-06,-1.7534956285147452e-05,-9.612348077594363e-05,2.249695738276822e-05,8.917534715129133e-06,-4.258851101489997e-05,7.004959082019575e-05,-8.137597227490542e-06,2.076997806909966e-05,-6.9234241050249554e-06,-0.0,-4.14108804901025e-07,1.058169039291902e-08,-3.1434878931106344e-06,-2.5120652713714684e-06,-0.00010007295719481767,-9.700123875101549e-06,0.00010366287467214782,-0.00028169793480092707,-0.00010375748526569502,-6.432035491188454e-05,-0.00031508559451100005,-0.0017185030932036578,0.00731185560693466,-1.7981728027927406e-05,-0.00018824289583554426,-0.0005744368242726998,9.966067377647812e-05,-0.00017640415218018776,-9.361117963555367e-05,2.0778151563826437e-05,1.5013278532624758e-05,7.041584647050522e-05,-4.352111632442242e-21,-4.737150695453838e-21,-2.5568111032581014e-05,0.27718692092566843
2014-09-01,2015-06-01,-0.1516044914680492,0.2530654467850326,0.33102922039137345,0.3341378433595041,0.16375775892575306,0.3661400866111847,71.0683432427148,-1.1345966693951666,1.5845114918019028,1.169448325938859,-0.3619796751591408,-0.05847722146932946,-1.5207625049508626,-0.9320617539451409,0.8257646703778233,1.393610714612829,-0.24827630655810395,0.2207853908220911,0.22382291775114585,-2.8222547113559686e-05,3.7843746941793624e-05,4.337204041314585e-06,-2.352650717810913e-06,-4.132731801210374e-06,1.0921618185451363e-05,-1.7881696559604952e-05,2.8615046292834552e-05,2.4102940646304908e-05,-6.454723861700656e-05,0.00011988575622968713,0.00032454285774509656,-0.0004440183071172341,-0.000166661653087172,-0.00012795904852725638,-0.0012135817373181647,-0.0031325186841110668,0.01773284273886784,-8.214056207462203e-05,-0.00027772686683384234,-0.000853460793049254,0.00017979422160089016,-5.453509344214764e-05,0.0015896033541209639,3.333491499210073e-05,8.511817673514496e-06,-1.5954047992849332e-05,7.75831090871007e-05,-1.7005723390572616e-05,9.091604112013274e-05,-0.00013652643844020958,-7.91333587358862e-08,1.187817289124845e-05,-4.329776308708864e-06,-1.1223563768260157e-06,-3.238548730427478e-06,-7.3176075240793075e-06,-1.436465679137057e-05,4.767716338434424e-06,9.054195608738048e-07,1.6078209762834802e-05,0.0001885980978118165,-0.0003040742333075407,-9.232154274656656e-05,-5.71735639215607e-05,0.0007267217941940545,-0.0015149760042175548,0.00834098226249327,-1.7469731619443497e-05,-0.00010561071596197796,-0.0003921750408537097,-5.855855418550429e-06,-0.0001532347772128965,0.0004766258620370703,5.177848024435903e-07,-1.2020930226640164e-05,9.209427900599991e-21,1.30398036313929e-05,2.1499405883326175e-20,7.8041816190405e-06,0.27408613075555294
2014-12-01,2015-09-01,-1.168464811200683,0.2917375557187935,0.9322253952267023,0.9441698969449203,2.1321909523572415,0.10025341895909401,44.33904510871565,1.1659927585176224,-1.0375458532853732,1.139847845442509,-0.6613065813612096,0.4338451938283979,-1.0103829472156451,-0.3995937379364061,1.3336471788086506,1.9307839717853108,0.21504202703930275,0.7507873764465722,0.7606982515802878,-0.0002319129781699976,4.563317535233184e-06,-7.472511518022776e-07,-1.3858767176459546e-05,3.81424070243014e-05,-2.6907267444313625e-06,1.0227610963038268e-06,3.0627111395127616e-05,3.1873283873200924e-05,-2.5837074009691818e-05,1.882512612443943e-05,0.00019690523421887968,-0.0004560314621414227,-0.00012472078941200407,-0.00015267364389738106,-0.001759731489405557,-0.0022664628978359453,0.01823502665295563,2.375000365421298e-05,-0.0002683294304314876,-0.0019464829577370713,2.827620282260444e-05,0.00013858956146889755,0.002243788785508595,1.755958715063655e-07,-1.1462560822868008e-06,-2.0377547978858946e-05,-3.630642693331083e-05,4.003006486078043e-05,-8.187355409962346e-05,-5.000263338502955e-05,-9.742160566812363e-06,-1.2830275326379797e-05,2.367985097786069e-05,-1.5649836798002179e-06,2.900656858089778e-07,1.1397472302016861e-07,2.820300267822375e-05,1.7414747154496905e-05,3.918749466101625e-05,1.0022986247702929e-05,5.906330081527458e-05,-0.00015043255740722195,-6.94492051025423e-05,-8.886259698901491e-05,0.00036661723519702843,-0.001126312265063215,0.008931195226191884,6.548941432091023e-06,-8.411159512927703e-05,-1.4860160037059846e-05,-8.039313079504001e-06,2.758020268669256e-05,0.0008337714876070254,1.838599912522922e-06,1.1326119063628819e-05,-6.091648920517266e-05,1.7715686581146862e-20,-1.3574841089678942e-20,-1.6296512526533934e-05,0.2742432249031589
