Date,Target,Horizon,Factor_1,Factor_2,Factor_3
2012-09-01,Headline,3,"infl_e_next_year, M3_change, PPI, Business_Confidence_EU, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, unemployment_rate, PPI","Exchange_Rate_CHF, PPI, unemployment_rate, oilprices, M3_change"
2012-12-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, PPI, unemployment_rate","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2013-03-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, PPI, unemployment_rate","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2013-06-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, PPI, infl_e_next_year, unemployment_rate","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2013-09-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, PPI, infl_e_next_year, M3_change","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2013-12-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, PPI, infl_e_next_year, M3_change"
2014-03-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, PPI, infl_e_next_year, M3_change"
2014-06-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, PPI, infl_e_next_year, M3_change"
2014-09-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, PPI, infl_e_next_year, unemployment_rate"
2014-12-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, PPI, unemployment_rate","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2015-03-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, PPI, unemployment_rate","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2015-06-01,Headline,3,"infl_e_next_year, M3_change, Business_Confidence_EU, PPI, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, PPI, unemployment_rate","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2015-09-01,Headline,3,"infl_e_next_year, Business_Confidence_EU, PPI, M3_change, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, PPI, M3_change","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2015-12-01,Headline,3,"infl_e_next_year, PPI, Business_Confidence_EU, M3_change, unemployment_rate","oilprices, Business_Confidence_EU, infl_e_next_year, PPI, M3_change","PPI, Exchange_Rate_CHF, M3_change, unemployment_rate, infl_e_next_year"
2016-03-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, M3_change","oilprices, Business_Confidence_EU, infl_e_next_year, M3_change, unemployment_rate","M3_change, infl_e_next_year, PPI, Business_Confidence_EU, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, infl_e_next_year, M3_change, Business_Confidence_EU"
2016-06-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, M3_change","oilprices, M3_change, unemployment_rate, PPI, infl_e_next_year","M3_change, infl_e_next_year, Business_Confidence_EU, PPI, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, infl_e_next_year"
2016-09-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, unemployment_rate, PPI, Exchange_Rate_CHF","infl_e_next_year, Business_Confidence_EU, M3_change, unemployment_rate, oilprices","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2016-12-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, PPI, unemployment_rate, Exchange_Rate_CHF","Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices, M3_change","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2017-03-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, Business_Confidence_EU, infl_e_next_year, PPI","Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2017-06-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, Business_Confidence_EU, infl_e_next_year, PPI","unemployment_rate, Business_Confidence_EU, infl_e_next_year, oilprices, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2017-09-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, Business_Confidence_EU, infl_e_next_year, PPI","unemployment_rate, Business_Confidence_EU, infl_e_next_year, oilprices, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2017-12-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, oilprices, Business_Confidence_EU, infl_e_next_year, PPI","unemployment_rate, Business_Confidence_EU, infl_e_next_year, oilprices, PPI","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2018-03-01,Headline,3,"PPI, infl_e_next_year, Business_Confidence_EU, unemployment_rate, oilprices","M3_change, Business_Confidence_EU, oilprices, infl_e_next_year, PPI","unemployment_rate, Business_Confidence_EU, oilprices, infl_e_next_year, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2018-06-01,Headline,3,"PPI, Business_Confidence_EU, infl_e_next_year, unemployment_rate, oilprices","M3_change, Business_Confidence_EU, infl_e_next_year, oilprices, PPI","unemployment_rate, oilprices, Business_Confidence_EU, infl_e_next_year, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
2018-09-01,Headline,3,"PPI, Business_Confidence_EU, unemployment_rate, infl_e_next_year, oilprices","M3_change, infl_e_next_year, oilprices, Business_Confidence_EU, PPI","unemployment_rate, oilprices, Business_Confidence_EU, infl_e_next_year, Exchange_Rate_CHF","Exchange_Rate_CHF, unemployment_rate, PPI, oilprices, M3_change"
