Date,Target,Horizon,Factor,Variable,Weight
2012-09-01,Headline,3,Factor_1,M2_change,-0.343
2012-09-01,Headline,3,Factor_1,M1_change,-0.3277
2012-09-01,Headline,3,Factor_1,Saron_Rate,0.3237
2012-09-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2012-09-01,Headline,3,Factor_1,CH_2int,0.3163
2012-09-01,Headline,3,Factor_2,kofbarometer,0.3883
2012-09-01,Headline,3,Factor_2,Wage_change,-0.3416
2012-09-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2012-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2012-09-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2012-09-01,Headline,3,Factor_3,oilprices,-0.498
2012-09-01,Headline,3,Factor_3,variable_mortgages,0.4183
2012-09-01,Headline,3,Factor_3,fin_spread,0.3861
2012-09-01,Headline,3,Factor_3,kofbarometer,0.2611
2012-09-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2012-09-01,Headline,3,Factor_4,retail_turnover,-0.4373
2012-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2012-09-01,Headline,3,Factor_4,Wage_change,-0.3131
2012-09-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2012-09-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2012-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
2012-09-01,Headline,3,Factor_5,Vol_loans,-0.3831
2012-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3686
2012-09-01,Headline,3,Factor_5,oilprices,0.3335
2012-09-01,Headline,3,Factor_5,real_turnover,-0.3077
2012-12-01,Headline,3,Factor_1,M2_change,-0.343
2012-12-01,Headline,3,Factor_1,M1_change,-0.3277
2012-12-01,Headline,3,Factor_1,Saron_Rate,0.3237
2012-12-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2012-12-01,Headline,3,Factor_1,CH_2int,0.3163
2012-12-01,Headline,3,Factor_2,kofbarometer,0.3883
2012-12-01,Headline,3,Factor_2,Wage_change,-0.3416
2012-12-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2012-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2012-12-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2012-12-01,Headline,3,Factor_3,oilprices,-0.498
2012-12-01,Headline,3,Factor_3,variable_mortgages,0.4183
2012-12-01,Headline,3,Factor_3,fin_spread,0.3861
2012-12-01,Headline,3,Factor_3,kofbarometer,0.2611
2012-12-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2012-12-01,Headline,3,Factor_4,retail_turnover,-0.4373
2012-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2012-12-01,Headline,3,Factor_4,Wage_change,-0.3131
2012-12-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2012-12-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2012-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
2012-12-01,Headline,3,Factor_5,Vol_loans,-0.3831
2012-12-01,Headline,3,Factor_5,Manufacturing_EU,0.3686
2012-12-01,Headline,3,Factor_5,oilprices,0.3335
2012-12-01,Headline,3,Factor_5,real_turnover,-0.3077
2013-03-01,Headline,3,Factor_1,M2_change,-0.343
2013-03-01,Headline,3,Factor_1,M1_change,-0.3277
2013-03-01,Headline,3,Factor_1,Saron_Rate,0.3237
2013-03-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2013-03-01,Headline,3,Factor_1,CH_2int,0.3163
2013-03-01,Headline,3,Factor_2,kofbarometer,0.3883
2013-03-01,Headline,3,Factor_2,Wage_change,-0.3416
2013-03-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2013-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2013-03-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2013-03-01,Headline,3,Factor_3,oilprices,-0.498
2013-03-01,Headline,3,Factor_3,variable_mortgages,0.4183
2013-03-01,Headline,3,Factor_3,fin_spread,0.3861
2013-03-01,Headline,3,Factor_3,kofbarometer,0.2611
2013-03-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2013-03-01,Headline,3,Factor_4,retail_turnover,-0.4373
2013-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2013-03-01,Headline,3,Factor_4,Wage_change,-0.3131
2013-03-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2013-03-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2013-03-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
