Date,Target,Horizon,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
2012-09-01,Headline,3,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, variable_mortgages, fin_spread, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, Saron_Rate, infl_e_next_year","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, oilprices, real_turnover"
2012-09-01,Headline,3,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, variable_mortgages, fin_spread, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, Saron_Rate, infl_e_next_year","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, oilprices, real_turnover"
2012-12-01,Headline,3,"M2_change, M1_change, Saron_Rate, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, Manufacturing_EU, kofbarometer","retail_turnover, Exchange_Rate_CHF, Wage_change, Saron_Rate, infl_e_current_year","Exchange_Rate_CHF, Vol_loans, real_turnover, oilprices, Manufacturing_EU"
2013-03-01,Headline,3,"M2_change, Saron_Rate, M1_change, EU_fin_spread, CH_2int","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, infl_e_current_year, Saron_Rate","Exchange_Rate_CHF, Vol_loans, real_turnover, Manufacturing_EU, unemployment_rate"
2013-06-01,Headline,3,"M2_change, Saron_Rate, M1_change, CH_2int, EU_fin_spread","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","oilprices, fin_spread, variable_mortgages, kofbarometer, unemployment_rate","retail_turnover, Exchange_Rate_CHF, Wage_change, Manufacturing_EU, Saron_Rate","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, real_turnover, unemployment_rate"
2013-09-01,Headline,3,"M2_change, Saron_Rate, CH_2int, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, Wage_change, real_turnover, Saron_Rate","Exchange_Rate_CHF, Vol_loans, Manufacturing_EU, unemployment_rate, real_turnover"
2013-12-01,Headline,3,"M2_change, Saron_Rate, CH_2int, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, real_turnover, Wage_change, PPI","Vol_loans, Exchange_Rate_CHF, Manufacturing_EU, unemployment_rate, infl_e_current_year"
2014-03-01,Headline,3,"Saron_Rate, M2_change, CH_2int, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, gdp_index_eu","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","retail_turnover, Exchange_Rate_CHF, real_turnover, PPI, Wage_change","Vol_loans, Exchange_Rate_CHF, Manufacturing_EU, unemployment_rate, infl_e_current_year"
2014-06-01,Headline,3,"Saron_Rate, CH_2int, M2_change, EU_fin_spread, M1_change","kofbarometer, Wage_change, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Wage_change","Vol_loans, Manufacturing_EU, Exchange_Rate_CHF, unemployment_rate, infl_e_current_year"
2014-09-01,Headline,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, kofbarometer, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Wage_change","Vol_loans, Manufacturing_EU, Exchange_Rate_CHF, unemployment_rate, infl_e_current_year"
2014-12-01,Headline,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, kofbarometer, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Saron_Rate","Vol_loans, Manufacturing_EU, Exchange_Rate_CHF, unemployment_rate, infl_e_current_year"
2015-03-01,Headline,3,"Saron_Rate, CH_2int, EU_fin_spread, M2_change, M1_change","Wage_change, kofbarometer, gdp_index_ch, Business_Confidence_EU, oilprices","fin_spread, oilprices, unemployment_rate, kofbarometer, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, PPI, Saron_Rate","Vol_loans, Manufacturing_EU, unemployment_rate, retail_turnover, Wage_change"
2015-06-01,Headline,3,"Saron_Rate, EU_fin_spread, CH_2int, M2_change, M1_change","Wage_change, gdp_index_ch, Business_Confidence_EU, kofbarometer, oilprices","fin_spread, oilprices, kofbarometer, unemployment_rate, Manufacturing_EU","Exchange_Rate_CHF, retail_turnover, real_turnover, Saron_Rate, Wage_change","Vol_loans, Manufacturing_EU, unemployment_rate, Exchange_Rate_CHF, infl_e_current_year"
2015-09-01,Headline,3,"Saron_Rate, M2_change, EU_fin_spread, CH_2int, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, kofbarometer, oilprices","fin_spread, kofbarometer, unemployment_rate, Manufacturing_EU, oilprices","Exchange_Rate_CHF, retail_turnover, real_turnover, oilprices, Wage_change","Vol_loans, Manufacturing_EU, unemployment_rate, Exchange_Rate_CHF, oilprices"
2015-12-01,Headline,3,"Saron_Rate, EU_fin_spread, CH_2int, M2_change, M1_change","Wage_change, Business_Confidence_EU, gdp_index_ch, kofbarometer, gdp_index_eu","fin_spread, kofbarometer, unemployment_rate, Manufacturing_EU, PPI","oilprices, Exchange_Rate_CHF, M3_change, retail_turnover, real_turnover","Exchange_Rate_CHF, PPI, oilprices, retail_turnover, Vol_loans"
