Date,Target,Horizon,Factor,Variable,Weight
2012-09-01,Core,3,Factor_1,M2_change,-0.3381
2012-09-01,Core,3,Factor_1,M1_change,-0.327
2012-09-01,Core,3,Factor_1,Saron_Rate,0.3166
2012-09-01,Core,3,Factor_1,CH_2int,0.3075
2012-09-01,Core,3,Factor_1,EU_fin_spread,-0.3056
2012-09-01,Core,3,Factor_2,kofbarometer,0.4708
2012-09-01,Core,3,Factor_2,infl_e_current_year,-0.3531
2012-09-01,Core,3,Factor_2,gdp_index_eu,0.3212
2012-09-01,Core,3,Factor_2,gdp_index_ch,0.3083
2012-09-01,Core,3,Factor_2,unemployment_rate,0.2887
2012-09-01,Core,3,Factor_3,oilprices,-0.5516
2012-09-01,Core,3,Factor_3,variable_mortgages,0.4804
2012-09-01,Core,3,Factor_3,fin_spread,0.4775
2012-09-01,Core,3,Factor_3,unemployment_rate,0.2413
2012-09-01,Core,3,Factor_3,infl_e_next_year,0.2175
2012-09-01,Core,3,Factor_4,Wage_change,-0.4557
2012-09-01,Core,3,Factor_4,retail_turnover,-0.3788
2012-09-01,Core,3,Factor_4,Manufacturing_EU,-0.317
2012-09-01,Core,3,Factor_4,Saron_Rate,-0.2912
2012-09-01,Core,3,Factor_4,infl_e_current_year,0.255
2012-09-01,Core,3,Factor_5,Exchange_Rate_CHF,0.5623
2012-09-01,Core,3,Factor_5,Vol_loans,-0.4353
2012-09-01,Core,3,Factor_5,PPI,0.308
2012-09-01,Core,3,Factor_5,unemployment_rate,-0.281
2012-09-01,Core,3,Factor_5,Wage_change,0.2415
2012-09-01,Headline,3,Factor_1,M2_change,-0.343
2012-09-01,Headline,3,Factor_1,M1_change,-0.3277
2012-09-01,Headline,3,Factor_1,Saron_Rate,0.3237
2012-09-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2012-09-01,Headline,3,Factor_1,CH_2int,0.3163
2012-09-01,Headline,3,Factor_2,kofbarometer,0.3883
2012-09-01,Headline,3,Factor_2,Wage_change,-0.3416
2012-09-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2012-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2012-09-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2012-09-01,Headline,3,Factor_3,oilprices,-0.498
2012-09-01,Headline,3,Factor_3,variable_mortgages,0.4183
2012-09-01,Headline,3,Factor_3,fin_spread,0.3861
2012-09-01,Headline,3,Factor_3,kofbarometer,0.2611
2012-09-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2012-09-01,Headline,3,Factor_4,retail_turnover,-0.4373
2012-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2012-09-01,Headline,3,Factor_4,Wage_change,-0.3131
2012-09-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2012-09-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2012-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
2012-09-01,Headline,3,Factor_5,Vol_loans,-0.3831
2012-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3686
2012-09-01,Headline,3,Factor_5,oilprices,0.3335
2012-09-01,Headline,3,Factor_5,real_turnover,-0.3077
2012-12-01,Headline,3,Factor_1,M2_change,-0.3437
2012-12-01,Headline,3,Factor_1,M1_change,-0.3284
2012-12-01,Headline,3,Factor_1,Saron_Rate,0.3256
2012-12-01,Headline,3,Factor_1,EU_fin_spread,-0.319
2012-12-01,Headline,3,Factor_1,CH_2int,0.3172
2012-12-01,Headline,3,Factor_2,kofbarometer,0.3847
2012-12-01,Headline,3,Factor_2,Wage_change,-0.3444
2012-12-01,Headline,3,Factor_2,gdp_index_ch,0.3352
2012-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3197
2012-12-01,Headline,3,Factor_2,gdp_index_eu,0.2915
2012-12-01,Headline,3,Factor_3,oilprices,-0.5092
2012-12-01,Headline,3,Factor_3,fin_spread,0.4343
2012-12-01,Headline,3,Factor_3,variable_mortgages,0.3798
2012-12-01,Headline,3,Factor_3,Manufacturing_EU,0.278
2012-12-01,Headline,3,Factor_3,kofbarometer,0.2674
2012-12-01,Headline,3,Factor_4,retail_turnover,-0.4452
2012-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3974
2012-12-01,Headline,3,Factor_4,Wage_change,-0.3359
2012-12-01,Headline,3,Factor_4,Saron_Rate,-0.277
2012-12-01,Headline,3,Factor_4,infl_e_current_year,0.2654
2012-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5129
2012-12-01,Headline,3,Factor_5,Vol_loans,-0.4359
2012-12-01,Headline,3,Factor_5,real_turnover,-0.2965
2012-12-01,Headline,3,Factor_5,oilprices,0.292
2012-12-01,Headline,3,Factor_5,Manufacturing_EU,0.2761
2013-03-01,Headline,3,Factor_1,M2_change,-0.3421
2013-03-01,Headline,3,Factor_1,Saron_Rate,0.3268
2013-03-01,Headline,3,Factor_1,M1_change,-0.3265
2013-03-01,Headline,3,Factor_1,EU_fin_spread,-0.3196
2013-03-01,Headline,3,Factor_1,CH_2int,0.3194
2013-03-01,Headline,3,Factor_2,kofbarometer,0.3814
2013-03-01,Headline,3,Factor_2,Wage_change,-0.3474
2013-03-01,Headline,3,Factor_2,gdp_index_ch,0.3366
2013-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.318
2013-03-01,Headline,3,Factor_2,gdp_index_eu,0.2867
2013-03-01,Headline,3,Factor_3,oilprices,-0.5097
2013-03-01,Headline,3,Factor_3,fin_spread,0.4739
2013-03-01,Headline,3,Factor_3,variable_mortgages,0.3382
2013-03-01,Headline,3,Factor_3,kofbarometer,0.2657
2013-03-01,Headline,3,Factor_3,Manufacturing_EU,0.263
2013-03-01,Headline,3,Factor_4,retail_turnover,-0.4423
2013-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3553
2013-03-01,Headline,3,Factor_4,Wage_change,-0.3453
2013-03-01,Headline,3,Factor_4,infl_e_current_year,0.2777
2013-03-01,Headline,3,Factor_4,Saron_Rate,-0.2731
2013-03-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5505
2013-03-01,Headline,3,Factor_5,Vol_loans,-0.4316
2013-03-01,Headline,3,Factor_5,real_turnover,-0.2952
2013-03-01,Headline,3,Factor_5,Manufacturing_EU,0.2805
2013-03-01,Headline,3,Factor_5,unemployment_rate,-0.2677
2013-06-01,Headline,3,Factor_1,M2_change,-0.3394
2013-06-01,Headline,3,Factor_1,Saron_Rate,0.3286
2013-06-01,Headline,3,Factor_1,M1_change,-0.3231
2013-06-01,Headline,3,Factor_1,CH_2int,0.3225
2013-06-01,Headline,3,Factor_1,EU_fin_spread,-0.3206
2013-06-01,Headline,3,Factor_2,kofbarometer,0.3732
2013-06-01,Headline,3,Factor_2,Wage_change,-0.3489
2013-06-01,Headline,3,Factor_2,gdp_index_ch,0.3392
2013-06-01,Headline,3,Factor_2,Business_Confidence_EU,0.3161
2013-06-01,Headline,3,Factor_2,gdp_index_eu,0.2787
2013-06-01,Headline,3,Factor_3,oilprices,-0.5016
2013-06-01,Headline,3,Factor_3,fin_spread,0.4934
2013-06-01,Headline,3,Factor_3,variable_mortgages,0.301
2013-06-01,Headline,3,Factor_3,kofbarometer,0.2767
2013-06-01,Headline,3,Factor_3,unemployment_rate,0.2586
2013-06-01,Headline,3,Factor_4,retail_turnover,-0.4774
2013-06-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3816
2013-06-01,Headline,3,Factor_4,Wage_change,-0.3174
2013-06-01,Headline,3,Factor_4,Manufacturing_EU,-0.2714
2013-06-01,Headline,3,Factor_4,Saron_Rate,-0.2641
2013-06-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5307
2013-06-01,Headline,3,Factor_5,Vol_loans,-0.4283
2013-06-01,Headline,3,Factor_5,Manufacturing_EU,0.2969
2013-06-01,Headline,3,Factor_5,real_turnover,-0.2908
2013-06-01,Headline,3,Factor_5,unemployment_rate,-0.2769
2013-09-01,Headline,3,Factor_1,M2_change,-0.3351
2013-09-01,Headline,3,Factor_1,Saron_Rate,0.3293
2013-09-01,Headline,3,Factor_1,CH_2int,0.3253
2013-09-01,Headline,3,Factor_1,EU_fin_spread,-0.3213
2013-09-01,Headline,3,Factor_1,M1_change,-0.3187
2013-09-01,Headline,3,Factor_2,kofbarometer,0.3679
2013-09-01,Headline,3,Factor_2,Wage_change,-0.3507
2013-09-01,Headline,3,Factor_2,gdp_index_ch,0.341
2013-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3189
2013-09-01,Headline,3,Factor_2,gdp_index_eu,0.2719
2013-09-01,Headline,3,Factor_3,fin_spread,0.5029
2013-09-01,Headline,3,Factor_3,oilprices,-0.481
2013-09-01,Headline,3,Factor_3,unemployment_rate,0.2869
2013-09-01,Headline,3,Factor_3,kofbarometer,0.2835
2013-09-01,Headline,3,Factor_3,Manufacturing_EU,0.2727
2013-09-01,Headline,3,Factor_4,retail_turnover,-0.5095
2013-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4406
2013-09-01,Headline,3,Factor_4,Wage_change,-0.2804
2013-09-01,Headline,3,Factor_4,real_turnover,-0.2629
2013-09-01,Headline,3,Factor_4,Saron_Rate,-0.2492
2013-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.48
2013-09-01,Headline,3,Factor_5,Vol_loans,-0.4729
2013-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3194
2013-09-01,Headline,3,Factor_5,unemployment_rate,-0.2884
2013-09-01,Headline,3,Factor_5,real_turnover,-0.2635
2013-12-01,Headline,3,Factor_1,M2_change,-0.3325
2013-12-01,Headline,3,Factor_1,Saron_Rate,0.3305
2013-12-01,Headline,3,Factor_1,CH_2int,0.3268
2013-12-01,Headline,3,Factor_1,EU_fin_spread,-0.3224
2013-12-01,Headline,3,Factor_1,M1_change,-0.3157
2013-12-01,Headline,3,Factor_2,kofbarometer,0.3628
2013-12-01,Headline,3,Factor_2,Wage_change,-0.3508
2013-12-01,Headline,3,Factor_2,gdp_index_ch,0.3447
