Date,Target,Horizon,Factor,Variable,Weight
2012-05-01,Headline,3,Factor_1,M2_change,-0.3429
2012-05-01,Headline,3,Factor_1,M1_change,-0.3278
2012-05-01,Headline,3,Factor_1,Saron_Rate,0.3233
2012-05-01,Headline,3,Factor_1,CH_2int,0.316
2012-05-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2012-05-01,Headline,3,Factor_2,kofbarometer,0.3901
2012-05-01,Headline,3,Factor_2,Wage_change,-0.3404
2012-05-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2012-05-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2012-05-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2012-05-01,Headline,3,Factor_3,oilprices,-0.4921
2012-05-01,Headline,3,Factor_3,variable_mortgages,0.4256
2012-05-01,Headline,3,Factor_3,fin_spread,0.3701
2012-05-01,Headline,3,Factor_3,kofbarometer,0.2557
2012-05-01,Headline,3,Factor_3,Vol_loans,-0.2523
2012-05-01,Headline,3,Factor_4,retail_turnover,-0.4343
2012-05-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2012-05-01,Headline,3,Factor_4,Wage_change,-0.3197
2012-05-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2012-05-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2012-05-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2012-05-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2012-05-01,Headline,3,Factor_5,Vol_loans,-0.3772
2012-05-01,Headline,3,Factor_5,oilprices,0.3445
2012-05-01,Headline,3,Factor_5,real_turnover,-0.3016
2012-09-01,Headline,3,Factor_1,M2_change,-0.3429
2012-09-01,Headline,3,Factor_1,M1_change,-0.3278
2012-09-01,Headline,3,Factor_1,Saron_Rate,0.3233
2012-09-01,Headline,3,Factor_1,CH_2int,0.316
2012-09-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2012-09-01,Headline,3,Factor_2,kofbarometer,0.3901
2012-09-01,Headline,3,Factor_2,Wage_change,-0.3404
2012-09-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2012-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2012-09-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2012-09-01,Headline,3,Factor_3,oilprices,-0.4921
2012-09-01,Headline,3,Factor_3,variable_mortgages,0.4256
2012-09-01,Headline,3,Factor_3,fin_spread,0.3701
2012-09-01,Headline,3,Factor_3,kofbarometer,0.2557
2012-09-01,Headline,3,Factor_3,Vol_loans,-0.2523
2012-09-01,Headline,3,Factor_4,retail_turnover,-0.4343
2012-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2012-09-01,Headline,3,Factor_4,Wage_change,-0.3197
2012-09-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2012-09-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2012-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2012-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2012-09-01,Headline,3,Factor_5,Vol_loans,-0.3772
2012-09-01,Headline,3,Factor_5,oilprices,0.3445
2012-09-01,Headline,3,Factor_5,real_turnover,-0.3016
2012-12-01,Headline,3,Factor_1,M2_change,-0.3429
2012-12-01,Headline,3,Factor_1,M1_change,-0.3278
2012-12-01,Headline,3,Factor_1,Saron_Rate,0.3233
2012-12-01,Headline,3,Factor_1,CH_2int,0.316
2012-12-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2012-12-01,Headline,3,Factor_2,kofbarometer,0.3901
2012-12-01,Headline,3,Factor_2,Wage_change,-0.3404
2012-12-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2012-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2012-12-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2012-12-01,Headline,3,Factor_3,oilprices,-0.4921
2012-12-01,Headline,3,Factor_3,variable_mortgages,0.4256
2012-12-01,Headline,3,Factor_3,fin_spread,0.3701
2012-12-01,Headline,3,Factor_3,kofbarometer,0.2557
2012-12-01,Headline,3,Factor_3,Vol_loans,-0.2523
2012-12-01,Headline,3,Factor_4,retail_turnover,-0.4343
2012-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2012-12-01,Headline,3,Factor_4,Wage_change,-0.3197
2012-12-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2012-12-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2012-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2012-12-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2012-12-01,Headline,3,Factor_5,Vol_loans,-0.3772
2012-12-01,Headline,3,Factor_5,oilprices,0.3445
2012-12-01,Headline,3,Factor_5,real_turnover,-0.3016
2013-03-01,Headline,3,Factor_1,M2_change,-0.3429
2013-03-01,Headline,3,Factor_1,M1_change,-0.3278
2013-03-01,Headline,3,Factor_1,Saron_Rate,0.3233
2013-03-01,Headline,3,Factor_1,CH_2int,0.316
2013-03-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2013-03-01,Headline,3,Factor_2,kofbarometer,0.3901
2013-03-01,Headline,3,Factor_2,Wage_change,-0.3404
2013-03-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2013-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2013-03-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2013-03-01,Headline,3,Factor_3,oilprices,-0.4921
2013-03-01,Headline,3,Factor_3,variable_mortgages,0.4256
2013-03-01,Headline,3,Factor_3,fin_spread,0.3701
2013-03-01,Headline,3,Factor_3,kofbarometer,0.2557
2013-03-01,Headline,3,Factor_3,Vol_loans,-0.2523
2013-03-01,Headline,3,Factor_4,retail_turnover,-0.4343
2013-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2013-03-01,Headline,3,Factor_4,Wage_change,-0.3197
2013-03-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2013-03-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2013-03-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2013-03-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
