Feature,MeanAbsSHAP,MeanSHAP,Model,Target,Horizon
cos_cycle_2,0.14206627794210808,0.03056622584909312,QRF_Default_Lin_Feat_PCA,Core,3
Linear_Pred,0.12280512670164559,-0.017602360356739854,QRF_Default_Lin_Feat_PCA,Core,3
Constant,0.0608500831143254,0.060431892107984594,QRF_Default_Lin_Feat_PCA,Core,3
cos_cycle_1,0.03660439905561651,-0.031236452185178364,QRF_Default_Lin_Feat_PCA,Core,3
sin_cycle_2,0.03427207673195898,-0.007591233035967498,QRF_Default_Lin_Feat_PCA,Core,3
sin_cycle_1,0.028037587821902223,0.02531736188438694,QRF_Default_Lin_Feat_PCA,Core,3
oilprices,0.016761039719278854,0.015064439045985865,QRF_Default_Lin_Feat_PCA,Core,3
variable_mortgages,0.014624227737642007,-0.01350838725394389,QRF_Default_Lin_Feat_PCA,Core,3
core_1m,0.014026842641075912,-0.0025234184162192526,QRF_Default_Lin_Feat_PCA,Core,3
fin_spread,0.013498480347845034,-0.012468535306592723,QRF_Default_Lin_Feat_PCA,Core,3
M2_change,0.010523241380818046,-0.0023569736198703105,QRF_Default_Lin_Feat_PCA,Core,3
kofbarometer,0.010390260651813905,-0.008252727479598893,QRF_Default_Lin_Feat_PCA,Core,3
M1_change,0.010053837319224705,-0.0022518374788090393,QRF_Default_Lin_Feat_PCA,Core,3
Saron_Rate,0.009894934234794723,0.00334961166464769,QRF_Default_Lin_Feat_PCA,Core,3
Manufacturing_EU,0.009830477815756753,-0.009098132765994476,QRF_Default_Lin_Feat_PCA,Core,3
EU_fin_spread,0.00971022127413677,-0.002174875074894907,QRF_Default_Lin_Feat_PCA,Core,3
CH_2int,0.00970408527333163,0.0021735007462535833,QRF_Default_Lin_Feat_PCA,Core,3
headline_1m,0.007968348251549212,-0.0016955058693709118,QRF_Default_Lin_Feat_PCA,Core,3
Exchange_Rate_CHF,0.006174190942461209,-0.003261336241398115,QRF_Default_Lin_Feat_PCA,Core,3
Wage_change,0.0037659021314334056,0.0010847364437281042,QRF_Default_Lin_Feat_PCA,Core,3
retail_turnover,0.003614149347664656,0.0017351076507907603,QRF_Default_Lin_Feat_PCA,Core,3
Vol_loans,0.002739997688993063,0.0011691077579969915,QRF_Default_Lin_Feat_PCA,Core,3
gdp_index_ch,0.002636125383201577,0.00015439081318545953,QRF_Default_Lin_Feat_PCA,Core,3
Business_Confidence_EU,0.002513258469613454,0.00014719482667308075,QRF_Default_Lin_Feat_PCA,Core,3
gdp_index_eu,0.002333683749753891,0.00013667761561652733,QRF_Default_Lin_Feat_PCA,Core,3
real_turnover,0.0022007238029317813,0.0009390092851361895,QRF_Default_Lin_Feat_PCA,Core,3
infl_e_next_year,0.002138075545942937,-0.0010264631814762626,QRF_Default_Lin_Feat_PCA,Core,3
