,Variable,ADF Statistic,p-value,Lags Used (AIC for decision),Observations,Stationary? (at 5%),1% Critical,5% Critical
0,Core_CPI,-1.4307,0.5675,12,146,No,-3.476,-2.8815
1,Headline_CPI,-1.2486,0.6523,12,146,No,-3.476,-2.8815
2,kofbarometer,-2.9813,0.0367,12,146,Yes,-3.476,-2.8815
3,unemployment_rate,-3.1838,0.0209,14,144,Yes,-3.4766,-2.8818
4,oilprices,-1.9633,0.3029,1,157,No,-3.4727,-2.8801
5,gdp_index_ch,-0.4054,0.9092,3,155,No,-3.4733,-2.8804
6,gdp_index_eu,-1.637,0.4639,3,155,No,-3.4733,-2.8804
7,infl_e_current_year,-1.7344,0.4135,12,133,No,-3.4805,-2.8835
8,infl_e_next_year,-2.2973,0.1728,6,139,No,-3.4783,-2.8826
9,Saron_Rate,-3.1597,0.0224,10,148,Yes,-3.4753,-2.8813
10,CH_2int,-2.2087,0.2031,2,156,No,-3.473,-2.8803
11,fin_spread,-2.5697,0.0994,9,149,No,-3.475,-2.8811
12,EU_fin_spread,-1.5816,0.4928,1,157,No,-3.4727,-2.8801
13,Wage_change,-2.7308,0.0689,0,158,No,-3.4724,-2.88
14,PPI,-1.5512,0.508,1,157,No,-3.4727,-2.8801
15,real_turnover,-0.865,0.7993,3,155,No,-3.4733,-2.8804
16,retail_turnover,0.8294,0.9921,3,155,No,-3.4733,-2.8804
17,Exchange_Rate_CHF,-1.727,0.4172,0,158,No,-3.4724,-2.88
18,variable_mortgages,-2.1398,0.2288,3,155,No,-3.4733,-2.8804
19,Vol_loans,1.3588,0.9969,0,158,No,-3.4724,-2.88
20,M1_change,-2.5895,0.0952,13,145,No,-3.4763,-2.8817
21,M2_change,-2.7238,0.07,13,145,No,-3.4763,-2.8817
22,M3_change,-1.7487,0.4062,12,146,No,-3.476,-2.8815
23,Manufacturing_EU,-0.8887,0.7917,7,151,No,-3.4744,-2.8809
24,Business_Confidence_EU,-3.7796,0.0031,3,155,Yes,-3.4733,-2.8804
