,Variable,ADF Statistic,p-value,Lags Used (AIC for decision),Observations,Stationary? (at 5%),1% Critical,5% Critical
0,PPI,-6.953,0.0,0,145,Yes,-3.4763,-2.8817
1,real_turnover,-5.8871,0.0,2,143,Yes,-3.4769,-2.882
2,retail_turnover,-15.4802,0.0,1,144,Yes,-3.4766,-2.8818
3,Manufacturing_EU,-5.1743,0.0,6,139,Yes,-3.4783,-2.8826
4,Vol_loans,-12.9252,0.0,0,145,Yes,-3.4763,-2.8817
5,Exchange_Rate_CHF,-11.6526,0.0,0,145,Yes,-3.4763,-2.8817
6,gdp_index_ch,-3.7411,0.0036,0,143,Yes,-3.4769,-2.882
7,gdp_index_eu,-3.2516,0.0172,0,143,Yes,-3.4769,-2.882
8,target_headline_3m,-3.1486,0.0232,10,133,Yes,-3.4805,-2.8835
9,target_core_3m,-1.9007,0.3318,9,134,No,-3.4801,-2.8834
10,target_headline_6m,-3.1668,0.022,7,133,Yes,-3.4805,-2.8835
11,target_core_6m,-1.9992,0.2869,6,134,No,-3.4801,-2.8834
12,target_headline_9m,-2.5704,0.0993,11,126,No,-3.4833,-2.8848
13,target_core_9m,-0.4282,0.9053,9,128,No,-3.4825,-2.8844
14,target_headline_12m,-1.4955,0.5357,13,121,No,-3.4856,-2.8857
15,target_core_12m,-0.6489,0.8595,12,122,No,-3.4851,-2.8855
16,target_headline_3m_diff,-4.0644,0.0011,12,119,Yes,-3.4865,-2.8862
17,target_core_3m_diff,-4.3416,0.0004,5,126,Yes,-3.4833,-2.8848
18,target_headline_6m_diff,-2.9957,0.0353,12,116,Yes,-3.488,-2.8868
19,target_core_6m_diff,-1.856,0.353,12,116,No,-3.488,-2.8868
20,target_headline_9m_diff,-2.9386,0.041,12,113,Yes,-3.4896,-2.8875
21,target_core_9m_diff,-1.921,0.3222,13,112,No,-3.4901,-2.8877
22,target_headline_12m_diff,-2.6238,0.0882,12,110,No,-3.4912,-2.8882
23,target_core_12m_diff,-1.4683,0.5491,12,110,No,-3.4912,-2.8882
