,Variable,ADF Statistic,p-value,Lags Used (AIC for decision),Observations,Stationary? (at 5%),1% Critical,5% Critical
0,Core_CPI,-1.3191,0.6204,13,133,No,-3.4805,-2.8835
1,Headline_CPI,-1.1314,0.7024,12,134,No,-3.4801,-2.8834
2,kofbarometer,-2.8581,0.0504,4,142,No,-3.4773,-2.8821
3,unemployment_rate,-2.9754,0.0373,14,132,Yes,-3.4809,-2.8837
4,oilprices,-2.0686,0.2573,1,145,No,-3.4763,-2.8817
5,gdp_index_ch,-0.513,0.8895,3,143,No,-3.4769,-2.882
6,gdp_index_eu,-1.4186,0.5733,3,143,No,-3.4769,-2.882
7,infl_e_current_year,-2.0288,0.2741,12,121,No,-3.4856,-2.8857
8,infl_e_next_year,-2.5785,0.0975,6,127,No,-3.4829,-2.8846
9,Saron_Rate,-1.4463,0.5599,0,146,No,-3.476,-2.8815
10,CH_2int,-1.8835,0.3399,2,144,No,-3.4766,-2.8818
11,fin_spread,-2.5259,0.1093,9,137,No,-3.479,-2.8829
12,EU_fin_spread,-1.5488,0.5093,1,145,No,-3.4763,-2.8817
13,Wage_change,-2.8692,0.049,0,146,Yes,-3.476,-2.8815
14,PPI,-1.4609,0.5528,1,145,No,-3.4763,-2.8817
15,real_turnover,-0.981,0.7601,3,143,No,-3.4769,-2.882
16,retail_turnover,0.873,0.9927,2,144,No,-3.4766,-2.8818
17,Exchange_Rate_CHF,-1.3723,0.5955,0,146,No,-3.476,-2.8815
18,variable_mortgages,-2.0116,0.2815,3,143,No,-3.4769,-2.882
19,Vol_loans,1.1661,0.9957,0,146,No,-3.476,-2.8815
20,M1_change,-2.5389,0.1063,13,133,No,-3.4805,-2.8835
21,M2_change,-2.6821,0.0772,13,133,No,-3.4805,-2.8835
22,M3_change,-2.1408,0.2284,12,134,No,-3.4801,-2.8834
23,Manufacturing_EU,-0.4838,0.8951,7,139,No,-3.4783,-2.8826
24,Business_Confidence_EU,-3.5828,0.0061,3,143,Yes,-3.4769,-2.882
