,mean,std,min,50%,max,extreme_outliers,outlier_pct
Core_CPI,99.738339,2.4317163123449963,94.2169,99.95245,105.896,0,0.0%
Headline_CPI,100.052358,3.358848777911701,92.9279,100.53745,107.7316,0,0.0%
kofbarometer,100.0889530741767,8.723850287436806,53.8942706271006,100.73944807258951,128.871186226309,2,0.67%
unemployment_rate,2.899463118368923,0.6457466964494525,1.4992698229637385,2.9560066710878043,4.376501778064691,0,0.0%
oilprices,69.1448373,23.52216327454901,17.82923,68.230075,137.23406,0,0.0%
gdp_index_ch,158756.02540869857,21124.063601205475,125330.660253578,156798.943450828,196172.955256197,0,0.0%
gdp_index_eu,2853504.642333333,264823.1782622827,2359375.3,2812499.6,3356518.8,0,0.0%
infl_e_current_year,0.6699126439184526,0.8883414516186486,-1.1353,0.715789473684211,3.05,0,0.0%
infl_e_next_year,0.9368373909786998,0.4768509288539596,-0.24245,0.9401157495,2.38,0,0.0%
Saron_Rate,0.39014449,1.0980062607608407,-0.785767,0.044308,3.490226,0,0.0%
CH_2int,0.5882382825773262,1.2432003077797924,-1.0061363636363636,0.47177272727272723,3.883217391304348,0,0.0%
fin_spread,0.9651561427875024,0.8445143565711981,-1.0343798571428573,0.7826718577075099,2.818234,0,0.0%
EU_fin_spread,1.3428994848547864,1.0453173300750915,-1.0688249991637897,1.3638705829409106,3.5223592216174096,0,0.0%
Wage_change,1.129,0.6231801599101865,-0.8,1.0,2.5,0,0.0%
PPI,107.342814,4.103158924071953,99.2704,107.13050000000001,119.0262,0,0.0%
real_turnover,80.89926155495985,12.379657240739839,59.731370269921214,80.44199293938091,105.30342153565044,0,0.0%
retail_turnover,86.777,9.747733001175574,69.6,89.69999999999999,108.3,0,0.0%
Exchange_Rate_CHF,107.699024,6.709254491386603,92.625,109.53505,128.0499,0,0.0%
variable_mortgages,2.981957989533334,0.48544248539641066,2.62274194,2.73,4.48,0,0.0%
Vol_loans,965444.1866666666,257057.07511028103,595040.0,965680.0,1401452.0,0,0.0%
M1_change,4.869481290133333,10.509720812828697,-18.51349406,4.4417405599999995,48.66141671,8,2.67%
M2_change,3.7691123547,9.034660148295876,-13.44984134,2.964172285,42.01151899,6,2.0%
M3_change,3.588638769066667,2.8928972968334277,-3.11045323,3.268115855,10.11171735,0,0.0%
Manufacturing_EU,126.42966666666668,15.20067393844206,98.1,129.55,154.7,0,0.0%
Business_Confidence_EU,-3.7683333333333335,8.956373110054683,-37.1,-3.1,14.9,0,0.0%
