Factor,Variable,mean,mean_abs
Factor_1,M2_change,-0.3244,0.3244
Factor_1,M1_change,-0.3129,0.3129
Factor_1,Saron_Rate,0.3032,0.3032
Factor_1,EU_fin_spread,-0.3024,0.3024
Factor_1,CH_2int,0.2991,0.2991
Factor_2,kofbarometer,0.4724,0.4724
Factor_2,infl_e_current_year,-0.3509,0.3509
Factor_2,gdp_index_eu,0.3465,0.3465
Factor_2,gdp_index_ch,0.3133,0.3133
Factor_2,unemployment_rate,0.2815,0.2815
Factor_3,headline_lag_1,-0.4642,0.4642
Factor_3,core_lag_1,-0.4382,0.4382
Factor_3,headline_lag_2,-0.4008,0.4008
Factor_3,core_lag_2,-0.3599,0.3599
Factor_3,PPI,0.2555,0.2555
Factor_4,core_lag_2,0.5098,0.5098
Factor_4,headline_lag_2,0.4857,0.4857
Factor_4,core_lag_1,-0.4478,0.4478
Factor_4,headline_lag_1,-0.419,0.419
Factor_4,Vol_loans,-0.249,0.249
Factor_5,oilprices,0.5701,0.5701
Factor_5,Wage_change,0.4297,0.4297
Factor_5,unemployment_rate,-0.3155,0.3155
Factor_5,fin_spread,-0.2756,0.2756
Factor_5,variable_mortgages,-0.2719,0.2719
