Factor,Variable,mean,mean_abs
Factor_1,M2_change,-0.3274,0.3274
Factor_1,M1_change,-0.3157,0.3157
Factor_1,Saron_Rate,0.3052,0.3052
Factor_1,EU_fin_spread,-0.3046,0.3046
Factor_1,CH_2int,0.2988,0.2988
Factor_2,kofbarometer,0.473,0.473
Factor_2,infl_e_current_year,-0.3545,0.3545
Factor_2,gdp_index_eu,0.3441,0.3441
Factor_2,gdp_index_ch,0.3089,0.3089
Factor_2,unemployment_rate,0.294,0.294
Factor_3,headline_lag_1,-0.4731,0.4731
Factor_3,core_lag_1,-0.4553,0.4553
Factor_3,headline_lag_2,-0.4147,0.4147
Factor_3,core_lag_2,-0.3777,0.3777
Factor_3,PPI,0.2156,0.2156
Factor_4,core_lag_2,0.5091,0.5091
Factor_4,headline_lag_2,0.4766,0.4766
Factor_4,core_lag_1,-0.4327,0.4327
Factor_4,headline_lag_1,-0.4166,0.4166
Factor_4,Vol_loans,-0.2439,0.2439
Factor_5,oilprices,-0.5686,0.5686
Factor_5,Wage_change,-0.3672,0.3672
Factor_5,fin_spread,0.3387,0.3387
Factor_5,unemployment_rate,0.3256,0.3256
Factor_5,variable_mortgages,0.3046,0.3046
