Factor,Variable,mean,mean_abs
Factor_1,M2_change,-0.3429,0.3429
Factor_1,M1_change,-0.3278,0.3278
Factor_1,Saron_Rate,0.3233,0.3233
Factor_1,CH_2int,0.316,0.316
Factor_1,EU_fin_spread,-0.316,0.316
Factor_2,kofbarometer,0.3901,0.3901
Factor_2,Wage_change,-0.3404,0.3404
Factor_2,gdp_index_ch,0.3347,0.3347
Factor_2,Business_Confidence_EU,0.3187,0.3187
Factor_2,gdp_index_eu,0.2976,0.2976
Factor_3,oilprices,-0.4921,0.4921
Factor_3,variable_mortgages,0.4256,0.4256
Factor_3,fin_spread,0.3701,0.3701
Factor_3,kofbarometer,0.2557,0.2557
Factor_3,Vol_loans,-0.2523,0.2523
Factor_4,retail_turnover,-0.4343,0.4343
Factor_4,Exchange_Rate_CHF,0.3873,0.3873
Factor_4,Wage_change,-0.3197,0.3197
Factor_4,Saron_Rate,-0.2848,0.2848
Factor_4,infl_e_current_year,0.2675,0.2675
Factor_5,Exchange_Rate_CHF,0.5685,0.5685
Factor_5,Manufacturing_EU,0.3858,0.3858
Factor_5,Vol_loans,-0.3772,0.3772
Factor_5,oilprices,0.3445,0.3445
Factor_5,real_turnover,-0.3016,0.3016
