Feature,MeanAbsSHAP,MeanSHAP
variable_mortgages,0.1502281158613947,-0.11368182213216405
CH_2int,0.06808919976509073,-0.04872670754752846
EU_fin_spread,0.05937052224350881,0.0034135147954884675
Saron_Rate,0.05231062614146432,-0.021387423745224406
Business_Confidence_EU,0.050684623607190574,-0.024481818231416985
M2_change,0.03867913113559569,-0.021238026309583484
kofbarometer,0.03013759292501553,-0.005988082080793355
oilprices,0.029724853188983238,0.002043467171346758
infl_e_current_year,0.02105825883922177,0.007631868570309555
M1_change,0.012874137633034856,-0.00791341485075099
unemployment_rate,0.012446251714230262,-0.011345403370894737
Wage_change,0.011051647688161905,-0.005839759823772325
gdp_index_ch,0.008338304026577092,-0.0046365092611352875
infl_e_next_year,0.005600164355959466,-0.0010819760017430828
gdp_index_eu,0.004451670067939926,-0.004451670067939926
fin_spread,0.003569225458717356,-0.0016892688233895383
M3_change,0.0025143693728907554,0.0008344262700724149
PPI,0.0008882823358804298,0.0008882823358804298
headline_1m,9.039871287771065e-05,-9.039871287771065e-05
Vol_loans,0.0,0.0
real_turnover,0.0,0.0
Exchange_Rate_CHF,0.0,0.0
Manufacturing_EU,0.0,0.0
retail_turnover,0.0,0.0
core_1m,0.0,0.0
headline_lag_1,0.0,0.0
core_lag_1,0.0,0.0
headline_lag_2,0.0,0.0
core_lag_2,0.0,0.0
sin_cycle_1,0.0,0.0
cos_cycle_1,0.0,0.0
sin_cycle_2,0.0,0.0
cos_cycle_2,0.0,0.0
