Model,Target,Horizon,Feature,MeanAbsSHAP,MeanSHAP
QRF_Default_PCA,Headline,3,sin_cycle_1,0.2759412897878242,0.126833324488408
QRF_Default_PCA,Headline,3,headline_lag_2,0.23769503233784767,-0.15209791603099043
QRF_Default_PCA,Headline,3,core_lag_1,0.22210205137624495,-0.12123687239317998
QRF_Default_PCA,Headline,3,core_lag_2,0.22004117840430396,-0.14121658393549624
QRF_Default_PCA,Headline,3,cos_cycle_2,0.2180360591335991,0.0017574253796577865
QRF_Default_PCA,Headline,3,headline_lag_1,0.20169133358297547,-0.09216826520451776
QRF_Default_PCA,Headline,3,cos_cycle_1,0.18845648759085132,-0.07032484859975287
QRF_Default_PCA,Headline,3,core_1m,0.14087371046789826,-0.00010088138666134144
QRF_Default_PCA,Headline,3,PPI,0.11315598900666547,0.0669990174633159
QRF_Default_PCA,Headline,3,oilprices,0.1009393229119596,0.05090457050028589
QRF_Default_PCA,Headline,3,sin_cycle_2,0.08708715966150145,0.0335703627116603
QRF_Default_PCA,Headline,3,fin_spread,0.08493747087443357,-0.05356292184927251
QRF_Default_PCA,Headline,3,variable_mortgages,0.06824322567420579,-0.043035264953126956
QRF_Default_PCA,Headline,3,unemployment_rate,0.059071302271779515,-0.0398078350369854
QRF_Default_PCA,Headline,3,headline_1m,0.05438876399926679,0.0057548938194216855
QRF_Default_PCA,Headline,3,M2_change,0.0333720524196044,-0.01869808757207779
QRF_Default_PCA,Headline,3,M1_change,0.03216424395307979,-0.01802136238318568
QRF_Default_PCA,Headline,3,Saron_Rate,0.03135227187474392,0.017566421079728802
QRF_Default_PCA,Headline,3,EU_fin_spread,0.031240625713972733,-0.017503866650503484
QRF_Default_PCA,Headline,3,CH_2int,0.030712843863054416,0.017208154803256506
QRF_Default_PCA,Headline,3,kofbarometer,0.03026447542790895,-0.0034741814904938506
QRF_Default_PCA,Headline,3,infl_e_current_year,0.022779781357111464,0.002614983198267896
QRF_Default_PCA,Headline,3,gdp_index_eu,0.0216685725104231,-0.0024874230422548276
QRF_Default_PCA,Headline,3,gdp_index_ch,0.019522789909921436,-0.002241099982367523
QRF_Default_PCA,Headline,6,cos_cycle_1,0.21497213803462042,-0.04744141889422867
QRF_Default_PCA,Headline,6,oilprices,0.20833369968125434,-0.040398497051168034
QRF_Default_PCA,Headline,6,Wage_change,0.13454121442658562,-0.02608921582340644
QRF_Default_PCA,Headline,6,fin_spread,0.12409888160752876,0.02406431753645905
QRF_Default_PCA,Headline,6,unemployment_rate,0.1189613323758359,0.01949360464919852
QRF_Default_PCA,Headline,6,variable_mortgages,0.11160472198893785,0.021641544498392163
QRF_Default_PCA,Headline,6,M2_change,0.05959010771132672,-0.018591391626363536
QRF_Default_PCA,Headline,6,M1_change,0.057460589506615284,-0.017927007747229592
QRF_Default_PCA,Headline,6,Saron_Rate,0.055549483425464,0.017330765804417076
QRF_Default_PCA,Headline,6,EU_fin_spread,0.05544027736368392,-0.01729669483625636
QRF_Default_PCA,Headline,6,CH_2int,0.05438461876647656,0.016967342144036113
QRF_Default_PCA,Headline,6,core_1m,0.04267803581702626,-0.015747868824016277
QRF_Default_PCA,Headline,6,kofbarometer,0.028928838318446663,-0.005856142477778185
QRF_Default_PCA,Headline,6,core_lag_1,0.02392711765705011,0.01669332841713547
QRF_Default_PCA,Headline,6,headline_lag_1,0.023860113961508358,0.016469300756779336
QRF_Default_PCA,Headline,6,sin_cycle_1,0.023781284608032065,-0.002897639089172175
QRF_Default_PCA,Headline,6,infl_e_current_year,0.021681338655157173,0.004389011645607539
QRF_Default_PCA,Headline,6,gdp_index_eu,0.02104527117415961,-0.004260250796201846
QRF_Default_PCA,Headline,6,core_lag_2,0.01928203624539725,-0.009200406020726675
QRF_Default_PCA,Headline,6,headline_lag_2,0.019113995518268378,-0.007914540028354896
QRF_Default_PCA,Headline,6,gdp_index_ch,0.018892427392321724,-0.0038244448443671905
QRF_Default_PCA,Headline,6,headline_1m,0.016729314016066765,0.0027753896871270814
QRF_Default_PCA,Headline,6,cos_cycle_2,0.010030929033613913,-0.0014150383675082569
QRF_Default_PCA,Headline,6,Vol_loans,0.008353018853197718,0.006476049354415398
QRF_Default_PCA,Headline,6,PPI,0.00667465104268266,-0.0024643883341558355
QRF_Default_PCA,Headline,6,sin_cycle_2,0.0013881350717703839,0.0002327059239132449
QRF_Default_PCA,Headline,9,oilprices,0.1289367132207443,0.009644044921120393
QRF_Default_PCA,Headline,9,core_1m,0.0972346353016438,-0.02686319878476413
QRF_Default_PCA,Headline,9,Wage_change,0.09718313571470584,0.007268981060525228
QRF_Default_PCA,Headline,9,headline_lag_1,0.07957989916866003,-0.029756349179222152
QRF_Default_PCA,Headline,9,core_lag_1,0.07517791850013687,-0.027531852245280052
QRF_Default_PCA,Headline,9,unemployment_rate,0.07467432914499562,-0.006760526177299252
QRF_Default_PCA,Headline,9,headline_lag_2,0.06882311484559868,-0.03473691305085063
QRF_Default_PCA,Headline,9,fin_spread,0.06233109658592725,-0.004662162393020139
QRF_Default_PCA,Headline,9,core_lag_2,0.06191600601512184,-0.03197832889466304
QRF_Default_PCA,Headline,9,variable_mortgages,0.06149428578270542,-0.004599571678745194
QRF_Default_PCA,Headline,9,M2_change,0.048732841279285934,-0.015508283511611065
QRF_Default_PCA,Headline,9,M1_change,0.047005259051444426,-0.014958513905003403
